,equity
2021-01-01,1000000.0000000001
2021-01-04,1013484.4600000001
2021-01-05,1018566.0200000001
2021-01-06,1017606.7500000001
2021-01-07,1037582.3200000002
2021-01-08,1046396.3300000002
2021-01-11,1054201.4100000001
2021-01-12,1054730.4100000001
2021-01-13,1050589.4000000001
2021-01-14,1037102.9574497307
2021-01-15,1022914.8574497307
2021-01-18,994653.3070048791
2021-01-19,1022709.107004879
2021-01-20,1031459.457004879
2021-01-21,1014691.8070048791
2021-01-22,990166.4234704892
2021-01-25,970467.1700808738
2021-01-27,969785.7700808736
2021-01-28,962830.9200808736
2021-01-29,957405.0751084201
2021-02-01,971031.2151481895
2021-02-02,1001104.3151481894
2021-02-03,1005007.8051481894
2021-02-04,1017647.8351481894
2021-02-05,1007001.8151481895
2021-02-08,1034093.3951481895
2021-02-09,1034768.3051481895
2021-02-10,1049400.5051481896
2021-02-11,1054382.9051481895
2021-02-12,1048078.1551481895
2021-02-15,1062971.7551481894
2021-02-16,1063021.2051481896
2021-02-17,1070628.1051481895
2021-02-18,1072949.3551481895
2021-02-19,1062925.1051481895
2021-02-22,1035281.6353492171
2021-02-23,1041352.935349217
2021-02-24,1062960.285349217
2021-02-25,1084639.335349217
2021-02-26,1055921.6853492172
2021-03-01,1063596.785349217
2021-03-02,1080891.285349217
2021-03-03,1108327.3853492169
2021-03-04,1105398.06032464
2021-03-05,1077923.580060502
2021-03-08,1094477.4800605022
2021-03-09,1080554.2300605022
2021-03-10,1079654.8400605023
2021-03-12,1080049.7300605022
2021-03-15,1065703.895130663
2021-03-16,1055502.765130663
2021-03-17,1030536.9980383688
2021-03-18,1026732.3502832201
2021-03-19,1027474.7346868186
2021-03-22,1041327.8646868186
2021-03-23,1049691.9146868186
2021-03-24,1024925.3046868187
2021-03-25,1000400.5046868187
2021-03-26,1019817.2546868187
2021-03-30,1038740.0146868187
2021-03-31,1037475.8546868187
2021-04-01,1069138.6346868186
2021-04-05,1081836.6646868186
2021-04-06,1101368.2346868187
2021-04-07,1119515.5746868188
2021-04-08,1145676.1246868188
2021-04-09,1139218.1046868188
2021-04-12,1065432.5812877305
2021-04-13,1068577.8114177627
2021-04-15,1081123.1814177628
2021-04-16,1094168.0014177628
2021-04-19,1077571.9214177628
2021-04-20,1080330.7314177626
2021-04-22,1101491.1114177627
2021-04-23,1097921.5414177626
2021-04-26,1122589.3314177627
2021-04-27,1148651.1014177627
2021-04-28,1153271.3914177627
2021-04-29,1190543.0614177627
2021-04-30,1196235.4114177627
2021-05-03,1226949.8714177627
2021-05-04,1217800.0114177628
2021-05-05,1237569.9614177628
2021-05-06,1265179.6314177627
2021-05-07,1319465.061417763
2021-05-10,1347165.1914177628
2021-05-11,1339086.6414177627
2021-05-12,1322287.091417763
2021-05-14,1292719.690233972
2021-05-17,1327291.0902339716
2021-05-18,1368029.0402339718
2021-05-19,1364837.2902339718
2021-05-20,1344220.040233972
2021-05-21,1349157.0902339718
2021-05-24,1343971.740233972
2021-05-25,1341934.210233972
2021-05-26,1323197.190233972
2021-05-27,1329872.9602339717
2021-05-28,1329547.1202339719
2021-05-31,1347304.5602339718
2021-06-01,1357059.3202339718
2021-06-02,1385856.0002339717
2021-06-03,1396690.680233972
2021-06-04,1422873.4002339721
2021-06-07,1419865.640233972
2021-06-08,1415990.700233972
2021-06-09,1397799.400233972
2021-06-10,1417364.8002339718
2021-06-11,1441633.450233972
2021-06-14,1421589.900233972
2021-06-15,1412750.1002339718
2021-06-16,1384495.650233972
2021-06-17,1373704.3502339718
2021-06-18,1351017.5153461453
2021-06-21,1363719.8653461454
2021-06-22,1365476.3153461453
2021-06-23,1347021.6653461454
2021-06-24,1355046.0153461453
2021-06-25,1361132.7153461452
2021-06-28,1362183.7153461452
2021-06-29,1372281.2062671958
2021-06-30,1410045.6762671957
2021-07-01,1435812.9862671958
2021-07-02,1435511.1162671957
2021-07-05,1433480.6162671957
2021-07-06,1414032.0462671958
2021-07-07,1420418.7462671958
2021-07-08,1420501.2262671958
2021-07-09,1434525.6362671957
2021-07-12,1428534.2062671958
2021-07-13,1420299.0862671959
2021-07-14,1444507.9982073565
2021-07-15,1459485.6682073567
2021-07-16,1458489.3782073564
2021-07-19,1460140.4982073565
2021-07-20,1447117.5382073566
2021-07-22,1471595.6582073565
2021-07-23,1488022.3282073564
2021-07-26,1520951.0382073564
2021-07-27,1533514.7982073564
2021-07-28,1535368.7782073563
2021-07-29,1582731.5782073564
2021-07-30,1557869.9534359784
2021-08-02,1580535.4234359784
2021-08-03,1581779.0834359785
2021-08-04,1557894.7534359784
2021-08-05,1563212.2334359784
2021-08-06,1565414.7334359784
2021-08-09,1536154.4162242452
2021-08-10,1501846.3523519963
2021-08-11,1491256.577611274
2021-08-12,1517786.277611274
2021-08-13,1519958.007611274
2021-08-16,1542813.0576112738
2021-08-17,1519797.6452407702
2021-08-18,1509705.7452407705
2021-08-20,1471541.2258272148
2021-08-23,1472916.1758272147
2021-08-24,1468802.5258272146
2021-08-25,1479694.2758272146
2021-08-26,1477857.5758272146
2021-08-27,1513692.7258272148
2021-08-30,1519665.0758272149
2021-08-31,1538430.9258272147
2021-09-01,1526088.9758272145
2021-09-02,1540201.9758272145
2021-09-03,1551242.8758272147
2021-09-06,1569645.5758272146
2021-09-07,1553042.7758272146
2021-09-08,1553402.8258272146
2021-09-09,1569475.6258272147
2021-09-13,1591799.9758272148
2021-09-14,1612847.1258272147
2021-09-15,1642275.0758272146
2021-09-16,1642021.5258272146
2021-09-17,1657503.7258272145
2021-09-20,1622027.8758272147
2021-09-21,1634593.3758272144
2021-09-22,1655361.0258272146
2021-09-23,1689361.9758272145
2021-09-24,1696338.6258272147
2021-09-27,1663850.4258272147
2021-09-28,1611680.3624833876
2021-09-29,1618224.9624833877
2021-09-30,1621995.6124833876
2021-10-01,1611528.0124833875
2021-10-04,1632969.4124833874
2021-10-05,1630422.2624833875
2021-10-06,1610600.8624833876
2021-10-07,1666488.0124833877
2021-10-08,1667360.9624833877
2021-10-11,1686936.3624833876
2021-10-12,1684783.6624833876
2021-10-13,1709756.3124833878
2021-10-14,1723603.4124833876
