,equity
2021-01-01,1000000.0000000001
2021-01-04,1013484.4600000001
2021-01-05,1018566.0200000001
2021-01-06,1017606.7500000001
2021-01-07,1037582.3200000001
2021-01-08,1047260.0800000001
2021-01-11,1048612.96
2021-01-12,1048458.56
2021-01-13,1064467.4500000002
2021-01-14,1065509.25
2021-01-15,1046301.15
2021-01-18,1024250.7300000001
2021-01-19,1057425.63
2021-01-20,1072301.68
2021-01-21,1044977.0300000001
2021-01-22,1022378.1799999999
2021-01-25,997885.8679981161
2021-01-27,1002766.417998116
2021-01-28,991993.0179981161
2021-01-29,975711.5332884475
2021-02-01,993173.4415033984
2021-02-02,1017217.1915033982
2021-02-03,1021864.5215033983
2021-02-04,1028395.0315033983
2021-02-05,1018356.2915033983
2021-02-08,1046041.7715033983
2021-02-09,1046046.2815033983
2021-02-10,1059894.931503398
2021-02-11,1069705.2315033982
2021-02-12,1056410.7815033982
2021-02-15,1070130.4815033984
2021-02-16,1070023.0815033983
2021-02-17,1078215.0315033982
2021-02-18,1082084.7315033984
2021-02-19,1074042.2815033984
2021-02-22,1047042.1815033983
2021-02-23,1054207.7815033982
2021-02-24,1074226.6815033983
2021-02-25,1098798.6315033983
2021-02-26,1081449.1315033983
2021-03-01,1100467.2815033984
2021-03-02,1121505.1815033983
2021-03-03,1150939.6815033983
2021-03-04,1163398.0315033984
2021-03-05,1151357.9815033984
2021-03-08,1167455.3815033983
2021-03-09,1166925.7815033984
2021-03-10,1177549.9815033984
2021-03-12,1184794.7815033982
2021-03-15,1190530.3515033983
2021-03-16,1170659.8015033985
2021-03-17,1140565.1515033983
2021-03-18,1128843.364640316
2021-03-19,1128788.7002128223
2021-03-22,1144210.7102128223
2021-03-23,1157270.8602128222
2021-03-24,1127725.8902128222
2021-03-25,1102473.7902128224
2021-03-26,1121505.6402128222
2021-03-30,1141686.4602128223
2021-03-31,1137704.5402128224
2021-04-01,1166056.5502128224
2021-04-05,1173202.4602128223
2021-04-06,1199029.2002128223
2021-04-07,1213896.5802128222
2021-04-08,1224463.7802128224
2021-04-09,1219781.6902128223
2021-04-12,1151948.7417412228
2021-04-13,1171426.962566807
2021-04-15,1184233.252566807
2021-04-16,1193345.242566807
2021-04-19,1176107.6825668071
2021-04-20,1182914.5525668073
2021-04-22,1209351.1625668071
2021-04-23,1205649.572566807
2021-04-26,1234970.2025668072
2021-04-27,1255138.2925668072
2021-04-28,1255452.4725668072
2021-04-29,1308607.9125668071
2021-04-30,1311931.2625668072
2021-05-03,1351990.132566807
2021-05-04,1346835.2825668072
2021-05-05,1365450.4525668072
2021-05-06,1400900.7225668072
2021-05-07,1468216.852566807
2021-05-10,1501161.4325668071
2021-05-11,1481204.872566807
2021-05-12,1443786.9925668072
2021-05-14,1380165.5060104653
2021-05-17,1425352.2960104654
2021-05-18,1462795.1660104655
2021-05-19,1449894.2760104653
2021-05-20,1427046.8660104654
2021-05-21,1436890.0299422438
2021-05-24,1437267.4873278083
2021-05-25,1423701.397327808
2021-05-26,1395517.3473278082
2021-05-27,1412638.5773278081
2021-05-28,1411725.3573278082
2021-05-31,1428254.9173278082
2021-06-01,1431255.0073278083
2021-06-02,1456447.8773278082
2021-06-03,1462078.9573278083
2021-06-04,1493692.2373278083
2021-06-07,1484352.8273278081
2021-06-08,1493691.4573278083
2021-06-09,1475660.2173278083
2021-06-10,1493472.8673278084
2021-06-11,1509086.6173278082
2021-06-14,1470465.6173278082
2021-06-15,1459386.1173278082
2021-06-16,1440055.5673278081
2021-06-17,1432411.5973278084
2021-06-18,1409905.0250458978
2021-06-21,1423941.7250458978
2021-06-22,1427241.525045898
2021-06-23,1408024.125045898
2021-06-24,1415674.175045898
2021-06-25,1421903.0750458979
2021-06-28,1425096.425045898
2021-06-29,1435631.0348683267
2021-06-30,1476383.9048683268
2021-07-01,1495669.9648683267
2021-07-02,1495855.5448683267
2021-07-05,1502435.8448683268
2021-07-06,1479838.6248683266
2021-07-07,1482056.6248683268
2021-07-08,1484211.4048683266
2021-07-09,1485409.8148683268
2021-07-12,1480480.8348683266
2021-07-13,1464692.3148683268
2021-07-14,1487886.4300334072
2021-07-15,1502020.9500334072
2021-07-16,1502183.810033407
2021-07-19,1506606.9700334072
2021-07-20,1491842.2200334072
2021-07-22,1528716.2800334073
2021-07-23,1573027.3700334071
2021-07-26,1604491.450033407
2021-07-27,1617327.2100334072
2021-07-28,1615097.4100334072
2021-07-29,1660602.4000334071
2021-07-30,1635487.079821434
2021-08-02,1644138.2098214342
2021-08-03,1638055.229821434
2021-08-04,1622500.3430574967
2021-08-05,1635792.2530574966
2021-08-06,1644431.0830574967
2021-08-09,1619029.9859079516
2021-08-10,1583585.400715156
2021-08-11,1577672.450715156
2021-08-12,1613055.580715156
2021-08-13,1623226.700715156
2021-08-16,1650612.670715156
2021-08-17,1638712.4781076382
2021-08-18,1626076.578107638
2021-08-20,1577651.4304174923
2021-08-23,1573983.5804174924
2021-08-24,1571334.730333313
2021-08-25,1585779.680333313
2021-08-26,1584054.680333313
2021-08-27,1616302.230333313
2021-08-30,1619570.330333313
2021-08-31,1635050.680333313
2021-09-01,1622807.130333313
2021-09-02,1643068.730333313
2021-09-03,1659490.930333313
2021-09-06,1679744.630333313
2021-09-07,1662744.180333313
2021-09-08,1651132.3303333132
2021-09-09,1662926.1303333133
2021-09-13,1684390.630333313
2021-09-14,1696890.880333313
2021-09-15,1728635.730333313
2021-09-16,1728155.380333313
2021-09-17,1730476.030333313
2021-09-20,1714932.1803333133
2021-09-21,1729742.430333313
2021-09-22,1758688.980333313
2021-09-23,1802549.930333313
2021-09-24,1813054.180333313
2021-09-27,1781792.680333313
2021-09-28,1742836.9961256268
2021-09-29,1757663.896125627
2021-09-30,1776975.046125627
2021-10-01,1755037.2961256271
2021-10-04,1766530.6461256272
2021-10-05,1770651.646125627
2021-10-06,1746856.0461256271
2021-10-07,1802315.896125627
2021-10-08,1808424.496125627
2021-10-11,1827766.496125627
2021-10-12,1822629.2961256271
2021-10-13,1846066.146125627
2021-10-14,1857467.346125627
2021-10-18,1847718.2961256271
2021-10-19,1801292.696125627
2021-10-20,1790744.121125263
