,equity
2023-08-29,1000000.0
2023-08-30,1017682.9000000001
2023-08-31,1037575.8500000001
2023-09-01,1057344.4341970447
2023-09-04,1064213.7841970448
2023-09-05,1059636.7841970448
2023-09-06,1046542.5841970447
2023-09-07,1074467.5841970448
2023-09-08,1118705.2341970447
2023-09-11,1125408.6841970447
2023-09-12,1065930.632988456
2023-09-13,1058214.182988456
2023-09-14,1068146.8329884561
2023-09-15,1076273.2857408659
2023-09-18,1075213.1857408658
2023-09-20,1070621.585740866
2023-09-21,1061744.9193005632
2023-09-22,1077900.6093869247
2023-09-25,1075561.897068406
2023-09-26,1080039.6970684058
2023-09-27,1106590.397068406
2023-09-28,1092812.297068406
2023-09-29,1112944.347068406
2023-10-03,1118169.6470684058
2023-10-04,1083962.1667287908
2023-10-05,1085827.1167287908
2023-10-06,1100458.5667287908
2023-10-09,1072799.016728791
2023-10-10,1105307.466728791
2023-10-11,1109693.8667287908
2023-10-12,1103494.5667287908
2023-10-13,1113991.966728791
2023-10-16,1121384.4167287908
2023-10-17,1127466.3667287908
2023-10-18,1110951.1667287908
2023-10-19,1117950.1167287908
2023-10-20,1105940.697001123
2023-10-23,1078695.5517184087
2023-10-25,1062476.1480898452
2023-10-26,1047337.3346851643
2023-10-27,1075825.4846851642
2023-10-30,1090682.2846851642
2023-10-31,1093369.8846851643
2023-11-01,1084817.7346851642
2023-11-02,1112479.2846851642
2023-11-03,1123267.8346851643
2023-11-06,1140446.3346851643
2023-11-07,1165115.9846851642
2023-11-08,1178735.2346851642
2023-11-09,1172853.3346851643
2023-11-10,1191087.9346851641
2023-11-12,1221444.1846851644
2023-11-13,1252120.0846851643
2023-11-15,1251490.1846851641
2023-11-16,1246082.1846851641
2023-11-17,1262863.7346851642
2023-11-20,1258749.2846851642
2023-11-21,1249113.4846851642
2023-11-22,1240186.9846851642
2023-11-23,1244024.5846851643
2023-11-24,1240594.5846851643
2023-11-28,1279241.9346851641
2023-11-29,1290399.8846851643
2023-11-30,1318801.6846851641
2023-12-01,1351659.5846851643
2023-12-04,1363493.384685164
2023-12-05,1354946.2846851642
2023-12-06,1368858.7846851642
2023-12-07,1364462.5846851643
2023-12-08,1348727.952104041
2023-12-11,1355416.7521040407
2023-12-12,1352221.0021040407
2023-12-13,1387782.452104041
2023-12-14,1412163.202104041
2023-12-15,1409870.202104041
2023-12-18,1415416.6021040408
2023-12-19,1418671.1521040406
2023-12-20,1366002.702104041
2023-12-21,1397730.5521040405
2023-12-22,1402925.1521040406
2023-12-26,1419593.6521040406
2023-12-27,1417858.952104041
2023-12-28,1433196.2521040407
2023-12-29,1441925.5521040405
2024-01-01,1457094.3021040407
2024-01-02,1458767.3521040406
2024-01-03,1459387.9021040406
2024-01-04,1490493.1021040406
2024-01-05,1495792.8521040406
2024-01-08,1497055.4021040406
2024-01-09,1500318.4021040406
2024-01-10,1493540.6021040408
2024-01-11,1515147.7021040407
2024-01-12,1528677.4521040407
2024-01-15,1555283.4700687204
2024-01-16,1530273.3340441748
2024-01-17,1519889.1840441746
2024-01-18,1525520.8840441748
2024-01-19,1584053.6340441748
2024-01-20,1616970.5840441748
2024-01-23,1523765.7532608984
2024-01-24,1580405.3532608985
2024-01-25,1597670.0532608985
2024-01-29,1640609.5532608985
2024-01-30,1642677.7032608984
2024-01-31,1650451.8032608985
2024-02-01,1642639.468297414
2024-02-02,1676687.3182974136
2024-02-05,1684883.9182974137
2024-02-06,1696768.6682974137
2024-02-07,1710624.968297414
2024-02-08,1723413.6682974137
2024-02-09,1670443.118297414
2024-02-12,1566896.7003110677
2024-02-13,1578901.5003110678
2024-02-14,1623377.526438467
2024-02-15,1664610.376438467
2024-02-16,1669462.326438467
2024-02-19,1666629.776438467
2024-02-20,1658734.276438467
2024-02-21,1617729.2764384672
2024-02-22,1641669.8911380318
2024-02-23,1640750.7911380318
2024-02-26,1621777.2911380318
2024-02-27,1609214.8611380318
2024-02-28,1589240.7925461861
2024-02-29,1583536.9172008277
2024-03-01,1626433.847200828
2024-03-02,1633450.857200828
2024-03-04,1666159.197200828
2024-03-05,1688695.257200828
2024-03-06,1697271.8472008281
2024-03-07,1711544.2672008278
2024-03-11,1687753.4772008278
2024-03-12,1665860.6872008278
2024-03-13,1588928.177603217
2024-03-14,1627984.9976032171
2024-03-15,1618629.467603217
2024-03-18,1621484.927603217
2024-03-19,1602232.7329169651
2024-03-20,1617418.0529169652
2024-03-21,1658073.5529169652
2024-03-22,1663644.0629169652
2024-03-26,1691083.3529169653
2024-03-27,1691517.0529169652
2024-03-28,1703732.3729169653
2024-04-01,1717849.102916965
2024-04-02,1749699.3029169652
2024-04-03,1755816.192916965
2024-04-04,1758137.332916965
2024-04-05,1765670.9529169651
2024-04-08,1746115.392916965
2024-04-09,1731333.572916965
2024-04-10,1750123.352916965
2024-04-12,1737428.642916965
2024-04-15,1721195.5628188995
2024-04-16,1730087.6954353712
2024-04-18,1715242.6954353712
2024-04-19,1708374.002801001
2024-04-22,1723996.4528010013
2024-04-23,1742116.252801001
2024-04-24,1762107.0028010013
2024-04-25,1766146.9528010013
2024-04-26,1776298.8028010014
2024-04-29,1749526.866878522
2024-04-30,1757297.616878522
2024-05-02,1784716.9668785222
2024-05-03,1794156.616878522
2024-05-06,1765749.4159295603
2024-05-07,1732598.1159295603
2024-05-08,1747920.8659295603
2024-05-09,1708951.1810382847
2024-05-10,1726334.0310382845
2024-05-13,1740276.6310382846
2024-05-14,1774811.7310382845
2024-05-15,1795016.9310382847
2024-05-16,1843019.4810382845
2024-05-17,1857514.2310382845
2024-05-18,1884115.2810382845
2024-05-21,1898714.4310382847
2024-05-22,1888856.1810382847
2024-05-23,1906482.2310382845
2024-05-24,1916393.8810382846
2024-05-27,1918018.7310382845
2024-05-28,1898886.7310382845
2024-05-29,1895739.7310382845
2024-05-30,1855986.6310382846
2024-05-31,1863380.4927220012
2024-06-03,1929878.592722001
2024-06-04,1763454.0713183098
2024-06-05,1794274.4022229067
2024-06-06,1842617.602222907
2024-06-07,1852534.852222907
2024-06-10,1857162.5722229069
2024-06-11,1881509.352222907
2024-06-12,1893045.732222907
2024-06-13,1910522.3122229069
2024-06-14,1967610.8022229068
2024-06-18,2010344.372222907
2024-06-19,1972317.7422229068
2024-06-20,1976660.352222907
2024-06-21,1969067.6922229067
2024-06-24,1989259.8422229069
2024-06-25,1979908.922222907
2024-06-26,1981059.932222907
2024-06-27,1993143.2422229068
2024-06-28,1987091.622222907
2024-07-01,1994248.4222229067
2024-07-02,1987797.4222229067
2024-07-03,2052954.1222229067
2024-07-04,2166719.122222907
2024-07-05,2224766.472222907
2024-07-08,2228782.122222907
2024-07-09,2202551.372222907
2024-07-10,2201589.722222907
2024-07-11,2256587.572222907
2024-07-12,2236226.42010425
2024-07-15,2223603.02010425
2024-07-16,2206302.72010425
2024-07-18,2122287.960527934
2024-07-19,2088300.198891154
2024-07-22,2117676.948891154
2024-07-23,2052072.948584479
2024-07-24,2062865.1285844792
2024-07-25,2035242.9085844792
2024-07-26,2039545.4685844793
2024-07-29,2139510.018584479
2024-07-30,2159203.438584479
2024-07-31,2138446.048584479
2024-08-01,2118234.878584479
2024-08-02,2096102.978584479
2024-08-05,1992713.870794249
2024-08-06,1964563.0259907988
2024-08-07,2038430.2759907988
2024-08-08,2038432.8259907989
2024-08-09,2103805.0759907993
2024-08-12,2106280.575990799
2024-08-13,2081489.2759907988
2024-08-14,2071291.110644295
2024-08-16,2131367.410644295
2024-08-19,2185134.2106442954
2024-08-20,2192870.925970234
2024-08-21,2183753.375970234
2024-08-22,2171401.775970234
2024-08-23,2172466.575970234
2024-08-26,2187861.475970234
2024-08-27,2214220.625970234
2024-08-28,2200543.275970234
2024-08-29,2191129.125970234
2024-08-30,2249386.475970234
2024-09-02,2225113.175970234
2024-09-03,2242959.625970234
2024-09-04,2237895.2259702343
2024-09-05,2231108.675970234
2024-09-06,2201647.3259702343
2024-09-09,2190211.128587689
2024-09-10,2181311.478587689
2024-09-11,2190934.078587689
2024-09-12,2215230.478587689
2024-09-13,2243232.478587689
2024-09-16,2266998.9672089517
2024-09-17,2279358.4172089514
2024-09-18,2286378.1672089514
2024-09-19,2274039.4172089514
2024-09-20,2323423.2672089515
2024-09-23,2352999.317208952
2024-09-24,2357574.2172089517
2024-09-25,2352001.9172089514
2024-09-26,2331271.2172089517
2024-09-27,2315077.5172089515
2024-09-30,2290242.067208952
2024-10-01,2301975.9172089514
2024-10-03,2247549.1172089516
2024-10-04,2218732.067208952
2024-10-07,2167070.649368907
2024-10-08,2254850.5993689066
2024-10-09,2315342.0993689066
2024-10-10,2313523.2993689068
2024-10-11,2359275.3993689064
2024-10-14,2424397.5493689068
2024-10-15,2456475.2493689065
