,equity
2023-08-29,1000000.0
2023-08-30,1017682.9000000001
2023-08-31,1037575.8500000001
2023-09-01,1048744.2341970447
2023-09-04,1055549.7841970446
2023-09-05,1051015.2841970446
2023-09-06,1038021.5841970447
2023-09-07,1066898.6841970445
2023-09-08,1112439.7341970447
2023-09-11,1135074.7841970446
2023-09-12,1078909.4436837744
2023-09-13,1062428.0902435035
2023-09-14,1069315.7402435036
2023-09-15,1075703.0902435035
2023-09-18,1067797.8402435035
2023-09-20,1060761.9902435034
2023-09-21,1049572.6402435035
2023-09-22,1063837.8711767409
2023-09-25,1070451.7911767408
2023-09-26,1068776.9111767407
2023-09-27,1099458.0311767408
2023-09-28,1090329.9311767407
2023-09-29,1110789.6911767407
2023-10-03,1122773.2111767407
2023-10-04,1102433.2211767407
2023-10-05,1100053.6111767408
2023-10-06,1116694.0711767408
2023-10-09,1084415.5632885378
2023-10-10,1122235.8232885378
2023-10-11,1132419.0732885378
2023-10-12,1127047.2832885378
2023-10-13,1134718.9132885379
2023-10-16,1149345.2732885377
2023-10-17,1158218.4132885379
2023-10-18,1145764.8332885378
2023-10-19,1156286.8832885376
2023-10-20,1160987.9832885377
2023-10-23,1108707.216085973
2023-10-25,1097934.701287923
2023-10-26,1092938.101287923
2023-10-27,1111358.251287923
2023-10-30,1124225.5197388418
2023-10-31,1128455.7697388418
2023-11-01,1129600.669738842
2023-11-02,1156616.2697388418
2023-11-03,1172026.0697388418
2023-11-06,1197770.2697388418
2023-11-07,1220358.2197388418
2023-11-08,1246977.4797388418
2023-11-09,1256578.9897388418
2023-11-10,1268413.5197388418
2023-11-12,1289255.3397388419
2023-11-13,1296022.2697388418
2023-11-15,1304115.619738842
2023-11-16,1301311.9263507708
2023-11-17,1299810.626350771
2023-11-20,1303088.426350771
2023-11-21,1309895.926350771
2023-11-22,1297913.5284453223
2023-11-23,1308737.078445322
2023-11-24,1314665.4784453223
2023-11-28,1345884.978445322
2023-11-29,1352176.078445322
2023-11-30,1372930.678445322
2023-12-01,1401239.2784453223
2023-12-04,1413414.5284453223
2023-12-05,1431809.8784453222
2023-12-06,1438540.8784453222
2023-12-07,1444134.2284453223
2023-12-08,1427796.6627800474
2023-12-11,1427605.9127800474
2023-12-12,1416914.0127800475
2023-12-13,1434765.8127800473
2023-12-14,1452232.4127800474
2023-12-15,1444727.5627800473
2023-12-18,1461319.5627800473
2023-12-19,1459752.8627800473
2023-12-20,1412554.0590461066
2023-12-21,1418198.804489012
2023-12-22,1423351.054489012
2023-12-26,1439713.4544890122
2023-12-27,1442935.6044890122
2023-12-28,1453648.804489012
2023-12-29,1467362.804489012
2024-01-01,1485283.9044890122
2024-01-02,1489516.5544890123
2024-01-03,1499894.9044890122
2024-01-04,1531038.304489012
2024-01-05,1535005.7544890123
2024-01-08,1538631.7044890122
2024-01-09,1541026.4044890122
2024-01-10,1534434.1044890122
2024-01-11,1555833.8044890123
2024-01-12,1565762.534489012
2024-01-15,1575577.591008505
2024-01-16,1525711.0303742357
2024-01-17,1505860.9703742357
2024-01-18,1502917.9917451693
2024-01-19,1536854.1917451695
2024-01-20,1534637.4917451695
2024-01-23,1465215.237060364
2024-01-24,1524259.3070603642
2024-01-25,1564483.207060364
2024-01-29,1606098.207060364
2024-01-30,1590145.9478122308
2024-01-31,1619988.9978122308
2024-02-01,1614360.047812231
2024-02-02,1650506.097812231
2024-02-05,1649181.4978122308
2024-02-06,1654714.297812231
2024-02-07,1663831.797812231
2024-02-08,1682666.597812231
2024-02-09,1633510.2211505254
2024-02-12,1549244.3994095898
2024-02-13,1553602.491955165
2024-02-14,1589071.491955165
2024-02-15,1615913.9219551652
2024-02-16,1606996.9019551652
2024-02-19,1597879.761955165
2024-02-20,1596163.721955165
2024-02-21,1547160.6498178688
2024-02-22,1568739.3898178686
2024-02-23,1551782.739817869
2024-02-26,1540034.4498178689
2024-02-27,1534535.4898178687
2024-02-28,1500601.0286765401
2024-02-29,1482844.0571906865
2024-03-01,1511964.7771906867
2024-03-02,1518802.1271906865
2024-03-04,1549673.2871906864
2024-03-05,1570230.4471906866
2024-03-06,1574292.3439679386
2024-03-07,1587508.7939679385
2024-03-11,1561540.5639679383
2024-03-12,1537054.6039679383
2024-03-13,1476545.9669482682
2024-03-14,1496785.7903073207
2024-03-15,1460794.4382285848
2024-03-18,1471358.768228585
2024-03-19,1452917.3982285848
2024-03-20,1460851.4082285848
2024-03-21,1493286.9482285848
2024-03-22,1501554.588228585
2024-03-26,1520865.1482285848
2024-03-27,1534077.9082285848
2024-03-28,1549392.9782285849
2024-04-01,1552296.5782285847
2024-04-02,1564864.9782285846
2024-04-03,1567635.1782285846
2024-04-04,1561659.6782285846
2024-04-05,1566189.1782285846
2024-04-08,1560999.4782285846
2024-04-09,1540148.7282285849
2024-04-10,1551644.8282285847
2024-04-12,1548042.9282285848
2024-04-15,1527189.578228585
2024-04-16,1538591.4808450565
2024-04-18,1530429.6808450567
2024-04-19,1536798.8308450566
2024-04-22,1562088.3308450566
2024-04-23,1566113.1808450567
2024-04-24,1582931.9308450567
2024-04-25,1610738.5308450565
2024-04-26,1614918.4308450564
2024-04-29,1586453.7513853582
2024-04-30,1584389.8013853582
2024-05-02,1612736.6013853583
2024-05-03,1621740.8013853584
2024-05-06,1593036.8127426049
2024-05-07,1573308.1127426047
2024-05-08,1585825.4627426048
2024-05-09,1548207.6666148442
2024-05-10,1554434.4666148443
2024-05-13,1573256.1166148442
2024-05-14,1600495.0166148443
2024-05-15,1616397.0166148443
2024-05-16,1652359.8166148444
2024-05-17,1682734.1666148442
2024-05-18,1696420.7166148443
2024-05-21,1691491.7166148443
2024-05-22,1679594.9166148445
2024-05-23,1703962.6666148442
2024-05-24,1698848.5666148444
2024-05-27,1714441.8666148442
2024-05-28,1693749.0166148443
2024-05-29,1692681.0652508421
2024-05-30,1673294.9652508423
2024-05-31,1675969.499089708
2024-06-03,1777563.549089708
2024-06-04,1606964.5627102626
2024-06-05,1607328.277601869
2024-06-06,1635911.1445654551
2024-06-07,1673995.944565455
2024-06-10,1692551.8445654549
2024-06-11,1712344.194565455
2024-06-12,1741968.3445654549
2024-06-13,1777937.194565455
2024-06-14,1832106.7945654548
2024-06-18,1864881.994565455
2024-06-19,1835994.6945654547
2024-06-20,1839768.9445654547
2024-06-21,1830461.3445654549
2024-06-24,1846581.3445654549
2024-06-25,1834600.0445654548
2024-06-26,1829720.694565455
2024-06-27,1869760.4945654548
2024-06-28,1853452.7445654548
2024-07-01,1878202.944565455
2024-07-02,1871113.594565455
2024-07-03,1917603.194565455
2024-07-04,1992674.194565455
2024-07-05,2049980.194565455
2024-07-08,2048330.794565455
2024-07-09,2040403.9445654552
2024-07-10,2033529.994565455
2024-07-11,2045225.3945654551
2024-07-12,2027123.344565455
2024-07-15,2026344.044565455
2024-07-16,2000626.394565455
2024-07-18,1930807.773960818
2024-07-19,1889135.1413480984
2024-07-22,1913644.3905031383
2024-07-23,1847931.4320003504
2024-07-24,1878418.3220003506
2024-07-25,1876484.7620003505
2024-07-26,1869997.7120003505
2024-07-29,1944009.7320003505
2024-07-30,1947547.3120003506
2024-07-31,1934426.6220003504
2024-08-01,1917586.7720003505
2024-08-02,1903501.0720003506
2024-08-05,1817186.8986875492
2024-08-06,1800815.4486875492
2024-08-07,1866369.9986875493
2024-08-08,1850339.7986875493
2024-08-09,1882208.4139959377
2024-08-12,1875117.2139959377
2024-08-13,1865926.5639959378
2024-08-14,1863332.4639959377
2024-08-16,1938237.4639959377
2024-08-19,1970930.8639959376
2024-08-20,1967102.4139959377
2024-08-21,1959296.1139959376
2024-08-22,1962502.1139959376
2024-08-23,1957147.1639959377
2024-08-26,1961404.0139959375
2024-08-27,1983321.4139959377
2024-08-28,1979776.3639959376
2024-08-29,1967547.8639959376
2024-08-30,2004768.1139959379
2024-09-02,1994017.7139959377
2024-09-03,2012579.5139959378
2024-09-04,2011555.3139959378
2024-09-05,2010047.8639959379
2024-09-06,2013084.1639959377
2024-09-09,1999410.0139959378
2024-09-10,1995658.7139959377
2024-09-11,1998711.9639959377
2024-09-12,2018796.8639959379
2024-09-13,2054741.7139959377
2024-09-16,2090920.4139959377
2024-09-17,2082285.922744905
2024-09-18,2090158.0227449052
2024-09-19,2069972.8227449053
2024-09-20,2103717.972744905
2024-09-23,2118717.472744905
2024-09-24,2128861.222744905
2024-09-25,2119850.772744905
2024-09-26,2092664.1727449053
2024-09-27,2071263.2227449052
2024-09-30,2055965.1227449053
2024-10-01,2088183.0727449053
2024-10-03,2031605.2227449052
2024-10-04,1997243.449718605
2024-10-07,1926812.4847232238
2024-10-08,2008939.934723224
2024-10-09,2033276.1347232237
2024-10-10,2029584.934723224
2024-10-11,2065215.4847232238
