,equity
2021-01-01,1000000.0
2021-01-04,1019861.01
2021-01-05,1021183.57
2021-01-06,1023669.0
2021-01-07,1045900.22
2021-01-08,1059840.43
2021-01-11,1057401.21
2021-01-12,1066209.46
2021-01-13,1083483.85
2021-01-14,1093653.0999999999
2021-01-15,1074450.2
2021-01-18,1056147.03
2021-01-19,1094346.38
2021-01-20,1113372.3299999998
2021-01-21,1095151.5799999998
2021-01-22,1068871.28
2021-01-25,1047860.43
2021-01-27,1050723.23
2021-01-28,1040661.73
2021-01-29,1027795.9299999999
2021-02-01,1051358.23
2021-02-02,1080106.41
2021-02-03,1096930.7
2021-02-04,1107990.53
2021-02-05,1106675.26
2021-02-08,1147066.95
2021-02-09,1145899.88
2021-02-10,1160908.88
2021-02-11,1173526.2799999998
2021-02-12,1165707.5799999998
2021-02-15,1177238.3299999998
2021-02-16,1176846.88
2021-02-17,1187936.38
2021-02-18,1191575.93
2021-02-19,1177300.88
2021-02-22,1152299.68
2021-02-23,1158484.68
2021-02-24,1192188.53
2021-02-25,1230475.93
2021-02-26,1208179.23
2021-03-01,1222628.38
2021-03-02,1239590.48
2021-03-03,1272358.23
2021-03-04,1282442.73
2021-03-05,1272813.68
2021-03-08,1297096.7599999998
2021-03-09,1290642.5599999998
2021-03-10,1298498.5999999999
2021-03-12,1310340.41
2021-03-15,1313953.2499999998
2021-03-16,1291378.5999999999
2021-03-17,1265747.2
2021-03-18,1252866.3599999999
2021-03-19,1253519.0899999999
2021-03-22,1266761.39
2021-03-23,1284567.14
2021-03-24,1264035.46
2021-03-25,1227701.8399999999
2021-03-26,1240646.94
2021-03-30,1255988.54
2021-03-31,1246781.6099999999
2021-04-01,1278789.93
2021-04-05,1284092.16
2021-04-06,1320111.0799999998
2021-04-07,1340960.92
2021-04-08,1358640.92
2021-04-09,1356584.6999999997
2021-04-12,1275740.6354724846
2021-04-13,1285903.1654724844
2021-04-15,1295105.3854724844
2021-04-16,1309701.7054724845
2021-04-19,1283978.1254724844
2021-04-20,1292981.8354724846
2021-04-22,1319313.1154724844
2021-04-23,1316923.8454724846
2021-04-26,1345382.5354724845
2021-04-27,1368528.2554724845
2021-04-28,1366787.8954724844
2021-04-29,1419249.3654724844
2021-04-30,1419571.6654724844
2021-05-03,1457989.4754724845
2021-05-04,1453105.9254724844
2021-05-05,1473429.3854724844
2021-05-06,1511538.6454724844
2021-05-07,1581404.1854724844
2021-05-10,1618519.2754724845
2021-05-11,1601497.3954724844
2021-05-12,1565464.0054724845
2021-05-14,1499756.8891935018
2021-05-17,1554192.0591935022
2021-05-18,1582451.4691935019
2021-05-19,1568548.5991935022
2021-05-20,1541719.4391935018
2021-05-21,1551848.809193502
2021-05-24,1558052.789193502
2021-05-25,1540098.599193502
2021-05-26,1508910.1091935022
2021-05-27,1528315.579193502
2021-05-28,1525430.0791935022
2021-05-31,1543041.219193502
2021-06-01,1545499.229193502
2021-06-02,1578629.2591935021
2021-06-03,1586737.949193502
2021-06-04,1621311.0691935022
2021-06-07,1614176.5891935022
2021-06-08,1614430.7891935022
2021-06-09,1593312.9091935023
2021-06-10,1613633.6591935023
2021-06-11,1628008.709193502
2021-06-14,1571019.3408701515
2021-06-15,1553807.2408701514
2021-06-16,1515879.7908701512
2021-06-17,1505568.2908701512
2021-06-18,1465299.3552266343
2021-06-21,1483618.0552266343
2021-06-22,1480112.9052266341
2021-06-23,1466453.5552266343
2021-06-24,1476499.7552266344
2021-06-25,1484712.6052266343
2021-06-28,1492152.9552266344
2021-06-29,1510877.4052266343
2021-06-30,1553816.2552266344
2021-07-01,1572707.3052266343
2021-07-02,1567475.9552266344
2021-07-05,1562751.9552266344
2021-07-06,1540329.8852266343
2021-07-07,1542044.6852266344
2021-07-08,1545335.2652266342
2021-07-09,1547329.1252266343
2021-07-12,1542631.2952266342
2021-07-13,1525452.8252266343
2021-07-14,1562813.1752266344
2021-07-15,1594741.5352266345
2021-07-16,1603557.6452266343
2021-07-19,1620341.1852266344
2021-07-20,1611679.8752266343
2021-07-22,1636843.2052266344
2021-07-23,1676080.5552266343
2021-07-26,1721233.3052266343
2021-07-27,1735272.6752266341
2021-07-28,1737292.1652266341
2021-07-29,1784841.9352266341
2021-07-30,1757995.2752266345
2021-08-02,1762736.3152266343
2021-08-03,1762033.4252266344
2021-08-04,1745088.7252266344
2021-08-05,1757570.3052266345
2021-08-06,1764868.6252266343
2021-08-09,1740596.1852266341
2021-08-10,1707926.232224508
2021-08-11,1700679.932224508
2021-08-12,1738688.3722245079
2021-08-13,1740923.2622245082
2021-08-16,1764892.772224508
2021-08-17,1764055.622224508
2021-08-18,1753060.222224508
2021-08-20,1704731.612224508
2021-08-23,1698601.1122245078
2021-08-24,1702469.712224508
2021-08-25,1712001.512224508
2021-08-26,1705835.3122245078
2021-08-27,1742667.0122245078
2021-08-30,1743525.3122245078
2021-08-31,1764577.3122245078
2021-09-01,1753867.412224508
2021-09-02,1774112.9122245077
2021-09-03,1789417.212224508
2021-09-06,1815165.5122245078
2021-09-07,1793873.6122245078
2021-09-08,1778455.912224508
2021-09-09,1788193.2122245077
2021-09-13,1811125.912224508
2021-09-14,1820872.8122245078
2021-09-15,1857251.812224508
2021-09-16,1857672.712224508
2021-09-17,1861875.312224508
2021-09-20,1850413.212224508
2021-09-21,1857809.862224508
2021-09-22,1879258.262224508
2021-09-23,1919538.462224508
2021-09-24,1942321.962224508
2021-09-27,1908010.162224508
2021-09-28,1873883.262224508
2021-09-29,1905599.7122245077
2021-09-30,1910781.5622245078
2021-10-01,1892982.8622245078
2021-10-04,1906020.512224508
2021-10-05,1901012.162224508
2021-10-06,1887397.1122245078
2021-10-07,1950158.6122245078
2021-10-08,1937407.8622245078
2021-10-11,1960657.162224508
2021-10-12,1964982.5622245078
2021-10-13,1976846.962224508
2021-10-14,1991151.562224508
2021-10-18,1981826.162224508
2021-10-19,1919499.6122245078
2021-10-20,1901257.912224508
2021-10-21,1868991.662224508
2021-10-22,1854800.912224508
2021-10-25,1835686.862224508
2021-10-26,1863710.262224508
2021-10-27,1870067.262224508
2021-10-28,1794680.662224508
2021-10-29,1771019.5622245078
2021-11-01,1797979.412224508
2021-11-02,1806427.962224508
2021-11-03,1815073.9122245077
2021-11-04,1831888.8622245078
2021-11-08,1861266.8622245078
2021-11-09,1871354.4622245077
2021-11-10,1844289.162224508
2021-11-11,1825588.7622245078
2021-11-12,1837636.412224508
2021-11-15,1814924.462224508
2021-11-16,1799952.412224508
2021-11-17,1791880.2122245077
2021-11-18,1739457.8622245076
2021-11-22,1667120.2622245078
2021-11-23,1689444.3122245078
2021-11-24,1681175.3122245078
2021-11-25,1691284.912224508
2021-11-26,1620170.412224508
2021-11-29,1574988.912224508
2021-11-30,1580306.262224508
2021-12-01,1607623.6122245078
2021-12-02,1667881.212224508
2021-12-03,1647671.5622245078
2021-12-06,1616759.922224508
2021-12-07,1628373.8922245076
2021-12-08,1666817.8922245079
2021-12-09,1651768.3222245078
2021-12-10,1656779.7622245078
2021-12-13,1662594.6422245079
2021-12-14,1701645.222224508
2021-12-15,1671148.7022245077
2021-12-16,1651219.502224508
2021-12-17,1616535.802224508
2021-12-20,1571214.5884106662
2021-12-21,1574946.3884106663
2021-12-22,1605896.7384106661
2021-12-23,1616638.2884106662
2021-12-24,1621274.438410666
2021-12-27,1655518.4884106661
2021-12-28,1676244.8884106663
2021-12-29,1683373.7884106662
2021-12-30,1700890.7384106661
2021-12-31,1705921.688410666
2022-01-03,1706345.0384106662
2022-01-04,1714373.938410666
2022-01-05,1702059.0884106662
2022-01-06,1692303.7884106662
2022-01-07,1718403.138410666
2022-01-10,1733470.3384106662
2022-01-11,1736993.5384106662
2022-01-12,1732572.838410666
2022-01-13,1734610.0884106662
2022-01-14,1749728.3384106662
2022-01-17,1770139.638410666
2022-01-18,1744703.7384106661
2022-01-19,1721647.868410666
2022-01-20,1726360.238410666
2022-01-21,1674590.5484106662
2022-01-24,1607366.698410666
2022-01-25,1633714.3357706661
2022-01-27,1645033.235770666
2022-01-28,1639848.3357706661
2022-01-31,1672109.985770666
2022-02-01,1672479.785770666
2022-02-02,1670008.935770666
