,equity
2021-01-01,1000000.0
2021-01-04,1000000.0
2021-01-05,1000457.92
2021-01-06,1002414.1799999999
2021-01-07,1033107.8200000001
2021-01-08,1042567.84
2021-01-11,1039314.55
2021-01-12,1041206.0499999999
2021-01-13,1058140.03
2021-01-14,1059473.52976503
2021-01-15,1045819.77976503
2021-01-18,1028530.2397650301
2021-01-19,1065448.08976503
2021-01-20,1080518.88976503
2021-01-21,1053358.58976503
2021-01-22,1020140.4110912946
2021-01-25,997997.1405709794
2021-01-27,1006794.9350810747
2021-01-28,992681.6850810747
2021-01-29,989768.6797092331
2021-02-01,1014703.6353230047
2021-02-02,1041149.4353230046
2021-02-03,1055098.0353230045
2021-02-04,1071176.5353230045
2021-02-05,1081344.0353230045
2021-02-08,1122142.6853230044
2021-02-09,1122353.8353230045
2021-02-10,1137608.5853230045
2021-02-11,1146163.6853230044
2021-02-12,1130060.6853230046
2021-02-15,1134146.1853230046
2021-02-16,1135093.5853230045
2021-02-17,1143718.8853230046
2021-02-18,1141941.4353230046
2021-02-19,1130218.4853230047
2021-02-22,1105845.8853230046
2021-02-23,1113384.3853230046
2021-02-24,1154418.4853230047
2021-02-25,1184697.5353230047
2021-02-26,1171492.6353230046
2021-03-01,1192613.3853230046
2021-03-02,1203274.9353230046
2021-03-03,1232484.3353230048
2021-03-04,1243211.2353230047
2021-03-05,1230299.8853230046
2021-03-08,1265158.8353230045
2021-03-09,1265106.8853230046
2021-03-10,1281326.9153230046
2021-03-12,1291025.4353230044
2021-03-15,1300281.6653230046
2021-03-16,1273587.6755792755
2021-03-17,1238376.6255792757
2021-03-18,1221828.044994502
2021-03-19,1224647.044994502
2021-03-22,1237667.844994502
2021-03-23,1246154.4086440443
2021-03-24,1215096.5086440442
2021-03-25,1189113.4086440443
2021-03-26,1219035.8086440442
2021-03-30,1242707.9086440443
2021-03-31,1243562.2586440444
2021-04-01,1276193.5086440444
2021-04-05,1269488.9586440441
2021-04-06,1313370.2586440444
2021-04-07,1348830.4586440441
2021-04-08,1358103.6586440443
2021-04-09,1375755.1586440443
2021-04-12,1299820.2522757503
2021-04-13,1324384.3122757503
2021-04-15,1328731.0424242648
2021-04-16,1344706.7824242648
2021-04-19,1326744.372424265
2021-04-20,1337057.7924242648
2021-04-22,1360047.2024242647
2021-04-23,1361789.0124242648
2021-04-26,1388634.6424242647
2021-04-27,1412345.6324242647
2021-04-28,1415559.362424265
2021-04-29,1459667.4524242647
2021-04-30,1459194.852424265
2021-05-03,1497753.4724242648
2021-05-04,1489937.2724242648
2021-05-05,1512723.0924242649
2021-05-06,1541257.5624242648
2021-05-07,1592010.2424242648
2021-05-10,1614120.7224242648
2021-05-11,1603792.9624242648
2021-05-12,1563883.7324242648
2021-05-14,1509637.6722043215
2021-05-17,1563045.1622043215
2021-05-18,1593305.6322043214
2021-05-19,1585677.4422043215
2021-05-20,1564134.6522043215
2021-05-21,1575282.9322043215
2021-05-24,1587379.3525754812
2021-05-25,1572972.262575481
2021-05-26,1544087.1325754812
2021-05-27,1564115.0625754811
2021-05-28,1564304.742575481
2021-05-31,1579556.712575481
2021-06-01,1596418.6425754812
2021-06-02,1636027.982575481
2021-06-03,1652144.922575481
2021-06-04,1685641.032575481
2021-06-07,1680437.7025754813
2021-06-08,1692231.0825754812
2021-06-09,1673575.7325754813
2021-06-10,1697993.782575481
2021-06-11,1707839.4825754813
2021-06-14,1647386.7567455464
2021-06-15,1642982.9567455463
2021-06-16,1627020.886745546
2021-06-17,1604950.5493812116
2021-06-18,1583684.9038228774
2021-06-21,1596286.0538228774
2021-06-22,1589889.8019527488
2021-06-23,1572200.7019527487
2021-06-24,1578589.6519527487
