,equity
2021-08-30,1000000.0
2021-08-31,1016597.6500000001
2021-09-01,1004303.25
2021-09-02,1007374.25
2021-09-03,1018256.9000000001
2021-09-06,1026191.9
2021-09-07,1014556.1000000001
2021-09-08,1015280.2500000001
2021-09-09,1027941.8500000001
2021-09-13,1052020.7000000002
2021-09-14,1060314.2000000002
2021-09-15,1077223.0999999999
2021-09-16,1080500.55
2021-09-17,1086787.0000000002
2021-09-20,1051183.5500000003
2021-09-21,1048744.5
2021-09-22,1064117.6
2021-09-23,1086608.6
2021-09-24,1087520.0500000003
2021-09-27,1075124.344342933
2021-09-28,1064351.694342933
2021-09-29,1070524.444342933
2021-09-30,1079466.1943429331
2021-10-01,1078450.894342933
2021-10-04,1087575.544342933
2021-10-05,1089387.744342933
2021-10-06,1075201.944342933
2021-10-07,1096398.694342933
2021-10-08,1111412.294342933
2021-10-11,1123796.5443429328
2021-10-12,1122008.3975427868
2021-10-13,1136476.9475427868
2021-10-14,1151120.1975427868
2021-10-18,1145690.4975427869
2021-10-19,1139369.4975427869
2021-10-20,1105215.2471647277
2021-10-21,1070829.8423730351
2021-10-22,1066123.442373035
2021-10-25,1040815.2449157032
2021-10-26,1041721.3949157031
2021-10-27,1053162.284915703
2021-10-28,1016599.607477603
2021-10-29,1006595.6819837737
2021-11-01,1026715.7019837738
2021-11-02,1036589.5819837737
2021-11-03,1038473.5419837737
2021-11-04,1050690.7019837736
2021-11-08,1076558.4219837736
2021-11-09,1088448.9019837736
2021-11-10,1081113.9119837736
2021-11-11,1070561.5619837737
2021-11-12,1084604.5419837737
2021-11-15,1088920.0219837737
2021-11-16,1088748.7119837736
2021-11-17,1086541.5819837735
2021-11-18,1057158.1119837735
2021-11-22,1015333.6512953063
2021-11-23,1032823.942394716
2021-11-24,1021343.842394716
2021-11-25,1028366.492394716
2021-11-26,978139.8150325996
2021-11-29,958571.2922049004
2021-11-30,984561.9422049004
2021-12-01,1000558.4922049004
2021-12-02,1021275.3922049004
2021-12-03,1023083.4922049004
2021-12-06,1005289.0922049003
2021-12-07,1015321.4422049003
2021-12-08,1044509.1922049004
2021-12-09,1042043.6061893079
2021-12-10,1054087.9061893078
2021-12-13,1056066.9561893078
2021-12-14,1066906.806189308
2021-12-15,1049055.1061893078
2021-12-16,1055198.806189308
2021-12-17,1037546.1561893078
2021-12-20,994934.819504846
2021-12-21,1007329.2695048461
2021-12-22,1031684.719504846
2021-12-23,1045997.369504846
2021-12-24,1049784.419504846
2021-12-27,1071331.919504846
