,equity
2026-05-11,1000000.0
2026-05-12,971114.7
2026-05-13,983952.7
2026-05-14,993259.035464108
2026-05-15,990126.785464108
2026-05-18,986020.525464108
2026-05-19,987882.5456828685
2026-05-20,995548.0479186433
2026-05-21,997385.2079186433
2026-05-22,987436.0665941441
2026-05-25,1000947.0965941441
2026-05-26,1015599.8065941442
2026-05-27,1020969.3565941441
2026-05-29,1001698.789086416
2026-06-01,973040.4171191419
2026-06-02,979683.123509651
2026-06-03,984302.4235096511
2026-06-04,976201.623509651
2026-06-05,982538.442528272
2026-06-08,953768.0425282719
2026-06-09,964959.533296859
2026-06-10,950748.8332968589
2026-06-11,935260.483296859
2026-06-12,951221.0163579399
2026-06-15,951834.16635794
2026-06-16,952300.86635794
2026-06-17,962528.96635794
2026-06-18,973354.66635794
2026-06-19,983112.16635794
2026-06-22,982750.6199459477
2026-06-23,978224.7699459477
2026-06-24,958667.9199459477
2026-06-25,963991.3699459477
2026-06-29,971360.3199459476
2026-06-30,975089.5199459477
2026-07-01,977997.8699459477
2026-07-02,973157.5699459476
2026-07-03,955463.0960592155
2026-07-06,962481.4960592155
2026-07-07,952353.0550505747
2026-07-08,953143.8550505748
2026-07-09,957029.1550505748
2026-07-10,975272.4550505747
2026-07-13,976925.0550505747
2026-07-14,985735.2050505747
2026-07-15,1000021.3050505748
2026-07-16,1006039.4050505748
2026-07-17,998869.0655460064
2026-07-20,1001767.0155460064
2026-07-21,1001611.9155460065
2026-07-22,984119.3155460064
2026-07-23,961458.5281882671
2026-07-24,962267.5281882671
2026-07-27,970384.3281882672
2026-07-28,960121.3281882672
2026-07-29,971560.1281882671
2026-07-30,962831.6281882672
2026-07-31,974234.6281882672
2026-08-03,983180.4281882672
2026-08-04,1004461.9281882672
2026-08-05,1007221.4281882672
2026-08-06,1003034.7281882672
2026-08-07,1002917.8637413395
2026-08-10,1007109.8637413397
2026-08-11,1016196.7637413397
2026-08-12,1022861.2637413397
2026-08-13,1022634.2637413397
2026-08-14,1023954.4637413396
2026-08-17,1025904.3637413395
2026-08-18,1013972.7637413397
2026-08-19,1008110.4187578781
2026-08-20,1011197.818757878
2026-08-21,1009708.1687578781
2026-08-24,1007668.968757878
