,equity
2026-05-11,1000000.0
2026-05-12,976200.9
2026-05-13,983687.1000000001
2026-05-14,999121.4148569849
2026-05-15,997962.1148569849
2026-05-18,992782.4648569849
2026-05-19,997684.1148569849
2026-05-20,1003890.4471101506
2026-05-21,1003610.2471101505
2026-05-22,1002702.1471101505
2026-05-25,1018873.3471101506
2026-05-26,1033903.2471101505
2026-05-27,1028209.2471101505
2026-05-29,1005555.4996024225
2026-06-01,978599.1259212787
2026-06-02,981110.5823117879
2026-06-03,978966.7823117878
2026-06-04,974584.9323117879
2026-06-05,969710.7108397193
2026-06-08,942651.1608397192
2026-06-09,949337.7177617844
2026-06-10,933531.5236060616
2026-06-11,919278.679187104
2026-06-12,936381.828569879
2026-06-15,933315.978569879
2026-06-16,931386.978569879
2026-06-17,943701.878569879
2026-06-18,953325.628569879
2026-06-19,960031.528569879
2026-06-22,960776.3285698789
2026-06-23,953156.8285698789
2026-06-24,933999.0785698789
2026-06-25,934032.628569879
2026-06-29,942346.428569879
2026-06-30,946737.878569879
2026-07-01,944711.028569879
2026-07-02,937824.4485698789
2026-07-03,921884.1446831468
2026-07-06,922162.2846831469
2026-07-07,906568.1271118436
2026-07-08,904637.4141404582
2026-07-09,916986.5141404582
2026-07-10,932181.9141404582
2026-07-13,931350.9141404582
2026-07-14,927131.3141404582
2026-07-15,941939.9141404582
2026-07-16,936867.5141404582
2026-07-17,933484.3141404582
2026-07-20,934604.3141404582
2026-07-21,931908.0141404583
2026-07-22,918510.9141404582
2026-07-23,898394.027538198
2026-07-24,895178.5775381981
2026-07-27,902604.027538198
2026-07-28,893073.3812304868
2026-07-29,896360.5312304868
2026-07-30,892336.9920279072
2026-07-31,899566.7420279072
2026-08-03,910921.0420279071
2026-08-04,919943.6420279072
2026-08-05,922569.3420279071
2026-08-06,919020.0420279071
2026-08-07,919991.3772539996
2026-08-10,920926.5272539996
2026-08-11,923874.3772539996
2026-08-12,928156.3584427204
2026-08-13,932156.5584427203
2026-08-14,933245.5084427204
2026-08-17,935691.8584427204
2026-08-18,922184.9584427204
2026-08-19,920391.4584427204
2026-08-20,926734.8584427204
2026-08-21,926886.9084427204
2026-08-24,924395.5084427204
