,equity
2023-08-29,1000000.0
2023-08-30,1017682.9000000001
2023-08-31,1035925.6182781267
2023-09-01,1041563.3736539079
2023-09-04,1048514.073653908
2023-09-05,1043899.2706418235
2023-09-06,1032833.1706418234
2023-09-07,1060697.365685004
2023-09-08,1106935.7156850041
2023-09-11,1129501.4656850041
2023-09-12,1077155.4896071607
2023-09-13,1041957.2398514746
2023-09-14,1048791.140032231
2023-09-15,1059640.6900322312
2023-09-18,1049070.2400322312
2023-09-20,1043244.7381721509
2023-09-21,1034962.7036754888
2023-09-22,1048883.7429561052
2023-09-25,1051807.062956105
2023-09-26,1054478.732956105
2023-09-27,1080633.1529561053
2023-09-28,1071874.7029561051
2023-09-29,1090916.0129561052
2023-10-03,1103631.6329561053
2023-10-04,1083863.0929561052
2023-10-05,1084404.082956105
2023-10-06,1099691.792956105
2023-10-09,1067788.927573574
2023-10-10,1105011.027573574
2023-10-11,1114785.9275735742
2023-10-12,1109436.8775735742
2023-10-13,1117204.0275735743
2023-10-16,1131212.8775735742
2023-10-17,1139667.8775735742
2023-10-18,1128315.3775735742
2023-10-19,1137679.8775735742
2023-10-20,1139238.0543618714
2023-10-23,1097646.8910837874
2023-10-25,1088919.3520944002
2023-10-26,1069074.0679263405
2023-10-27,1085440.5679263405
2023-10-30,1100840.2179263404
2023-10-31,1097991.1179263403
2023-11-01,1100301.123396262
2023-11-02,1117796.7233962617
2023-11-03,1122515.185405732
2023-11-06,1143627.035405732
2023-11-07,1173371.035405732
2023-11-08,1197352.795405732
2023-11-09,1203349.8754057318
2023-11-10,1211608.203042435
2023-11-12,1235280.723042435
2023-11-13,1247788.3530424351
2023-11-15,1256969.783261026
2023-11-16,1258835.994809003
2023-11-17,1258042.709872606
2023-11-20,1261008.559872606
2023-11-21,1264649.109872606
2023-11-22,1254763.6715925273
2023-11-23,1262779.1715925273
2023-11-24,1271366.6715925273
2023-11-28,1302170.1715925273
2023-11-29,1303068.5215925274
2023-11-30,1323072.8715925273
2023-12-01,1354521.9715925273
2023-12-04,1366910.7715925274
2023-12-05,1385936.2715925274
2023-12-06,1385447.4660976694
2023-12-07,1391104.4160976694
2023-12-08,1376538.0160976695
2023-12-11,1374108.1660976696
2023-12-12,1362896.2660976695
2023-12-13,1378537.4683334162
2023-12-14,1395039.8183334162
2023-12-15,1387956.918333416
2023-12-18,1401310.5183334162
2023-12-19,1401854.7683334162
2023-12-20,1362333.904094495
2023-12-21,1381143.8962799006
2023-12-22,1387076.6962799006
2023-12-26,1404869.1462799006
2023-12-27,1407111.6462799006
2023-12-28,1418867.5462799007
2023-12-29,1430738.2962799007
2024-01-01,1450521.8162112534
2024-01-02,1456429.3662112532
2024-01-03,1463797.2162112533
2024-01-04,1495234.2162112533
2024-01-05,1497314.4662112533
2024-01-08,1501461.5162112534
2024-01-09,1503835.8162112534
2024-01-10,1497092.0530840936
2024-01-11,1516642.4030840935
2024-01-12,1524319.7730840936
2024-01-15,1534983.0030840936
2024-01-16,1491001.5328302218
2024-01-17,1471615.5835998224
2024-01-18,1463139.5491259503
2024-01-19,1494836.0491259503
2024-01-20,1490065.6491259504
2024-01-23,1428849.2187588695
2024-01-24,1474769.2099045813
2024-01-25,1507193.4599045813
2024-01-29,1543215.6599045815
2024-01-30,1528472.3445430135
2024-01-31,1556886.6445430135
2024-02-01,1551015.5945430137
2024-02-02,1585712.5945430135
2024-02-05,1583405.986844549
2024-02-06,1586006.0398676773
2024-02-07,1594615.2398676772
2024-02-08,1608742.0798676773
2024-02-09,1552187.4283841194
2024-02-12,1486372.1554980762
2024-02-13,1489823.3308372907
2024-02-14,1518464.4308372906
2024-02-15,1547730.5808372905
2024-02-16,1542873.2308372906
2024-02-19,1540293.0843202649
2024-02-20,1527891.7802178336
2024-02-21,1493041.172370847
2024-02-22,1518366.822370847
2024-02-23,1505088.422370847
2024-02-26,1492672.372370847
2024-02-27,1487535.4623708471
2024-02-28,1455675.400010135
2024-02-29,1444756.0419710476
2024-03-01,1472639.9019710475
2024-03-02,1480569.7219710476
2024-03-04,1505934.8019710477
2024-03-05,1530061.1219710477
2024-03-06,1524638.46458397
2024-03-07,1537560.6045839698
2024-03-11,1511767.22458397
2024-03-12,1488507.8045839698
2024-03-13,1431413.2147483462
2024-03-14,1443748.0466409617
2024-03-15,1420038.010278264
2024-03-18,1426712.8102782639
2024-03-19,1410034.960278264
2024-03-20,1415774.4755754105
2024-03-21,1445456.8855754104
2024-03-22,1454210.6955754105
2024-03-26,1468561.5355754104
2024-03-27,1475435.9255754105
2024-03-28,1490752.3555754104
2024-04-01,1493523.5055754103
2024-04-02,1508256.4555754105
2024-04-03,1513816.5055754106
2024-04-04,1508330.6055754106
2024-04-05,1513334.4868221404
2024-04-08,1507278.8868221403
2024-04-09,1490863.4368221404
2024-04-10,1510634.0368221404
2024-04-12,1504416.5868221405
2024-04-15,1488617.7964361513
2024-04-16,1496808.396967996
2024-04-18,1484841.746967996
2024-04-19,1475935.0307025167
2024-04-22,1499165.4807025169
2024-04-23,1508650.6307025168
2024-04-24,1523901.6307025168
2024-04-25,1547657.0807025167
2024-04-26,1547867.7807025167
2024-04-29,1521660.3307025167
2024-04-30,1524259.4881143768
2024-05-02,1547416.7881143768
2024-05-03,1553012.4381143767
2024-05-06,1531389.0016207926
2024-05-07,1512380.0013584532
2024-05-08,1519192.8855002625
2024-05-09,1485488.500449965
2024-05-10,1490438.950449965
2024-05-13,1506166.046492591
2024-05-14,1528683.044447476
2024-05-15,1536694.494447476
2024-05-16,1570919.9123208087
2024-05-17,1596986.2123208088
2024-05-18,1608289.7123208088
2024-05-21,1607278.4123208087
2024-05-22,1600766.7393427668
2024-05-23,1617479.3893427667
2024-05-24,1617748.0393427666
2024-05-27,1637776.7893427666
2024-05-28,1622421.6893427668
2024-05-29,1625371.8393427667
2024-05-30,1607712.0775444536
2024-05-31,1599379.2050146242
2024-06-03,1693215.9050146241
2024-06-04,1567370.183392012
2024-06-05,1536473.9685516064
2024-06-06,1568260.4685516064
2024-06-07,1602913.6185516063
2024-06-10,1626071.7185516062
2024-06-11,1646379.8185516063
2024-06-12,1677135.1685516064
2024-06-13,1710957.8185516063
2024-06-14,1760137.7685516062
2024-06-18,1785586.5185516062
2024-06-19,1760865.3185516063
2024-06-20,1766755.0685516063
2024-06-21,1759562.2685516062
2024-06-24,1773260.4685516062
2024-06-25,1759704.1185516063
2024-06-26,1751395.4185516064
2024-06-27,1787616.3685516063
2024-06-28,1772075.4185516064
2024-07-01,1798262.5668198566
2024-07-02,1793309.7168198565
2024-07-03,1835750.2168198565
2024-07-04,1903378.0668198564
2024-07-05,1951216.7268198566
2024-07-08,1949735.4768198568
2024-07-09,1940484.8668198567
2024-07-10,1927490.9628949163
2024-07-11,1948897.3528949162
2024-07-12,1934435.0999740174
2024-07-15,1928269.1899740174
2024-07-16,1911072.4199740174
2024-07-18,1841429.3337522426
2024-07-19,1813607.8822342649
2024-07-22,1834330.4830353628
2024-07-23,1783919.9743315196
2024-07-24,1811975.0843315197
2024-07-25,1809649.2943315196
2024-07-26,1803866.302992999
2024-07-29,1873223.332992999
2024-07-30,1877718.202992999
2024-07-31,1863937.992992999
2024-08-01,1848863.9929929993
2024-08-02,1831688.5429929993
2024-08-05,1756256.9618115681
2024-08-06,1739981.6798561031
2024-08-07,1802914.4098561031
2024-08-08,1789510.4498561032
2024-08-09,1815475.3659375217
2024-08-12,1809202.345937522
2024-08-13,1803812.2899101207
2024-08-14,1803482.0599101207
2024-08-16,1875761.2899101207
2024-08-19,1911111.5199101206
2024-08-20,1908723.8699101207
2024-08-21,1897213.3399101207
2024-08-22,1900574.3999101208
2024-08-23,1895645.6799101208
2024-08-26,1900190.1599101208
2024-08-27,1913589.4299101206
2024-08-28,1912754.7599101206
2024-08-29,1903057.0099101206
2024-08-30,1938285.339910121
2024-09-02,1930397.9515871187
2024-09-03,1949631.8015871185
2024-09-04,1948844.7015871184
2024-09-05,1948869.8015871185
2024-09-06,1955014.4349922943
2024-09-09,1934543.4349922943
2024-09-10,1927427.9115677404
2024-09-11,1941160.0115677402
2024-09-12,1964070.0615677403
2024-09-13,1993205.7615677405
2024-09-16,2006947.1028532195
2024-09-17,2002721.5028532196
2024-09-18,2010847.6528532195
2024-09-19,1984687.6528532195
2024-09-20,2013793.0528532197
2024-09-23,2028105.7028532196
2024-09-24,2033329.2692392948
2024-09-25,2014497.2192392948
2024-09-26,1991489.8018731114
2024-09-27,1972494.8724022484
2024-09-30,1951042.4852026692
2024-10-01,1978680.5852026688
2024-10-03,1930175.3203816575
2024-10-04,1907475.0597702397
2024-10-07,1855413.9477049813
2024-10-08,1944299.4477049813
2024-10-09,1966333.3977049813
2024-10-10,1961833.2477049814
