symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
BSE,2023-08-29,2023-08-31,303.5,354.0,395,rebalance,NIFTY MS FIN SERV,19947.5,16.63920922570017,2
PFC,2023-08-29,2023-09-01,216.0,204.07159314782805,555,stop,NIFTY FINSEREXBNK,-6620.26580295543,-5.522410579709236,3
IRFC,2023-08-29,2023-09-01,49.5,55.75,2424,rebalance,NIFTY FINSEREXBNK,15150.0,12.62626262626263,3
DIXON,2023-08-29,2023-09-06,4917.05,4998.15,16,rebalance,NIFTY CONSR DURBL,1297.5999999999913,1.6493629310257107,8
KEI,2023-08-29,2023-09-07,2618.95,2547.8,30,rebalance,NIFTY EV,-2134.499999999989,-2.7167376238568797,9
MAZDOCK,2023-08-29,2023-09-11,909.2,1136.1,131,rebalance,NIFTY IND DEFENCE,29723.899999999983,24.956005279366455,13
ADANIPOWER,2023-09-06,2023-09-11,69.50390286209887,79.7,1153,rebalance,NIFTY COMMODITIES,11756.100000000008,14.669819561256837,5
ANGELONE,2023-09-01,2023-09-12,191.5,179.1654815580231,652,stop,NIFTY MS FIN SERV,-8042.1060241689465,-6.441001797376977,11
BHEL,2023-09-11,2023-09-12,139.85,128.44395130245601,760,stop,NIFTY ENERGY,-8668.597010133424,-8.155916122662843,1
KAYNES,2023-09-11,2023-09-13,2202.3,2008.3819108152293,61,stop,NIFTY MULTI INFRA,-11829.003440271026,-8.80525310742274,2
TRENT,2023-08-29,2023-09-14,1366.2,1372.3,61,rebalance,NIFTY NONCYC CONS,372.09999999999445,0.4464939247547983,16
SUPREMEIND,2023-08-29,2023-09-15,4456.199999999999,4159.800131067133,21,stop,NIFTY MULTI MFG,-6224.3972475901755,-6.651404087178891,17
KALYANKJIL,2023-08-29,2023-09-20,227.85,219.15,526,rebalance,NIFTY CONSR DURBL,-4576.199999999994,-3.8183015141540433,22
RVNL,2023-09-14,2023-09-21,170.94512195121948,158.8,492,rebalance,,-5975.399999999977,-7.104690565364702,7
COFORGE,2023-09-07,2023-09-22,1122.0,1056.8540416664423,68,stop,NIFTY MS IT TELCM,-4429.925166681924,-5.806235145593375,15
BSE,2023-09-12,2023-09-22,432.5,385.5058087387164,295,stop,NIFTY MS FIN SERV,-13863.286422078667,-10.865708962146503,10
ADANIPOWER,2023-09-21,2023-10-09,76.50029325513196,69.65681750758232,1023,stop,NIFTY COMMODITIES,-7000.875689743289,-8.945685639042377,18
IRFC,2023-09-13,2023-10-09,78.9,71.15,1565,rebalance,NIFTY FINSEREXBNK,-12128.75,-9.822560202788344,26
KAYNES,2023-09-15,2023-10-09,2119.25,2631.15,41,rebalance,NIFTY MULTI INFRA,20987.900000000005,24.15477173528371,24
RVNL,2023-09-22,2023-10-11,166.85,165.2,502,rebalance,,-828.3000000000029,-0.9889121965837577,19
UNIONBANK,2023-09-20,2023-10-18,90.19,92.59,1278,rebalance,NIFTY PSU BANK,3067.200000000007,2.661048896773477,28
