symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
JSWSTEEL,2021-01-04,2021-01-11,403.1,399.05,198,rebalance,NIFTY METAL,-801.9000000000023,-1.004713470602836,7
SAIL,2021-01-11,2021-01-14,74.85,67.84006357972231,1058,stop,NIFTY METAL,-7416.512732653789,-9.365312518741064,3
OBEROIRLTY,2021-01-04,2021-01-15,590.1,559.6,203,rebalance,NIFTY REALTY,-6191.5,-5.168615488900185,11
HINDALCO,2021-01-04,2021-01-15,254.3,253.35,314,rebalance,NIFTY METAL,-298.30000000000535,-0.37357451828549104,11
TATASTEEL,2021-01-04,2021-01-18,64.2,61.61,1869,rebalance,NIFTY METAL,-4840.710000000006,-4.034267912772593,14
JINDALSTEL,2021-01-04,2021-01-22,287.7,281.65,285,rebalance,NIFTY METAL,-1724.2500000000032,-2.102884949600281,18
VEDL,2021-01-14,2021-01-22,74.55,69.3,963,rebalance,NIFTY METAL,-5055.75,-7.042253521126762,8
PERSISTENT,2021-01-04,2021-01-25,759.9,747.9022559601084,105,stop,NIFTY MS IT TELCM,-1259.7631241886165,-1.5788582760746905,21
ASHOKLEY,2021-01-22,2021-01-27,58.63653846153846,53.76149030897642,1092,stop,NIFTY AUTO,-5323.552582597745,-8.31401082067581,5
DLF,2021-01-04,2021-01-27,244.3,258.75,329,rebalance,NIFTY REALTY,4754.0499999999965,5.914858780188292,23
MPHASIS,2021-01-15,2021-01-27,1539.7,1461.6,70,rebalance,NIFTY MS IT TELCM,-5467.000000000009,-5.07241670455284,12
KEI,2021-01-22,2021-01-29,510.3,473.7636808814408,163,stop,NIFTY EV,-5955.420016325153,-7.159772510005724,7
APLAPOLLO,2021-01-04,2021-01-29,445.5,453.3,269,rebalance,NIFTY METAL,2098.200000000003,1.7508417508417473,25
ADANIENT,2021-01-04,2021-01-29,479.4,491.2,250,rebalance,NIFTY METAL,2950.0000000000027,2.461410095953287,25
WIPRO,2021-01-18,2021-01-29,206.25,199.75,558,rebalance,NIFTY IT,-3627.0,-3.1515151515151496,11
ASHOKLEY,2021-01-27,2021-01-29,55.1,52.9,1495,rebalance,NIFTY AUTO,-3289.000000000004,-3.9927404718693382,2
IDFCFIRSTB,2021-01-15,2021-02-01,48.44897901304594,43.93970461313877,1763,stop,NIFTY MS FIN SERV,-7949.850767036341,-9.307264036860197,17
CROMPTON,2021-01-25,2021-02-01,412.25,416.45,190,rebalance,NIFTY CONSR DURBL,797.9999999999978,1.0187992722862305,7
VOLTAS,2021-01-29,2021-02-01,908.1,938.3,117,rebalance,NIFTY CONSR DURBL,3533.399999999992,3.325624931174964,3
LTM,2021-01-29,2021-02-01,3963.9,3937.65,20,rebalance,NIFTY IT,-525.0,-0.6622265950200545,3
BAJAJ-AUTO,2021-02-01,2021-02-08,4013.0,4132.5,21,rebalance,NIFTY AUTO,2509.5,2.9778220782457065,7
ASTRAL,2021-01-29,2021-02-11,970.55,1150.4,125,rebalance,NIFTY MULTI MFG,22481.25000000002,18.53072999845451,13
CUMMINSIND,2021-02-01,2021-02-15,730.0,761.35,114,rebalance,,3573.9000000000024,4.294520547945213,14
VOLTAS,2021-02-11,2021-02-16,1103.2,1027.2340283321776,128,stop,NIFTY CONSR DURBL,-9723.644373481278,-6.8859655246394595,5
SHRIRAMFIN,2021-02-01,2021-02-19,266.4,280.9,314,rebalance,NIFTY FINSEREXBNK,4553.0,5.442942942942941,18
HAVELLS,2021-02-16,2021-02-22,1216.15,1126.9133039876435,108,stop,NIFTY CONSR DURBL,-9637.56316933451,-7.337638943580693,6
TATAELXSI,2021-01-04,2021-02-22,1881.1,2666.8,63,rebalance,NIFTY MS IT TELCM,49499.10000000002,41.76811440114827,49
TMPV,2021-01-27,2021-02-22,184.04168490153174,209.65,457,rebalance,NIFTY AUTO,11702.999999999998,13.914410266440203,26
DLF,2021-02-08,2021-02-22,312.9789930555556,294.1,288,rebalance,NIFTY REALTY,-5437.15,-6.032032013153177,14
GRASIM,2021-01-29,2021-02-23,1051.45,1226.6,77,rebalance,,13486.54999999999,16.657948547244274,25
CHOLAFIN,2021-02-15,2021-02-24,532.75,504.5,162,rebalance,NIFTY FINSEREXBNK,-4576.5,-5.302674800563112,9
UNOMINDA,2021-01-29,2021-03-02,228.25,281.35,534,rebalance,NIFTY AUTO,28355.400000000012,23.263964950711944,32
SBIN,2021-02-22,2021-03-05,389.5,383.65,351,rebalance,NIFTY PSU BANK,-2053.350000000008,-1.5019255455712477,11
TMPV,2021-03-02,2021-03-05,238.05,223.85,620,rebalance,NIFTY AUTO,-8804.000000000011,-5.965133375341325,3
MOTHERSON,2021-02-19,2021-03-12,84.9,84.93,1039,rebalance,NIFTY AUTO,31.17000000000118,0.03533568904594553,21
MAHABANK,2021-02-22,2021-03-16,21.75,21.061171981031173,6294,stop,,-4335.4835513898,-3.167025374569321,22
IDFCFIRSTB,2021-02-01,2021-03-17,46.6,60.9,2016,rebalance,NIFTY MS FIN SERV,28828.799999999996,30.686695278969943,44
ADANIPORTS,2021-02-22,2021-03-17,673.8,688.25,156,rebalance,NIFTY MOBILITY,2254.200000000007,2.144553279905015,23
NATIONALUM,2021-02-23,2021-03-17,54.10139588100686,55.07,1748,rebalance,NIFTY METAL,1693.1200000000115,1.790349589359086,22
MFSL,2021-03-05,2021-03-17,917.75,862.4,136,rebalance,NIFTY MS FIN SERV,-7527.600000000003,-6.031054208662489,12
PGEL,2021-01-27,2021-03-18,15.75,40.75,5231,stop,NIFTY CONSR DURBL,130775.0,158.73015873015873,50
ASTRAL,2021-03-17,2021-03-18,1388.15,1288.8786177392099,105,stop,NIFTY MULTI MFG,-10423.495137382975,-7.151344037805007,1
TATAELXSI,2021-03-17,2021-03-18,2756.95,2674.7,35,rebalance,NIFTY MS IT TELCM,-2878.75,-2.9833693030341557,1
PGEL,2021-03-18,2021-03-19,40.75,38.7,3549,rebalance,NIFTY CONSR DURBL,-7275.44999999999,-5.03067484662576,1
NMDC,2021-03-17,2021-03-22,16.0,15.45,6388,rebalance,NIFTY METAL,-3513.4000000000046,-3.4375000000000044,5
HINDALCO,2021-03-05,2021-03-24,337.85,317.75,440,rebalance,NIFTY METAL,-8844.000000000011,-5.9493858221104094,19
ADANIPOWER,2021-03-16,2021-03-30,16.6,18.047692089117266,7987,stop,NIFTY COMMODITIES,11562.716715779592,8.721036681429295,14
CHOLAFIN,2021-03-22,2021-03-31,570.4,558.8,173,rebalance,NIFTY FINSEREXBNK,-2006.8000000000038,-2.0336605890603154,9
ADANIPOWER,2021-03-30,2021-03-31,17.9,17.0,8054,rebalance,NIFTY COMMODITIES,-7248.5999999999885,-5.027932960893844,1
APLAPOLLO,2021-03-19,2021-04-05,627.3,617.75,219,rebalance,NIFTY METAL,-2091.44999999999,-1.522397576916934,17
GRASIM,2021-03-18,2021-04-08,1382.3,1442.05,104,rebalance,,6214.0,4.322505968313672,21
VEDL,2021-02-22,2021-04-12,88.10727101038717,95.66412762657708,1059,stop,NIFTY METAL,8002.711156545123,8.576881941218018,49
ADANIENSOL,2021-02-24,2021-04-12,744.749107142857,939.3695646157512,112,stop,NIFTY COMMODITIES,21797.491236964146,26.13235190298284,47
ADANIENT,2021-03-12,2021-04-12,864.6098214285713,1029.546745958861,112,stop,NIFTY METAL,18472.93554739245,19.07645743114148,31
COFORGE,2021-04-12,2021-04-13,623.5,572.5568299025961,167,stop,NIFTY MS IT TELCM,-8507.509406266458,-8.170516455076815,1
HINDZINC,2021-04-12,2021-04-13,294.15,291.95,354,rebalance,NIFTY METAL,-778.799999999996,-0.7479177290497963,1
CGPOWER,2021-03-24,2021-04-15,68.0,68.16624295810401,2059,stop,NIFTY ENERGY,342.2942507361509,0.24447493838823942,22
MAHABANK,2021-04-13,2021-04-19,26.998449612403103,23.281866743829763,3483,stop,,-12944.858131240944,-13.765912198402464,6
ADANIPOWER,2021-04-05,2021-04-19,18.75,17.5,7217,rebalance,NIFTY COMMODITIES,-9021.25,-6.666666666666665,14
PERSISTENT,2021-04-13,2021-04-20,972.15,953.35,108,rebalance,NIFTY MS IT TELCM,-2030.399999999995,-1.933857943732964,7
COFORGE,2021-04-20,2021-04-22,602.0,576.0,171,rebalance,NIFTY MS IT TELCM,-4446.0,-4.318936877076407,2
JSWSTEEL,2021-03-17,2021-05-14,422.5,679.5473609180804,234,stop,NIFTY METAL,60149.0824548308,60.839612051616655,58
SAIL,2021-03-31,2021-05-14,78.8,124.89891524802613,1274,stop,NIFTY METAL,58730.01802598529,58.501161482266674,44
JINDALSTEL,2021-04-08,2021-05-14,415.65,431.9144246745226,360,stop,NIFTY METAL,5855.192882828142,3.9130096654691693,36
HINDALCO,2021-04-15,2021-05-14,353.55,374.0346290232858,397,stop,NIFTY METAL,8132.397722244454,5.793983601551633,29
SAIL,2021-05-14,2021-05-20,127.15,121.45,1427,rebalance,NIFTY METAL,-8133.900000000004,-4.482894219425882,6
NMDC,2021-04-19,2021-05-21,16.700088169285028,21.447626431807073,6238,stop,NIFTY METAL,29615.14368161252,28.428222739888078,32
TATASTEEL,2021-03-31,2021-05-24,75.83,103.22740288094701,1756,stop,NIFTY METAL,48109.83945894295,36.13003149274299,54
JSWSTEEL,2021-05-14,2021-05-24,707.1,681.45,256,rebalance,NIFTY METAL,-6566.399999999994,-3.6274925753075893,10
HINDALCO,2021-05-14,2021-05-26,382.8,381.0,316,rebalance,NIFTY METAL,-568.8000000000036,-0.4702194357366851,12
TATASTEEL,2021-05-24,2021-05-26,103.19,102.22,1792,rebalance,NIFTY METAL,-1738.239999999998,-0.9400135672061216,2
VEDL,2021-04-22,2021-05-27,98.93039800995024,118.65,1005,rebalance,NIFTY METAL,19818.200000000015,19.932803654612208,35
NMDC,2021-05-21,2021-06-08,21.4,21.6,6255,rebalance,NIFTY METAL,1251.0000000000177,0.9345794392523477,18
NATIONALUM,2021-05-14,2021-06-09,69.86,68.98,1984,rebalance,NIFTY METAL,-1745.919999999991,-1.2596621815058606,26
JSWSTEEL,2021-06-08,2021-06-09,707.5,697.85,191,rebalance,NIFTY METAL,-1843.1499999999955,-1.3639575971731377,1
ADANIENT,2021-04-12,2021-06-14,1041.6,1397.5,109,stop,NIFTY METAL,38793.10000000001,34.168586789554546,63
BHEL,2021-05-26,2021-06-14,72.5,66.77889559704344,2510,stop,NIFTY ENERGY,-14359.972051420955,-7.891178486836625,19
ADANIENSOL,2021-04-19,2021-06-15,1012.6,1446.4,102,rebalance,NIFTY COMMODITIES,44247.600000000006,42.84021331226546,57
ADANIENT,2021-06-14,2021-06-16,1455.6,1404.1,89,rebalance,NIFTY METAL,-4583.5,-3.5380599065677365,2
TATASTEEL,2021-06-15,2021-06-17,111.26,103.90716173259997,1326,stop,NIFTY METAL,-9749.86354257244,-6.60869878428908,2
OFSS,2021-06-16,2021-06-17,3260.0,3148.0,38,rebalance,NIFTY MS IT TELCM,-4256.0,-3.435582822085892,1
SAIL,2021-06-14,2021-06-18,137.3,125.29058682534118,1387,stop,NIFTY METAL,-16657.0560732518,-8.7468413508076,4
HINDZINC,2021-05-20,2021-06-18,344.6,328.9,503,rebalance,NIFTY METAL,-7897.100000000023,-4.556006964596648,29
TATAELXSI,2021-05-27,2021-06-18,3604.25,3639.95,33,rebalance,NIFTY MS IT TELCM,1178.099999999994,0.9904973295415065,22
CONCOR,2021-06-18,2021-06-22,550.7,562.7,229,rebalance,,2748.0,2.1790448520065286,4
WIPRO,2021-06-18,2021-06-23,262.75,258.2,719,rebalance,NIFTY IT,-3271.450000000008,-1.731684110371079,5
BSE,2021-06-09,2021-06-24,101.5,98.0,1374,rebalance,NIFTY MS FIN SERV,-4809.0,-3.4482758620689613,15
ADANIENT,2021-06-22,2021-07-01,1494.6,1444.8,86,rebalance,NIFTY METAL,-4282.799999999996,-3.3319951826575656,9
RADICO,2021-06-23,2021-07-01,803.5,752.15,231,rebalance,NIFTY FMCG,-11861.850000000006,-6.39079029247045,8
NMDC,2021-07-01,2021-07-05,22.4,21.25,5985,rebalance,NIFTY METAL,-6882.749999999992,-5.133928571428569,4
APLAPOLLO,2021-06-17,2021-07-09,782.2,771.85,167,rebalance,NIFTY METAL,-1728.450000000004,-1.323190999744317,22
SUZLON,2021-07-01,2021-07-14,7.7,7.244112793237431,21292,stop,NIFTY ENERGY,-9706.750406388628,-5.920613074838565,13
KEI,2021-06-09,2021-07-16,686.05,710.95,191,rebalance,NIFTY EV,4755.900000000018,3.6294730704759193,37
LAURUSLABS,2021-06-18,2021-07-22,593.55,653.6,244,rebalance,NIFTY MIDSML HLTH,14652.200000000017,10.117092073119371,34
TATAELXSI,2021-07-05,2021-07-27,4379.05,4175.75,29,rebalance,NIFTY MS IT TELCM,-5895.700000000005,-4.642559459243445,22
MOTILALOFS,2021-07-22,2021-07-30,269.95,241.82358423492022,591,stop,NIFTY CAPITAL MKT,-16622.711717162143,-10.41912049086119,8
BEL,2021-06-24,2021-07-30,57.05166385846672,61.55,2374,rebalance,NIFTY IND DEFENCE,10679.050000000005,7.884671256376885,36
COFORGE,2021-05-26,2021-08-04,697.0,940.0373492923135,174,stop,NIFTY MS IT TELCM,42288.49877686254,34.86906015671642,70
NATIONALUM,2021-07-09,2021-08-09,83.55176879343018,83.17420124376115,1583,stop,NIFTY METAL,-597.6894311260876,-0.4518965368674799,31
NMDC,2021-07-30,2021-08-09,21.949794389778233,21.15,6809,rebalance,NIFTY METAL,-5445.800000000001,-3.643744335713184,10
BSE,2021-07-27,2021-08-10,138.0,126.5,877,rebalance,NIFTY MS FIN SERV,-10085.5,-8.333333333333337,14
APLAPOLLO,2021-07-30,2021-08-10,873.05,838.65,160,rebalance,NIFTY METAL,-5503.999999999996,-3.9402096099879658,11
