symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
OBEROIRLTY,2021-01-01,2021-01-15,590.1,559.6,203,rebalance,NIFTY REALTY,-6191.5,-5.168615488900185,14
GODREJPROP,2021-01-01,2021-01-15,1427.25,1382.3,84,rebalance,NIFTY REALTY,-3775.800000000004,-3.149413207216678,14
TATASTEEL,2021-01-01,2021-01-18,59.32,61.61,2022,rebalance,NIFTY METAL,4630.379999999998,3.8604180714767455,17
SAIL,2021-01-15,2021-01-18,70.15,65.95,1413,rebalance,NIFTY METAL,-5934.600000000004,-5.987170349251603,3
JINDALSTEL,2021-01-01,2021-01-22,270.15,281.65,301,rebalance,NIFTY METAL,3461.5,4.2568943179714935,21
VEDL,2021-01-15,2021-01-22,74.2,69.3,1760,rebalance,NIFTY METAL,-8624.000000000011,-6.60377358490567,7
PERSISTENT,2021-01-01,2021-01-25,748.8,747.9022559601084,107,stop,NIFTY MS IT TELCM,-96.05861226839727,-0.11989103096842202,24
ASHOKLEY,2021-01-22,2021-01-27,58.65,53.76149030897642,2039,stop,NIFTY AUTO,-9967.671259997078,-8.335054886655724,5
DLF,2021-01-01,2021-01-27,238.35,258.75,336,rebalance,NIFTY REALTY,6854.4000000000015,8.558842039018245,26
MPHASIS,2021-01-01,2021-01-27,1408.2,1461.6,56,rebalance,NIFTY MS IT TELCM,2990.3999999999924,3.7920749893481043,26
WIPRO,2021-01-22,2021-01-29,212.55,199.04750555654957,410,stop,NIFTY IT,-5536.022721814682,-6.352620298024203,7
HAVELLS,2021-01-27,2021-01-29,1116.05,1065.4701982461006,96,stop,NIFTY CONSR DURBL,-4855.660968374337,-4.532037252264621,2
APLAPOLLO,2021-01-01,2021-01-29,429.9,453.3,279,rebalance,NIFTY METAL,6528.6000000000095,5.443126308443835,28
ADANIENT,2021-01-01,2021-01-29,476.2,491.2,169,rebalance,NIFTY METAL,2535.0,3.1499370012599837,28
ASHOKLEY,2021-01-27,2021-01-29,55.1,52.9,1550,rebalance,NIFTY AUTO,-3410.0000000000045,-3.9927404718693382,2
IDFCFIRSTB,2021-01-18,2021-02-01,46.65,43.93970461313877,1938,stop,NIFTY MS FIN SERV,-5252.552459737056,-5.809850775693947,14
CROMPTON,2021-01-25,2021-02-01,412.32948717948716,416.45,195,rebalance,NIFTY CONSR DURBL,803.5000000000016,0.9993252844221479,7
BAJAJ-AUTO,2021-01-29,2021-02-08,3907.0,4132.5,21,rebalance,NIFTY AUTO,4735.5,5.771691835167658,10
NATIONALUM,2021-02-01,2021-02-09,48.2740962506995,48.12,1787,rebalance,NIFTY METAL,-275.37000000001177,-0.31921105244361314,8
ASTRAL,2021-01-29,2021-02-11,970.55,1150.4,87,rebalance,NIFTY MULTI MFG,15646.950000000012,18.53072999845451,13
SHRIRAMFIN,2021-01-29,2021-02-19,258.25,280.9,390,rebalance,NIFTY FINSEREXBNK,8833.49999999999,8.770571151984496,21
TATAELXSI,2021-01-01,2021-02-22,1867.95,2666.8,64,rebalance,NIFTY MS IT TELCM,51126.40000000001,42.76613399716267,52
TMPV,2021-01-18,2021-02-22,169.35,209.65,752,rebalance,NIFTY AUTO,30305.60000000001,23.796870386772962,35
DLF,2021-02-01,2021-02-22,281.65,294.1,286,rebalance,NIFTY REALTY,3560.700000000013,4.420379904136351,21
HAVELLS,2021-01-29,2021-02-23,1044.75,1124.45,79,rebalance,NIFTY CONSR DURBL,6296.300000000004,7.628619286910743,25
UNOMINDA,2021-01-27,2021-03-02,237.9232044198895,281.35,362,rebalance,NIFTY AUTO,15720.500000000015,18.25244228951728,34
SBIN,2021-02-11,2021-03-05,390.15,383.65,256,rebalance,NIFTY PSU BANK,-1664.0,-1.6660258874791722,22
TMPV,2021-03-02,2021-03-05,238.05,223.85,427,rebalance,NIFTY AUTO,-6063.400000000007,-5.965133375341325,3
MOTHERSON,2021-02-22,2021-03-12,85.73,84.93,1447,rebalance,NIFTY AUTO,-1157.5999999999958,-0.9331622535868389,18
APLAPOLLO,2021-03-12,2021-03-15,628.75,569.147482263948,195,stop,NIFTY METAL,-11622.49095853015,-9.479525683666335,3
MAHABANK,2021-02-19,2021-03-16,23.345988964346347,21.061171981031173,4712,stop,,-10766.057625381101,-9.78676459928305,25
IDFCFIRSTB,2021-02-09,2021-03-17,50.07547605308714,60.9,1733,rebalance,NIFTY MS FIN SERV,18758.89999999999,21.616417456395865,36
ADANIPORTS,2021-02-22,2021-03-17,673.8,688.25,214,rebalance,NIFTY MOBILITY,3092.3000000000097,2.144553279905015,23
PGEL,2021-01-29,2021-03-18,17.35,40.75,7196,stop,NIFTY CONSR DURBL,168386.4,134.87031700288182,48
NBCC,2021-03-05,2021-03-18,33.896943678613624,29.93722000911046,2539,stop,NIFTY MULTI INFRA,-10053.73839686853,-11.681653977557405,13
ASTRAL,2021-03-16,2021-03-18,1398.2,1297.5,70,stop,NIFTY MULTI MFG,-7049.000000000004,-7.202117007581177,2
TATAELXSI,2021-03-17,2021-03-18,2756.95,2674.7,38,rebalance,NIFTY MS IT TELCM,-3125.5,-2.9833693030341557,1
PGEL,2021-03-18,2021-03-19,40.75,38.7,3863,rebalance,NIFTY CONSR DURBL,-7919.149999999989,-5.03067484662576,1
NATIONALUM,2021-03-18,2021-03-19,55.61,54.63,2557,rebalance,NIFTY METAL,-2505.859999999992,-1.7622729724869557,1
NMDC,2021-03-17,2021-03-22,16.0,15.45,9130,rebalance,NIFTY METAL,-5021.500000000006,-3.4375000000000044,5
SAIL,2021-03-19,2021-03-23,73.5,72.3,2153,rebalance,NIFTY METAL,-2583.6000000000063,-1.6326530612244983,4
HINDALCO,2021-03-05,2021-03-24,337.81421875,317.75,320,rebalance,NIFTY METAL,-6420.550000000003,-5.939423989979698,19
TATASTEEL,2021-03-19,2021-03-24,68.11,65.18,1922,rebalance,NIFTY METAL,-5631.4599999999855,-4.301864630744379,5
PGEL,2021-03-22,2021-03-24,40.65,38.75,3471,rebalance,NIFTY CONSR DURBL,-6594.899999999995,-4.674046740467396,2
ADANIPORTS,2021-03-24,2021-03-25,706.85,688.25,151,rebalance,NIFTY MOBILITY,-2808.6000000000035,-2.6313927990379904,1
ADANIPOWER,2021-03-15,2021-03-30,15.85,18.047692089117266,7002,stop,NIFTY COMMODITIES,15388.2400079991,13.865565231023758,15
ADANIPOWER,2021-03-30,2021-03-31,17.9,17.0,7061,rebalance,NIFTY COMMODITIES,-6354.89999999999,-5.027932960893844,1
PGEL,2021-03-31,2021-04-01,40.7,39.05,2949,rebalance,NIFTY CONSR DURBL,-4865.850000000017,-4.054054054054069,1
APLAPOLLO,2021-03-18,2021-04-05,609.8,617.75,258,rebalance,NIFTY METAL,2051.1000000000117,1.303706133158422,18
NBCC,2021-03-23,2021-04-05,31.93,30.3,4875,rebalance,NIFTY MULTI INFRA,-7946.249999999995,-5.104917005950515,13
ADANIENT,2021-02-08,2021-04-12,609.1,1029.546745958861,142,stop,NIFTY METAL,59703.437926158265,69.02753997026122,63
