symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
SRF,2021-08-30,2021-08-31,1942.6,2027.95,61,rebalance,,5206.350000000009,4.393596211263273,1
PERSISTENT,2021-08-30,2021-09-06,1661.672549019608,1765.85,51,rebalance,NIFTY MS IT TELCM,5313.049999999992,6.269433231105426,7
CAMS,2021-08-30,2021-09-13,717.6,720.7,113,rebalance,NIFTY MS FIN SERV,350.30000000000257,0.43199554069119905,14
SRF,2021-09-06,2021-09-15,2046.1,2244.9,44,rebalance,,8747.200000000008,9.716045159083153,9
PERSISTENT,2021-09-15,2021-09-16,1826.85,1847.7,54,rebalance,NIFTY MS IT TELCM,1125.9000000000074,1.1413088102471436,1
JSWENERGY,2021-08-30,2021-09-17,252.2,323.45,475,rebalance,NIFTY COMMODITIES,33843.75,28.25138778747027,18
TATAELXSI,2021-08-30,2021-09-17,4826.75,5490.65,16,rebalance,NIFTY MS IT TELCM,10622.399999999994,13.754596778370543,18
ADANIENSOL,2021-09-17,2021-09-21,1820.35,1642.9,71,stop,NIFTY COMMODITIES,-12598.949999999986,-9.748125360507586,4
APOLLOHOSP,2021-08-31,2021-09-24,4969.55,4731.8,24,rebalance,NIFTY HEALTHCARE,-5706.0,-4.784135384491551,24
MAXHEALTH,2021-08-30,2021-09-27,361.0,358.95,332,rebalance,NIFTY HEALTHCARE,-680.6000000000038,-0.5678670360110827,28
COFORGE,2021-08-30,2021-09-27,1024.4814814814815,1083.0,81,rebalance,NIFTY MS IT TELCM,4739.999999999996,5.712013303929719,28
KPITTECH,2021-08-30,2021-10-01,335.65,338.05,357,rebalance,NIFTY MS IT TELCM,856.8000000000122,0.7150305377625621,32
HAL,2021-09-16,2021-10-04,716.0,672.8,139,rebalance,NIFTY IND DEFENCE,-6004.800000000007,-6.03351955307263,18
OBEROIRLTY,2021-09-27,2021-10-06,948.8,853.5925580844728,128,stop,NIFTY REALTY,-12186.552565187478,-10.034511163103621,9
IEX,2021-09-13,2021-10-11,197.49515765765764,260.3,444,rebalance,NIFTY MS FIN SERV,27885.350000000013,31.80069986891001,28
OFSS,2021-08-30,2021-10-12,4214.5,4236.5,19,rebalance,NIFTY MS IT TELCM,418.0,0.522007355558185,43
KEI,2021-10-04,2021-10-12,997.55,963.55,93,rebalance,NIFTY EV,-3162.0,-3.4083504586236324,8
INDHOTEL,2021-10-12,2021-10-13,207.25,223.85,394,rebalance,NIFTY IND TOURISM,6540.399999999998,8.009650180940886,1
SRF,2021-09-17,2021-10-20,2219.8,2191.8879245162216,50,stop,,-1395.6037741889304,-1.2574139780060611,33
OIL,2021-10-01,2021-10-20,166.7,151.44805916158137,729,stop,NIFTY OIL AND GAS,-11118.664871207173,-9.149334636123951,19
PRESTIGE,2021-09-24,2021-10-20,459.1,433.6,247,rebalance,NIFTY REALTY,-6298.5,-5.554345458505772,26
ANGELONE,2021-08-30,2021-10-21,120.1,128.33883673709067,999,stop,NIFTY MS FIN SERV,8230.597900353589,6.8599806303835775,52
