symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
SRF,2021-08-30,2021-08-31,1942.6,2027.95,41,rebalance,,3499.350000000006,4.393596211263273,1
PERSISTENT,2021-08-30,2021-09-06,1661.7,1765.85,72,rebalance,NIFTY MS IT TELCM,7498.79999999999,6.267677679484862,7
KPITTECH,2021-08-30,2021-09-16,335.65,325.2,357,rebalance,NIFTY MS IT TELCM,-3730.649999999996,-3.1133621331744354,17
JSWENERGY,2021-08-30,2021-09-17,252.2,323.45,475,rebalance,NIFTY COMMODITIES,33843.75,28.25138778747027,18
TATAELXSI,2021-08-30,2021-09-17,4826.75,5490.65,24,rebalance,NIFTY MS IT TELCM,15933.599999999991,13.754596778370543,18
TATASTEEL,2021-08-30,2021-09-17,137.29026058631922,131.92,614,rebalance,NIFTY METAL,-3297.3400000000092,-3.9116107460097416,18
NATIONALUM,2021-09-06,2021-09-20,97.13,87.92087869438573,1266,stop,NIFTY METAL,-11658.747572907654,-9.481232683634577,14
OFSS,2021-08-30,2021-09-20,4214.5,4196.5,28,rebalance,NIFTY MS IT TELCM,-504.0,-0.4270969272748837,21
ADANIENSOL,2021-09-17,2021-09-21,1820.35,1642.9,70,stop,NIFTY COMMODITIES,-12421.499999999987,-9.748125360507586,4
INDIGO,2021-09-20,2021-09-21,2169.5,2236.25,57,rebalance,NIFTY IND TOURISM,3804.75,3.0767457939617326,1
APOLLOHOSP,2021-08-31,2021-09-24,4969.55,4731.8,16,rebalance,NIFTY HEALTHCARE,-3804.0,-4.784135384491551,24
HAL,2021-09-16,2021-09-24,716.0,670.7,162,rebalance,NIFTY IND DEFENCE,-7338.599999999993,-6.326815642458095,8
INDUSTOWER,2021-09-21,2021-09-24,261.05,306.15,455,rebalance,NIFTY MS IT TELCM,20520.499999999985,17.27638383451444,3
WIPRO,2021-09-20,2021-09-27,316.65,312.55,334,rebalance,NIFTY IT,-1369.3999999999887,-1.2948049897362868,7
COFORGE,2021-08-30,2021-09-28,1024.5,1035.6279281148863,79,stop,NIFTY MS IT TELCM,879.1063210760212,1.0861813679732935,29
KPITTECH,2021-09-24,2021-09-28,369.1710084033613,339.58516751583136,238,stop,NIFTY MS IT TELCM,-7041.430131232132,-8.01412901177876,4
TECHM,2021-08-30,2021-09-28,1332.3285714285714,1326.7,63,rebalance,NIFTY IT,-354.5999999999967,-0.42246121184177365,29
PERSISTENT,2021-09-17,2021-09-28,1769.0,1755.7,72,rebalance,NIFTY MS IT TELCM,-957.5999999999967,-0.7518371961560133,11
OIL,2021-09-28,2021-09-29,155.5,169.65,535,rebalance,NIFTY OIL AND GAS,7570.250000000003,9.099678456591654,1
MPHASIS,2021-08-30,2021-10-01,2683.1,2836.9,32,rebalance,NIFTY MS IT TELCM,4921.600000000006,5.732175468674305,32
GODREJPROP,2021-10-01,2021-10-04,2233.3,2337.55,40,rebalance,NIFTY REALTY,4170.0,4.667980119106252,3
KPITTECH,2021-09-28,2021-10-06,341.1,335.8,243,rebalance,NIFTY MS IT TELCM,-1287.9000000000028,-1.5537965406039356,8
INDHOTEL,2021-09-28,2021-10-13,181.65,223.85,679,rebalance,NIFTY IND TOURISM,28653.799999999992,23.231489127442885,15
PRESTIGE,2021-09-24,2021-10-14,459.1,453.55,283,rebalance,NIFTY REALTY,-1570.6500000000033,-1.2088869527336121,20
SRF,2021-09-17,2021-10-18,2219.8,2333.3,50,rebalance,,5675.0,5.113073249842337,31
PHOENIXLTD,2021-09-28,2021-10-19,485.03342857142854,481.2,175,rebalance,NIFTY REALTY,-670.8499999999972,-0.790343169277874,21
OBEROIRLTY,2021-09-24,2021-10-20,932.0,882.2,114,rebalance,NIFTY REALTY,-5677.199999999995,-5.343347639484975,26
GODREJPROP,2021-10-13,2021-10-21,2458.05,2237.274168393866,54,stop,NIFTY REALTY,-11921.894906731239,-8.981746978545345,8
TATAELXSI,2021-09-21,2021-10-21,5619.95,5911.1,22,rebalance,NIFTY MS IT TELCM,6405.300000000012,5.180651073408127,30
DLF,2021-09-27,2021-10-21,420.0,407.1,248,rebalance,NIFTY REALTY,-3199.1999999999944,-3.0714285714285694,24
PERSISTENT,2021-09-29,2021-10-22,1771.4,1881.6844272320789,51,stop,NIFTY MS IT TELCM,5624.505788836017,6.225834212040127,23
MPHASIS,2021-10-19,2021-10-22,3333.7,3002.9,25,stop,NIFTY MS IT TELCM,-8269.999999999993,-9.922908480067182,3
