symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
DIXON,2021-01-01,2021-01-07,2724.4,3130.55,29,rebalance,NIFTY CONSR DURBL,11778.350000000002,14.907869622669212,6
TATAELXSI,2021-01-01,2021-01-11,1867.95,2117.55,64,rebalance,NIFTY MS IT TELCM,15974.400000000009,13.362242030032935,10
PERSISTENT,2021-01-01,2021-01-13,748.8,823.05,106,rebalance,NIFTY MS IT TELCM,7870.5,9.915865384615374,12
DLF,2021-01-01,2021-01-13,238.39999999999998,280.45,344,rebalance,NIFTY REALTY,14465.200000000004,17.638422818791955,12
SAIL,2021-01-11,2021-01-14,74.85,67.84006357972231,1703,stop,NIFTY METAL,-11937.921723732894,-9.365312518741064,3
OBEROIRLTY,2021-01-01,2021-01-15,590.1,559.6,203,rebalance,NIFTY REALTY,-6191.5,-5.168615488900185,14
GODREJPROP,2021-01-01,2021-01-15,1430.9877049180327,1382.3,61,rebalance,NIFTY REALTY,-2969.949999999998,-3.4023845733057168,14
NMDC,2021-01-07,2021-01-18,15.45,14.317552072937225,5884,stop,NIFTY METAL,-6663.323602837363,-7.329760045713751,11
TATASTEEL,2021-01-01,2021-01-18,59.32,61.61,2022,rebalance,NIFTY METAL,4630.379999999998,3.8604180714767455,17
SAIL,2021-01-15,2021-01-18,70.15,65.95,1208,rebalance,NIFTY METAL,-5073.600000000003,-5.987170349251603,3
TATAELXSI,2021-01-15,2021-01-19,2357.8,2673.65,48,rebalance,NIFTY MS IT TELCM,15160.799999999996,13.395962337772493,4
TMPV,2021-01-18,2021-01-20,169.35,189.25,506,rebalance,NIFTY AUTO,10069.400000000003,11.750811927959859,2
TATASTEEL,2021-01-20,2021-01-21,63.91,61.61,1498,rebalance,NIFTY METAL,-3445.3999999999955,-3.598810827726484,1
VEDL,2021-01-13,2021-01-22,76.5,69.10192068077131,1283,stop,NIFTY METAL,-9491.735766570404,-9.67069192056037,9
RVNL,2021-01-13,2021-01-22,32.94405465288035,29.6487389930469,2708,stop,,-8923.71480682897,-10.002762849184776,9
MPHASIS,2021-01-14,2021-01-22,1567.0,1436.1,73,stop,NIFTY MS IT TELCM,-9555.700000000006,-8.353541799617103,8
KPITTECH,2021-01-01,2021-01-25,143.9,127.12076423815654,833,stop,NIFTY MS IT TELCM,-13977.103389615608,-11.660344518306786,24
PERSISTENT,2021-01-18,2021-01-25,795.9295238095239,769.5,105,rebalance,NIFTY MS IT TELCM,-2775.100000000005,-3.320585933667264,7
ASHOKLEY,2021-01-22,2021-01-27,58.65,53.76149030897642,1893,stop,NIFTY AUTO,-9253.948845107634,-8.335054886655724,5
DLF,2021-01-18,2021-01-27,277.15,258.75,439,rebalance,NIFTY REALTY,-8077.59999999999,-6.63900414937758,9
MPHASIS,2021-01-22,2021-01-27,1474.3,1461.6,55,rebalance,NIFTY MS IT TELCM,-698.5000000000025,-0.8614257613782872,5
KPITTECH,2021-01-25,2021-01-28,133.65,132.95,596,rebalance,NIFTY MS IT TELCM,-417.20000000001016,-0.5237560793116436,3
HAVELLS,2021-01-27,2021-01-28,1116.05,1181.75,106,rebalance,NIFTY CONSR DURBL,6964.200000000004,5.886833027194127,1
WIPRO,2021-01-22,2021-01-29,212.55,199.04750555654957,382,stop,NIFTY IT,-5157.95287739807,-6.352620298024203,7
APLAPOLLO,2021-01-01,2021-01-29,429.9,453.3,279,rebalance,NIFTY METAL,6528.6000000000095,5.443126308443835,28
ADANIENT,2021-01-01,2021-01-29,476.2,491.2,170,rebalance,NIFTY METAL,2550.0,3.1499370012599837,28
DLF,2021-01-28,2021-01-29,261.0,255.45,330,rebalance,NIFTY REALTY,-1831.5000000000036,-2.126436781609198,1
IDFCFIRSTB,2021-01-19,2021-02-01,50.15,45.21953151712527,2506,stop,NIFTY MS FIN SERV,-12355.754018084073,-9.831442637835952,13
CROMPTON,2021-01-27,2021-02-01,428.05,416.45,185,rebalance,NIFTY CONSR DURBL,-2146.000000000004,-2.709963789276959,5
HAVELLS,2021-01-29,2021-02-01,1044.75,1062.2,75,rebalance,NIFTY CONSR DURBL,1308.7500000000034,1.6702560421153478,3
RVNL,2021-01-28,2021-02-02,30.15,29.65,3923,rebalance,,-1961.5,-1.6583747927031545,5
KPITTECH,2021-01-29,2021-02-02,142.8,134.95,823,rebalance,NIFTY MS IT TELCM,-6460.550000000018,-5.497198879551835,4
TMPV,2021-01-25,2021-02-03,192.2,227.9,559,rebalance,NIFTY AUTO,19956.30000000001,18.57440166493238,9
PGEL,2021-01-29,2021-02-03,17.35,20.05,5539,rebalance,NIFTY CONSR DURBL,14955.299999999996,15.561959654178658,5
UNOMINDA,2021-01-27,2021-02-08,237.95,296.4,413,rebalance,NIFTY AUTO,24139.849999999995,24.563984030258457,12
NATIONALUM,2021-02-01,2021-02-09,48.27,48.12,1645,rebalance,NIFTY METAL,-246.75000000000935,-0.3107520198881386,8
DIXON,2021-02-02,2021-02-10,3139.3,3745.7,33,rebalance,NIFTY CONSR DURBL,20011.19999999999,19.316408116459073,8
ADANIENT,2021-02-03,2021-02-10,549.3,630.8,207,rebalance,NIFTY METAL,16870.5,14.83706535590752,7
ASHOKLEY,2021-02-02,2021-02-12,63.7,61.65,1923,rebalance,NIFTY AUTO,-3942.1500000000083,-3.2182103610675084,10
OBEROIRLTY,2021-02-10,2021-02-12,590.0,562.55,207,rebalance,NIFTY REALTY,-5682.15000000001,-4.6525423728813635,2
VOLTAS,2021-02-10,2021-02-16,1091.05,1037.65,121,rebalance,NIFTY CONSR DURBL,-6461.399999999983,-4.894367810824418,6
ADANIPORTS,2021-02-12,2021-02-17,616.6,655.75,169,rebalance,NIFTY MOBILITY,6616.349999999996,6.349335063250083,5
SHRIRAMFIN,2021-01-29,2021-02-18,258.25,287.75,303,rebalance,NIFTY FINSEREXBNK,8938.5,11.423039690222648,20
PGEL,2021-02-16,2021-02-18,24.8,26.6,5066,rebalance,NIFTY CONSR DURBL,9118.800000000003,7.258064516129026,2
IDFCFIRSTB,2021-02-01,2021-02-19,46.632626146788986,62.4,1744,rebalance,NIFTY MS FIN SERV,27498.300000000007,33.81189342324164,18
AXISBANK,2021-02-18,2021-02-22,777.0,722.9541224304696,116,stop,NIFTY PVT BANK,-6269.321798065524,-6.955711398909958,4
TATAELXSI,2021-01-21,2021-02-22,2577.6,2666.8,35,rebalance,NIFTY MS IT TELCM,3122.0000000000095,3.4605834885164555,32
DLF,2021-02-01,2021-02-22,281.65,294.1,396,rebalance,NIFTY REALTY,4930.200000000018,4.420379904136351,21
TMPV,2021-02-08,2021-02-22,231.3,209.65,529,rebalance,NIFTY AUTO,-11452.850000000002,-9.360138348465197,14
UNOMINDA,2021-02-09,2021-02-23,290.44490909090916,271.7,275,rebalance,NIFTY AUTO,-5154.850000000023,-6.453860441066306,14
IDFCFIRSTB,2021-02-22,2021-02-24,61.5,63.8,1538,rebalance,NIFTY MS FIN SERV,3537.3999999999955,3.7398373983739797,2
PGEL,2021-02-19,2021-02-25,26.45,28.8,4118,rebalance,NIFTY CONSR DURBL,9677.300000000007,8.884688090737235,6
ADANIPORTS,2021-02-22,2021-02-25,673.8,704.3,131,rebalance,NIFTY MOBILITY,3995.5,4.526565746512312,3
