symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
OBEROIRLTY,2021-01-01,2021-01-15,590.1,559.6,203,rebalance,NIFTY REALTY,-6191.5,-5.168615488900185,14
GODREJPROP,2021-01-01,2021-01-15,1427.25,1382.3,56,rebalance,NIFTY REALTY,-2517.2000000000025,-3.149413207216678,14
TATASTEEL,2021-01-01,2021-01-18,59.32,61.61,2022,rebalance,NIFTY METAL,4630.379999999998,3.8604180714767455,17
SAIL,2021-01-15,2021-01-18,70.15,65.95,1225,rebalance,NIFTY METAL,-5145.000000000004,-5.987170349251603,3
DIXON,2021-01-01,2021-01-22,2724.4,2765.3903905608463,29,stop,NIFTY CONSR DURBL,1188.72132626454,1.5045657965367054,21
VEDL,2021-01-15,2021-01-22,74.2,69.3,1417,rebalance,NIFTY METAL,-6943.300000000008,-6.60377358490567,7
RVNL,2021-01-18,2021-01-22,31.25,28.95,2704,rebalance,,-6219.200000000002,-7.359999999999999,4
KPITTECH,2021-01-01,2021-01-25,143.9,127.12076423815654,833,stop,NIFTY MS IT TELCM,-13977.103389615608,-11.660344518306786,24
PERSISTENT,2021-01-01,2021-01-25,748.8,747.9022559601084,106,stop,NIFTY MS IT TELCM,-95.1608682285057,-0.11989103096842202,24
ASHOKLEY,2021-01-22,2021-01-27,58.62172437202986,53.76149030897642,1473,stop,NIFTY AUTO,-7159.124774877717,-8.290841177255437,5
DLF,2021-01-01,2021-01-27,238.35,258.75,342,rebalance,NIFTY REALTY,6976.800000000002,8.558842039018245,26
MPHASIS,2021-01-25,2021-01-27,1466.7,1461.6,56,rebalance,NIFTY MS IT TELCM,-285.60000000000764,-0.3477193700143322,2
KPITTECH,2021-01-25,2021-01-28,133.65,132.95,765,rebalance,NIFTY MS IT TELCM,-535.5000000000131,-0.5237560793116436,3
WIPRO,2021-01-22,2021-01-29,212.55,199.04750555654957,401,stop,NIFTY IT,-5414.500271823628,-6.352620298024203,7
HAVELLS,2021-01-27,2021-01-29,1116.05,1065.4701982461006,74,stop,NIFTY CONSR DURBL,-3742.9053297885516,-4.532037252264621,2
