symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
PERSISTENT,2021-08-30,2021-09-06,1661.7,1765.85,49,rebalance,NIFTY MS IT TELCM,5103.349999999993,6.267677679484862,7
SRF,2021-09-06,2021-09-15,2046.1,2244.9,42,rebalance,,8349.600000000008,9.716045159083153,9
KPITTECH,2021-08-30,2021-09-16,335.65,325.2,357,rebalance,NIFTY MS IT TELCM,-3730.649999999996,-3.1133621331744354,17
PERSISTENT,2021-09-15,2021-09-16,1826.85,1847.7,51,rebalance,NIFTY MS IT TELCM,1063.350000000007,1.1413088102471436,1
JSWENERGY,2021-08-30,2021-09-17,252.2,323.45,475,rebalance,NIFTY COMMODITIES,33843.75,28.25138778747027,18
TATAELXSI,2021-08-30,2021-09-17,4826.75,5490.65,17,rebalance,NIFTY MS IT TELCM,11286.299999999994,13.754596778370543,18
TATASTEEL,2021-08-30,2021-09-17,137.24702886247877,131.92,589,rebalance,NIFTY METAL,-3137.6200000000035,-3.881343666693471,18
OFSS,2021-08-30,2021-09-20,4214.5,4196.5,28,rebalance,NIFTY MS IT TELCM,-504.0,-0.4270969272748837,21
PRESTIGE,2021-09-16,2021-09-20,425.8,395.9,293,rebalance,NIFTY REALTY,-8760.70000000001,-7.022076092062013,4
ADANIENSOL,2021-09-17,2021-09-21,1820.35,1642.9,70,stop,NIFTY COMMODITIES,-12421.499999999987,-9.748125360507586,4
APOLLOHOSP,2021-08-30,2021-09-22,4757.55,4904.9,17,rebalance,NIFTY HEALTHCARE,2504.9499999999907,3.0971823732803605,23
HAL,2021-09-20,2021-09-24,688.6,670.7,182,rebalance,NIFTY IND DEFENCE,-3257.7999999999956,-2.5994772001161737,4
LTM,2021-09-20,2021-09-24,5547.45,6231.35,19,rebalance,NIFTY IT,12994.10000000001,12.32818682457706,4
WIPRO,2021-09-16,2021-09-27,319.1361623616236,312.55,271,rebalance,NIFTY IT,-1784.849999999986,-2.063746807283018,11
COFORGE,2021-08-30,2021-09-28,1025.126582278481,1035.6279281148863,79,stop,NIFTY MS IT TELCM,829.6063210760215,1.0243950374464683,29
KPITTECH,2021-09-24,2021-09-28,369.25,339.58516751583136,356,stop,NIFTY MS IT TELCM,-10560.680364364036,-8.033807037012497,4
