symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
CGPOWER,2021-01-01,2021-01-06,44.65,43.25,2687,rebalance,NIFTY ENERGY,-3761.799999999996,-3.135498320268759,5
SAIL,2021-01-06,2021-01-07,76.2,78.0,1529,rebalance,NIFTY METAL,2752.1999999999957,2.3622047244094446,1
TATAELXSI,2021-01-01,2021-01-11,1867.95,2117.55,64,rebalance,NIFTY MS IT TELCM,15974.400000000009,13.362242030032935,10
PERSISTENT,2021-01-01,2021-01-13,748.8,823.05,107,rebalance,NIFTY MS IT TELCM,7944.75,9.915865384615374,12
SAIL,2021-01-11,2021-01-14,74.85,67.84006357972231,1690,stop,NIFTY METAL,-11846.792550269283,-9.365312518741064,3
GODREJPROP,2021-01-01,2021-01-15,1427.25,1382.3,56,rebalance,NIFTY REALTY,-2517.2000000000025,-3.149413207216678,14
OBEROIRLTY,2021-01-01,2021-01-15,589.645,559.6,150,rebalance,NIFTY REALTY,-4506.749999999994,-5.095438780961414,14
NMDC,2021-01-07,2021-01-18,15.45,14.317552072937225,7721,stop,NIFTY METAL,-8743.630444851678,-7.329760045713751,11
TATASTEEL,2021-01-01,2021-01-18,59.32,61.61,2022,rebalance,NIFTY METAL,4630.379999999998,3.8604180714767455,17
SAIL,2021-01-15,2021-01-18,70.15,65.95,1136,rebalance,NIFTY METAL,-4771.2000000000035,-5.987170349251603,3
TATAELXSI,2021-01-15,2021-01-19,2357.8,2673.65,34,rebalance,NIFTY MS IT TELCM,10738.899999999998,13.395962337772493,4
VEDL,2021-01-13,2021-01-22,76.5,69.10192068077131,1154,stop,NIFTY METAL,-8537.383534389903,-9.67069192056037,9
OFSS,2021-01-14,2021-01-22,3013.5,2896.0,38,rebalance,NIFTY MS IT TELCM,-4465.0,-3.899120623859298,8
RVNL,2021-01-18,2021-01-22,31.249746489859596,28.95,2564,rebalance,,-5896.5500000000075,-7.3592484681623045,4
OBEROIRLTY,2021-01-19,2021-01-22,583.7,567.45,155,rebalance,NIFTY REALTY,-2518.75,-2.7839643652561197,3
KPITTECH,2021-01-01,2021-01-25,143.9,127.12076423815654,833,stop,NIFTY MS IT TELCM,-13977.103389615608,-11.660344518306786,24
PERSISTENT,2021-01-18,2021-01-25,796.2,769.5,149,rebalance,NIFTY MS IT TELCM,-3978.3000000000065,-3.3534287867370116,7
HINDZINC,2021-01-22,2021-01-25,275.65,268.05,287,rebalance,NIFTY METAL,-2181.1999999999903,-2.7571195356430156,3
MPHASIS,2021-01-01,2021-01-27,1408.2,1461.6,57,rebalance,NIFTY MS IT TELCM,3043.799999999992,3.7920749893481043,26
DLF,2021-01-18,2021-01-27,277.15,258.75,409,rebalance,NIFTY REALTY,-7525.59999999999,-6.63900414937758,9
KPITTECH,2021-01-25,2021-01-28,133.65,132.95,775,rebalance,NIFTY MS IT TELCM,-542.5000000000132,-0.5237560793116436,3
HAVELLS,2021-01-27,2021-01-28,1116.05,1181.75,99,rebalance,NIFTY CONSR DURBL,6504.300000000005,5.886833027194127,1
WIPRO,2021-01-22,2021-01-29,212.55,199.04750555654957,379,stop,NIFTY IT,-5117.445394067719,-6.352620298024203,7
TCS,2021-01-27,2021-01-29,3261.05,3120.6625175672484,24,stop,NIFTY IT,-3369.2995783860424,-4.3049779191595245,2
ADANIENT,2021-01-01,2021-01-29,476.2,491.2,251,rebalance,NIFTY METAL,3765.0,3.1499370012599837,28
APLAPOLLO,2021-01-01,2021-01-29,429.9,453.3,188,rebalance,NIFTY METAL,4399.200000000006,5.443126308443835,28
ASHOKLEY,2021-01-25,2021-01-29,56.2,52.9,1383,rebalance,NIFTY AUTO,-4563.900000000006,-5.87188612099645,4
DLF,2021-01-28,2021-01-29,261.0,255.45,442,rebalance,NIFTY REALTY,-2453.100000000005,-2.126436781609198,1
IDFCFIRSTB,2021-01-22,2021-02-01,49.43059250302297,44.40836761775664,1654,stop,NIFTY MS FIN SERV,-8306.759960230514,-10.160155140683768,10
CROMPTON,2021-01-29,2021-02-01,427.75,416.45,202,rebalance,NIFTY CONSR DURBL,-2282.600000000002,-2.641729982466401,3
AMBER,2021-01-29,2021-02-01,2579.75,2624.25,29,rebalance,NIFTY CONSR DURBL,1290.5,1.7249733501308206,3
RVNL,2021-01-28,2021-02-02,30.15,29.65,3472,rebalance,,-1736.0,-1.6583747927031545,5
PGEL,2021-01-29,2021-02-02,17.35,19.1,4418,rebalance,NIFTY CONSR DURBL,7731.5,10.086455331412104,4
