symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
CGPOWER,2021-01-01,2021-01-06,44.65,43.25,2687,rebalance,NIFTY ENERGY,-3761.799999999996,-3.135498320268759,5
SAIL,2021-01-06,2021-01-14,76.2,69.0,1529,stop,NIFTY METAL,-11008.800000000005,-9.4488188976378,8
GODREJPROP,2021-01-01,2021-01-15,1427.25,1382.3,56,rebalance,NIFTY REALTY,-2517.2000000000025,-3.149413207216678,14
OBEROIRLTY,2021-01-01,2021-01-15,590.1,559.6,135,rebalance,NIFTY REALTY,-4117.5,-5.168615488900185,14
TATASTEEL,2021-01-01,2021-01-18,59.32,61.61,2022,rebalance,NIFTY METAL,4630.379999999998,3.8604180714767455,17
SAIL,2021-01-15,2021-01-18,70.15,65.95,987,rebalance,NIFTY METAL,-4145.400000000002,-5.987170349251603,3
VEDL,2021-01-14,2021-01-22,74.55,69.3,1415,rebalance,NIFTY METAL,-7428.75,-7.042253521126762,8
OFSS,2021-01-18,2021-01-22,2890.0,2896.0,37,rebalance,NIFTY MS IT TELCM,222.0,0.20761245674740803,4
RVNL,2021-01-18,2021-01-22,31.25,28.95,2654,rebalance,,-6104.200000000002,-7.359999999999999,4
KPITTECH,2021-01-01,2021-01-25,143.9,127.12076423815654,833,stop,NIFTY MS IT TELCM,-13977.103389615608,-11.660344518306786,24
PERSISTENT,2021-01-01,2021-01-25,748.8,747.9022559601084,107,stop,NIFTY MS IT TELCM,-96.05861226839727,-0.11989103096842202,24
HINDZINC,2021-01-22,2021-01-25,275.65,268.05,296,rebalance,NIFTY METAL,-2249.59999999999,-2.7571195356430156,3
MPHASIS,2021-01-01,2021-01-27,1408.2,1461.6,57,rebalance,NIFTY MS IT TELCM,3043.799999999992,3.7920749893481043,26
DLF,2021-01-15,2021-01-27,279.45,258.75,299,rebalance,NIFTY REALTY,-6189.2999999999965,-7.4074074074074066,12
KPITTECH,2021-01-25,2021-01-28,133.65,132.95,597,rebalance,NIFTY MS IT TELCM,-417.9000000000102,-0.5237560793116436,3
WIPRO,2021-01-22,2021-01-29,212.55,199.04750555654957,557,stop,NIFTY IT,-7520.889405001898,-6.352620298024203,7
HAVELLS,2021-01-27,2021-01-29,1116.05,1065.4701982461006,72,stop,NIFTY CONSR DURBL,-3641.745726280753,-4.532037252264621,2
TCS,2021-01-27,2021-01-29,3261.05,3120.6625175672484,24,stop,NIFTY IT,-3369.2995783860424,-4.3049779191595245,2
ADANIENT,2021-01-01,2021-01-29,476.2,491.2,251,rebalance,NIFTY METAL,3765.0,3.1499370012599837,28
