symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
BSE,2023-08-29,2023-08-31,303.5,354.0,395,rebalance,NIFTY MS FIN SERV,19947.5,16.63920922570017,2
PFC,2023-08-29,2023-09-01,216.0,204.07159314782805,555,stop,NIFTY FINSEREXBNK,-6620.26580295543,-5.522410579709236,3
IRFC,2023-08-29,2023-09-01,49.5,55.75,2424,rebalance,NIFTY FINSEREXBNK,15150.0,12.62626262626263,3
DIXON,2023-08-29,2023-09-06,4917.05,4998.15,16,rebalance,NIFTY CONSR DURBL,1297.5999999999913,1.6493629310257107,8
KEI,2023-08-29,2023-09-08,2618.95,2518.45,30,rebalance,NIFTY EV,-3015.0,-3.8374157582237167,10
MAZDOCK,2023-08-29,2023-09-11,909.2,1136.1,131,rebalance,NIFTY IND DEFENCE,29723.899999999983,24.956005279366455,13
ADANIPOWER,2023-09-06,2023-09-11,69.5,79.7,1152,rebalance,NIFTY COMMODITIES,11750.400000000003,14.676258992805757,5
RVNL,2023-09-08,2023-09-11,162.85,189.5,464,rebalance,,12365.600000000002,16.364752840036843,3
ANGELONE,2023-09-01,2023-09-12,191.5,179.1654815580231,657,stop,NIFTY MS FIN SERV,-8103.7786163788305,-6.441001797376977,11
BHEL,2023-09-11,2023-09-12,139.85,128.44395130245601,655,stop,NIFTY ENERGY,-7470.961896891307,-8.155916122662843,1
KAYNES,2023-09-11,2023-09-13,2202.3,2008.3819108152293,61,stop,NIFTY MULTI INFRA,-11829.003440271026,-8.80525310742274,2
SUPREMEIND,2023-08-29,2023-09-14,4456.199999999999,4294.9,21,rebalance,NIFTY MULTI MFG,-3387.2999999999847,-3.619675957093471,16
TRENT,2023-08-29,2023-09-14,1366.2,1372.3,61,rebalance,NIFTY NONCYC CONS,372.09999999999445,0.4464939247547983,16
KALYANKJIL,2023-08-29,2023-09-20,227.85,219.15,526,rebalance,NIFTY CONSR DURBL,-4576.199999999994,-3.8183015141540433,22
RVNL,2023-09-14,2023-09-21,170.95,158.8,517,rebalance,,-6281.549999999988,-7.107341327873639,7
BSE,2023-09-12,2023-09-22,432.5,385.5058087387164,267,stop,NIFTY MS FIN SERV,-12547.449066762725,-10.865708962146503,10
COFORGE,2023-09-11,2023-09-22,1103.0,1058.5,93,rebalance,NIFTY MS IT TELCM,-4138.5,-4.034451495920221,11
ADANIPOWER,2023-09-14,2023-10-09,75.44964726631395,67.90188898747532,1134,stop,NIFTY COMMODITIES,-8559.157888203004,-10.003702538459025,25
IRFC,2023-09-13,2023-10-09,78.9,71.15,1558,rebalance,NIFTY FINSEREXBNK,-12074.5,-9.822560202788344,26
KAYNES,2023-09-21,2023-10-09,2067.85,2631.15,39,rebalance,NIFTY MULTI INFRA,21968.700000000008,27.240854027129636,18
RVNL,2023-09-22,2023-10-11,166.83904109589042,165.2,511,rebalance,,-837.5500000000118,-0.9824086047991565,19
