symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
HINDALCO,2021-01-04,2021-01-12,254.3,264.35,315,rebalance,NIFTY METAL,3165.7500000000036,3.9520251671254503,8
SAIL,2021-01-12,2021-01-14,75.9,68.85505903831358,1097,stop,NIFTY METAL,-7728.300234970005,-9.281872149784476,2
OBEROIRLTY,2021-01-04,2021-01-15,590.1,559.6,138,rebalance,NIFTY REALTY,-4209.0,-5.168615488900185,11
TATASTEEL,2021-01-04,2021-01-18,64.2,61.61,1869,rebalance,NIFTY METAL,-4840.710000000006,-4.034267912772593,14
DIXON,2021-01-04,2021-01-22,2754.6,2765.3903905608463,29,stop,NIFTY CONSR DURBL,312.9213262645453,0.3917225935107238,18
JINDALSTEL,2021-01-04,2021-01-22,287.68910714285715,281.65,280,rebalance,NIFTY METAL,-1690.9500000000094,-2.099178242385924,18
VEDL,2021-01-14,2021-01-22,74.55,69.3,1013,rebalance,NIFTY METAL,-5318.25,-7.042253521126762,8
RVNL,2021-01-15,2021-01-22,31.549511002444987,28.95,2454,rebalance,,-6379.200000000001,-8.239465271723335,7
KPITTECH,2021-01-04,2021-01-25,145.45,129.1335667925739,825,stop,NIFTY MS IT TELCM,-13461.057396126522,-11.217898389430104,21
PERSISTENT,2021-01-04,2021-01-25,759.9,747.9022559601084,105,stop,NIFTY MS IT TELCM,-1259.7631241886165,-1.5788582760746905,21
ASHOKLEY,2021-01-22,2021-01-27,58.65,53.76149030897642,1392,stop,NIFTY AUTO,-6804.805489904822,-8.335054886655724,5
DLF,2021-01-18,2021-01-27,277.15,258.75,415,rebalance,NIFTY REALTY,-7635.999999999991,-6.63900414937758,9
MPHASIS,2021-01-22,2021-01-27,1474.3,1461.6,55,rebalance,NIFTY MS IT TELCM,-698.5000000000025,-0.8614257613782872,5
KPITTECH,2021-01-25,2021-01-28,133.65,132.95,792,rebalance,NIFTY MS IT TELCM,-554.4000000000135,-0.5237560793116436,3
WIPRO,2021-01-22,2021-01-29,212.55,199.04750555654957,383,stop,NIFTY IT,-5171.45537184152,-6.352620298024203,7
APLAPOLLO,2021-01-04,2021-01-29,445.5,453.3,269,rebalance,NIFTY METAL,2098.200000000003,1.7508417508417473,25
ADANIENT,2021-01-04,2021-01-29,479.4,491.2,250,rebalance,NIFTY METAL,2950.0000000000027,2.461410095953287,25
