symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
SRF,2021-08-30,2021-08-31,1942.6,2027.95,61,rebalance,,5206.350000000009,4.393596211263273,1
PERSISTENT,2021-08-30,2021-09-06,1661.646153846154,1765.85,52,rebalance,NIFTY MS IT TELCM,5418.599999999988,6.27112131621097,7
360ONE,2021-08-31,2021-09-07,405.45,397.15,300,rebalance,NIFTY MS FIN SERV,-2490.0000000000036,-2.047108151436683,7
SRF,2021-09-06,2021-09-15,2046.1,2244.9,44,rebalance,,8747.200000000008,9.716045159083153,9
PERSISTENT,2021-09-07,2021-09-16,1757.0,1847.7,68,rebalance,NIFTY MS IT TELCM,6167.600000000003,5.1622083096186655,9
JSWENERGY,2021-08-30,2021-09-17,252.2,323.45,475,rebalance,NIFTY COMMODITIES,33843.75,28.25138778747027,18
TATAELXSI,2021-08-30,2021-09-17,4826.75,5490.65,16,rebalance,NIFTY MS IT TELCM,10622.399999999994,13.754596778370543,18
PRESTIGE,2021-09-15,2021-09-20,427.65,395.9,232,rebalance,NIFTY REALTY,-7366.0,-7.424295568806272,5
ADANIENSOL,2021-09-17,2021-09-21,1820.35,1642.9,62,stop,NIFTY COMMODITIES,-11001.899999999989,-9.748125360507586,4
APOLLOHOSP,2021-08-30,2021-09-27,4757.55,4520.587146433302,16,stop,NIFTY HEALTHCARE,-3791.4056570671673,-4.980774843495029,28
COFORGE,2021-08-30,2021-09-28,1024.6341463414635,1043.0,82,rebalance,NIFTY MS IT TELCM,1505.9999999999914,1.7924303737205216,29
KPITTECH,2021-08-30,2021-10-06,335.65,335.8,357,rebalance,NIFTY MS IT TELCM,53.550000000012176,0.044689408610176784,37
HAL,2021-09-16,2021-10-08,716.0,675.8,175,rebalance,NIFTY IND DEFENCE,-7035.000000000008,-5.6145251396648055,22
IEX,2021-09-28,2021-10-11,198.8,260.3,450,rebalance,NIFTY MS FIN SERV,27675.0,30.935613682092544,13
MAXHEALTH,2021-09-20,2021-10-12,373.06209677419355,336.6294483865076,248,stop,NIFTY HEALTHCARE,-9035.296800146118,-9.765840245555113,22
SRF,2021-09-17,2021-10-20,2219.8,2191.8879245162216,58,stop,,-1618.9003780591593,-1.2574139780060611,33
ANGELONE,2021-08-30,2021-10-21,120.1,128.33883673709067,999,stop,NIFTY MS FIN SERV,8230.597900353589,6.8599806303835775,52
OIL,2021-10-11,2021-10-21,159.6,145.18541867568644,734,stop,NIFTY OIL AND GAS,-10580.302692046153,-9.031692559093706,10
OFSS,2021-08-30,2021-10-21,4214.5,4054.5,28,rebalance,NIFTY MS IT TELCM,-4480.0,-3.796417131332308,52
PRESTIGE,2021-09-21,2021-10-21,418.85,419.35,243,rebalance,NIFTY REALTY,121.5,0.11937447773666676,30
IEX,2021-10-20,2021-10-25,263.15,233.27876622150978,490,stop,NIFTY MS FIN SERV,-14636.904551460195,-11.351409378107613,5
SRF,2021-10-21,2021-10-25,2268.85,2098.411733823719,56,stop,,-9544.542905871742,-7.512099353253021,4
OIL,2021-10-25,2021-10-26,150.15,147.0,831,rebalance,NIFTY OIL AND GAS,-2617.6500000000046,-2.0979020979021046,1
JSWENERGY,2021-10-06,2021-10-28,380.65,349.00842083142834,315,stop,NIFTY COMMODITIES,-9967.097438100067,-8.31251258861727,22
IEX,2021-10-26,2021-10-28,244.0,236.8,500,rebalance,NIFTY MS FIN SERV,-3599.9999999999945,-2.950819672131144,2
WIPRO,2021-10-21,2021-10-29,332.75,312.389765123776,329,stop,NIFTY IT,-6698.5172742777,-6.118778324935836,8
UNIONBANK,2021-10-21,2021-10-29,44.17559979581419,39.7514812559716,1959,stop,NIFTY PSU BANK,-8666.848219551644,-10.014846567542923,8
SRF,2021-10-28,2021-10-29,2120.2,2117.3,50,rebalance,,-144.9999999999818,-0.1367795490991197,1
JSWENERGY,2021-10-28,2021-11-02,348.25,336.7,350,rebalance,NIFTY COMMODITIES,-4042.500000000004,-3.316582914572863,5
ADANIENSOL,2021-10-08,2021-11-04,1678.7,1817.5,70,rebalance,NIFTY COMMODITIES,9715.999999999996,8.268302853398456,27
UNIONBANK,2021-10-29,2021-11-22,40.025141187925996,37.69072994719213,2054,stop,NIFTY PSU BANK,-4794.880688467357,-5.8323622889256965,24
GODREJPROP,2021-10-21,2021-11-22,2282.9,2116.2,56,rebalance,NIFTY REALTY,-9335.200000000015,-7.302115729992565,32
PRESTIGE,2021-10-29,2021-11-22,426.1,441.6,201,rebalance,NIFTY REALTY,3115.5,3.637643745599628,24
TATAELXSI,2021-09-27,2021-11-23,5720.9,5815.920091617478,12,stop,NIFTY MS IT TELCM,1140.2410994097372,1.66092907789821,57
MPHASIS,2021-08-30,2021-11-26,2683.1,2860.6071818672117,31,stop,NIFTY MS IT TELCM,5502.722637883566,6.615749762111434,88
INDHOTEL,2021-10-25,2021-11-26,199.6,182.05,536,rebalance,NIFTY IND TOURISM,-9406.79999999999,-8.792585170340672,32
TATAELXSI,2021-11-23,2021-11-26,6038.45,5838.2,11,rebalance,NIFTY MS IT TELCM,-2202.75,-3.3162483749968996,3
PERSISTENT,2021-10-12,2021-11-29,1945.5,1877.48531370441,42,stop,NIFTY MS IT TELCM,-2856.6168244147834,-3.4960003235975368,48
LTM,2021-10-29,2021-11-29,6682.3,6449.551526354651,18,stop,NIFTY IT,-4189.47252561628,-3.483059330550098,31
TMPV,2021-11-04,2021-11-29,337.15,311.8562105156349,373,stop,NIFTY AUTO,-9434.583477668164,-7.502236240357418,25
UNITDSPR,2021-11-26,2021-12-01,885.7,874.05,93,rebalance,NIFTY FMCG,-1083.4500000000085,-1.315343795867685,5
TORNTPHARM,2021-12-01,2021-12-06,1487.8,1468.45,55,rebalance,NIFTY PHARMA,-1064.249999999995,-1.3005780346820761,5
APOLLOHOSP,2021-11-26,2021-12-09,5687.6,5215.024152646725,13,stop,NIFTY HEALTHCARE,-6143.486015592576,-8.308879797335877,13
BSE,2021-11-22,2021-12-10,170.5,233.5,477,rebalance,NIFTY MS FIN SERV,30051.0,36.95014662756597,18
TATAELXSI,2021-12-10,2021-12-13,5993.75,5873.65,18,rebalance,NIFTY MS IT TELCM,-2161.8000000000065,-2.0037539103232582,3
ADANIENSOL,2021-12-13,2021-12-17,1812.6,1777.2,58,rebalance,NIFTY COMMODITIES,-2053.199999999992,-1.9529956967891393,4
IEX,2021-11-02,2021-12-20,248.3,239.2991842099963,474,stop,NIFTY MS FIN SERV,-4266.3866844617605,-3.6249761538476477,48
TMPV,2021-11-29,2021-12-20,317.7,307.8,362,rebalance,NIFTY AUTO,-3583.799999999992,-3.116147308781858,21
