symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
OFSS,2026-05-11,2026-05-14,9239.5,8730.12060712311,9,stop,NIFTY MS IT TELCM,-4584.4145358920105,-5.513062318057149,3
BHARATFORG,2026-05-11,2026-05-19,1987.0,1851.8370054690101,40,stop,NIFTY AUTO,-5406.5197812395945,-6.802365099697527,8
ATHERENERG,2026-05-11,2026-05-20,969.45,874.4872540907776,123,stop,,-11680.417746834362,-9.795527970418528,9
NMDC,2026-05-14,2026-05-20,93.21,88.05957293310695,843,stop,NIFTY METAL,-4341.810017390837,-5.525616421942969,6
AUROPHARMA,2026-05-20,2026-05-22,1517.5,1449.1780399328486,67,stop,NIFTY MIDSML HLTH,-4577.571324499144,-4.502270844622824,2
COALINDIA,2026-05-11,2026-05-27,464.45,429.0,177,stop,NIFTY ENERGY,-6274.649999999998,-7.632683819571529,16
MCX,2026-05-11,2026-05-29,3187.9,3027.328445737077,37,stop,NIFTY MS FIN SERV,-5941.147507728158,-5.036906874836822,18
PNBHOUSING,2026-05-11,2026-06-01,1072.4526315789474,1009.2064214832369,76,stop,NIFTY MS FIN SERV,-4806.7119672739955,-5.8973429905798795,21
MAHABANK,2026-05-11,2026-06-01,81.36792563600781,77.64,1022,rebalance,,-3809.939999999983,-4.581566516374469,21
PREMIERENE,2026-05-20,2026-06-01,992.4,1052.7,80,rebalance,,4824.0000000000055,6.076178960096734,12
BAJAJ-AUTO,2026-05-22,2026-06-01,10549.5,10376.0,9,rebalance,NIFTY AUTO,-1561.5,-1.6446277074742888,10
BSE,2026-05-11,2026-06-02,3918.0,3928.770213016971,30,stop,NIFTY MS FIN SERV,323.1063905091287,0.274890582362719,22
NATIONALUM,2026-06-01,2026-06-05,434.2011111111111,405.26399454789396,180,stop,NIFTY METAL,-5208.680981379089,-6.664450141356781,4
BHEL,2026-06-01,2026-06-08,404.8,378.0,248,stop,NIFTY ENERGY,-6646.400000000003,-6.6205533596838,7
OFSS,2026-06-01,2026-06-09,10191.0,9516.541538369562,7,stop,NIFTY MS IT TELCM,-4721.209231413068,-6.6181774274402745,8
COALINDIA,2026-06-05,2026-06-12,472.25256410256407,444.1425196223147,156,stop,NIFTY ENERGY,-4385.166938918902,-5.952332844114405,7
SAIL,2026-06-09,2026-06-22,185.96397260273974,172.62398243289752,365,stop,NIFTY METAL,-4869.096411992412,-7.17342718760875,13
SONACOMS,2026-05-29,2026-07-01,607.45,619.4,184,rebalance,NIFTY AUTO,2198.7999999999874,1.9672401020659924,33
ADANIPOWER,2026-05-11,2026-07-03,222.03,220.58736317271826,540,stop,NIFTY COMMODITIES,-779.0238867321426,-0.6497486048199552,53
GVT&D,2026-05-11,2026-07-03,4432.9,4581.6,27,stop,NIFTY ENERGY,4014.9000000000196,3.3544632182093137,53
CUMMINSIND,2026-05-19,2026-07-07,5254.0,5424.857121440032,14,stop,,2391.9997001604443,3.2519436893801323,49
BSE,2026-07-01,2026-07-07,3944.1,3696.038251420651,29,stop,NIFTY MS FIN SERV,-7193.790708801124,-6.2894386191868605,6
POLYCAB,2026-07-07,2026-07-17,9401.0,8923.300954130147,11,stop,,-5254.689504568381,-5.081364172639646,10
ADANIGREEN,2026-06-12,2026-07-23,1498.2892857142856,1395.3688441920472,56,stop,NIFTY COMMODITIES,-5763.544725245352,-6.869196923688392,41
OFSS,2026-07-03,2026-07-23,11248.0,10520.237520752364,10,stop,NIFTY MS IT TELCM,-7277.624792476363,-6.470150064434888,20
NAM-INDIA,2026-07-17,2026-07-23,1186.5,1109.7461706021988,83,stop,NIFTY CAPITAL MKT,-6370.567840017496,-6.468927888563103,6
CGPOWER,2026-06-08,2026-07-24,903.4,860.0,103,stop,NIFTY ENERGY,-4470.199999999998,-4.804073500110695,46
BHARATFORG,2026-06-22,2026-08-03,2103.8,2211.0,29,rebalance,NIFTY AUTO,3108.7999999999947,5.095541401273884,42
LAURUSLABS,2026-07-07,2026-08-03,1477.4,1811.4,54,rebalance,NIFTY MIDSML HLTH,18036.0,22.607283064843653,27
MAHABANK,2026-07-23,2026-08-03,78.48,79.57,1470,rebalance,,1602.299999999984,1.388888888888884,11
ADANIENT,2026-07-23,2026-08-03,3010.0,3068.0,27,rebalance,NIFTY METAL,1566.0,1.926910299003315,11
PREMIERENE,2026-07-23,2026-08-03,1024.1615384615386,1020.7,78,rebalance,,-270.0000000000082,-0.33798754703661116,11
KEI,2026-07-24,2026-08-03,4868.0,5023.3,18,rebalance,NIFTY EV,2795.4000000000033,3.190221857025466,10
BAJFINANCE,2026-08-03,2026-08-07,1153.0,1092.1799346040068,68,stop,NIFTY FINSEREXBNK,-4135.764446927537,-5.274940624110425,4
ADANIENSOL,2026-05-27,2026-08-19,1540.0859999999998,1551.6871003307676,50,stop,NIFTY COMMODITIES,580.0550165383925,0.7532761372266217,84
