symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
OFSS,2026-05-11,2026-05-14,9239.5,8730.12060712311,8,stop,NIFTY MS IT TELCM,-4075.0351430151204,-5.513062318057149,3
ATHERENERG,2026-05-11,2026-05-20,969.45,874.4872540907776,123,stop,,-11680.417746834362,-9.795527970418528,9
COALINDIA,2026-05-11,2026-05-27,464.45,429.0,186,stop,NIFTY ENERGY,-6593.699999999998,-7.632683819571529,16
MCX,2026-05-11,2026-05-29,3187.9,3027.328445737077,37,stop,NIFTY MS FIN SERV,-5941.147507728158,-5.036906874836822,18
PNBHOUSING,2026-05-11,2026-06-01,1072.8,1009.2064214832369,111,stop,NIFTY MS FIN SERV,-7058.887215360698,-5.927813060846665,21
CUMMINSIND,2026-05-27,2026-06-01,6027.5,5687.8795026320795,13,stop,,-4415.066465782967,-5.634516754341279,5
BHARATFORG,2026-05-20,2026-06-01,1888.2,1922.7,58,rebalance,NIFTY AUTO,2001.0,1.8271369558309436,12
MAHABANK,2026-05-29,2026-06-01,79.27,77.64,1454,rebalance,,-2370.019999999993,-2.0562634035574567,3
BSE,2026-05-11,2026-06-02,3918.0,3928.770213016971,30,stop,NIFTY MS FIN SERV,323.1063905091287,0.274890582362719,22
NATIONALUM,2026-06-01,2026-06-05,434.2,405.26399454789396,270,stop,NIFTY METAL,-7812.721472068628,-6.664211297122535,4
BHEL,2026-06-01,2026-06-08,404.8,378.0,253,stop,NIFTY ENERGY,-6780.400000000003,-6.6205533596838,7
OFSS,2026-06-01,2026-06-09,10191.0,9516.541538369562,11,stop,NIFTY MS IT TELCM,-7419.043077934821,-6.6181774274402745,8
LAURUSLABS,2026-06-05,2026-06-10,1446.8,1383.2080779236944,75,stop,NIFTY MIDSML HLTH,-4769.3941557229155,-4.395349880861598,5
ABB,2026-06-02,2026-06-11,7146.0,6687.909723815153,16,stop,NIFTY ENERGY,-7329.444418957559,-6.410443271548383,9
BAJAJ-AUTO,2026-05-11,2026-06-12,10595.5,10060.31681599865,7,stop,NIFTY AUTO,-3746.2822880094445,-5.051042272675654,32
COALINDIA,2026-06-01,2026-06-12,472.5817919075145,443.51925821262705,173,stop,NIFTY ENERGY,-5027.818329215531,-6.14973623456383,11
ZYDUSLIFE,2026-06-08,2026-07-01,1087.6,1109.2,89,rebalance,NIFTY PHARMA,1922.4000000000121,1.986024273630016,23
ADANIENSOL,2026-06-10,2026-07-01,1535.6,1521.4,69,rebalance,NIFTY COMMODITIES,-979.7999999999874,-0.924719979161226,21
NMDC,2026-06-11,2026-07-01,88.47,84.3,1225,rebalance,NIFTY METAL,-5108.250000000002,-4.713462190573081,20
ADANIPOWER,2026-05-11,2026-07-03,222.03,220.58736317271826,540,stop,NIFTY COMMODITIES,-779.0238867321426,-0.6497486048199552,53
GVT&D,2026-05-11,2026-07-03,4432.9,4581.6,19,stop,NIFTY ENERGY,2825.300000000014,3.3544632182093137,53
BSE,2026-07-01,2026-07-07,3944.1,3696.038251420651,28,stop,NIFTY MS FIN SERV,-6945.728960221775,-6.2894386191868605,6
MAHABANK,2026-07-01,2026-07-07,91.2,85.67178971111873,973,stop,,-5378.948611081474,-6.061634088685597,6
POLYCAB,2026-05-11,2026-07-08,9065.5,9220.675621000351,9,stop,,1396.5805890031625,1.7117160774403173,58
KEI,2026-05-14,2026-07-08,5144.7,4991.832789905195,14,stop,NIFTY EV,-2140.1409413272722,-2.9713532391549613,55
LAURUSLABS,2026-07-03,2026-07-08,1542.3,1458.6120545312695,62,stop,NIFTY MIDSML HLTH,-5188.652619061291,-5.4261781410056775,5
OFSS,2026-07-01,2026-07-23,10863.0,10388.359020218695,10,stop,NIFTY MS IT TELCM,-4746.4097978130485,-4.369336092988174,22
NAM-INDIA,2026-07-07,2026-07-23,1192.6,1123.6442281962727,91,stop,NIFTY CAPITAL MKT,-6274.975234139176,-5.781969797394537,16
ADANIGREEN,2026-07-08,2026-07-23,1504.6,1403.7566844442442,48,stop,NIFTY COMMODITIES,-4840.479146676273,-6.702333879818934,15
HDFCAMC,2026-07-08,2026-07-23,2659.2,2509.291762087715,27,stop,NIFTY FINSEREXBNK,-4047.5224236316863,-5.637343483464374,15
CGPOWER,2026-06-12,2026-07-24,914.3706250000001,860.0,80,stop,NIFTY ENERGY,-4349.650000000011,-5.946234876038381,42
VBL,2026-07-23,2026-07-28,459.05,435.8933356196738,157,stop,NIFTY FMCG,-3635.5963077112165,-5.044475412335525,5
CUMMINSIND,2026-06-09,2026-07-30,5625.5,5339.845044301132,18,stop,NIFTY INFRALOG,-5141.789202579632,-5.077858958294701,51
BHARATFORG,2026-07-23,2026-08-03,2175.3,2211.0,49,rebalance,NIFTY AUTO,1749.299999999991,1.6411529444214423,11
LICI,2026-07-23,2026-08-03,421.4,428.5,217,rebalance,NIFTY MS FIN SERV,1540.7000000000048,1.6848599905078476,11
DELHIVERY,2026-07-23,2026-08-03,465.4128205128206,470.0,156,rebalance,NIFTY MULTI INFRA,715.5999999999883,0.9856151968751004,11
ANGELONE,2026-07-28,2026-08-03,302.6,302.0,226,rebalance,NIFTY MS FIN SERV,-135.60000000000514,-0.1982815598149501,6
PHOENIXLTD,2026-07-30,2026-08-03,1887.9,1955.0,50,rebalance,NIFTY REALTY,3354.9999999999955,3.554213676571849,4
BAJFINANCE,2026-08-03,2026-08-07,1153.0,1092.1799346040068,73,stop,NIFTY FINSEREXBNK,-4439.864773907503,-5.274940624110425,4
ADANIENSOL,2026-07-24,2026-08-12,1697.8418604651163,1588.0251439237377,43,stop,NIFTY COMMODITIES,-4722.118811279279,-6.46801796436417,19
