symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,sector,pnl,ret_pct,holding_days
PFC,2023-08-29,2023-08-31,216.0,210.03579657391404,555,stop,NIFTY FINSEREXBNK,-3310.132901477707,-2.761205289854607,2
SUPREMEIND,2023-08-29,2023-08-31,4455.95,4307.875065533567,18,stop,NIFTY MULTI MFG,-2665.3488203957895,-3.323083393360171,2
BSE,2023-08-29,2023-08-31,303.5,354.0,395,rebalance,NIFTY MS FIN SERV,19947.5,16.63920922570017,2
RECLTD,2023-08-31,2023-09-01,238.65,231.08088481084414,520,stop,NIFTY FINSEREXBNK,-3935.9398983610504,-3.171638461829396,1
PFC,2023-08-31,2023-09-01,208.15,201.6107123519973,597,stop,NIFTY FINSEREXBNK,-3903.954725857611,-3.141622699016433,1
IRFC,2023-08-29,2023-09-01,49.5,55.75,2424,rebalance,NIFTY FINSEREXBNK,15150.0,12.62626262626263,3
ANGELONE,2023-09-01,2023-09-05,191.5,185.33274077901154,652,stop,NIFTY MS FIN SERV,-4021.0530120844733,-3.220500898688483,4
DIXON,2023-08-29,2023-09-06,4917.05,4998.15,16,rebalance,NIFTY CONSR DURBL,1297.5999999999913,1.6493629310257107,8
KEI,2023-08-29,2023-09-07,2618.95,2540.646501439354,30,stop,NIFTY EV,-2349.1049568193785,-2.989881386076332,9
BHEL,2023-09-07,2023-09-08,137.7,145.3,553,rebalance,NIFTY ENERGY,4202.800000000013,5.519244734931017,1
MAZDOCK,2023-08-29,2023-09-11,909.2,1136.1,131,rebalance,NIFTY IND DEFENCE,29723.899999999983,24.956005279366455,13
ADANIPOWER,2023-09-06,2023-09-11,69.50570934256056,79.7,1156,rebalance,NIFTY COMMODITIES,11784.599999999991,14.666839247976938,5
RVNL,2023-09-08,2023-09-11,162.85,189.5,493,rebalance,,13138.450000000003,16.364752840036843,3
POLYCAB,2023-08-29,2023-09-12,5020.55,4956.681828547327,16,stop,,-1021.8907432427659,-1.2721349543909133,14
COFORGE,2023-09-05,2023-09-12,1122.5,1089.6786750491797,108,stop,NIFTY MS IT TELCM,-3544.7030946885952,-2.9239487706744116,7
KAYNES,2023-09-11,2023-09-12,2202.3,2105.3409554076147,61,stop,NIFTY MULTI INFRA,-5914.501720135513,-4.4026265537113645,1
BHEL,2023-09-11,2023-09-12,139.85,134.146975651228,784,stop,NIFTY ENERGY,-4471.171089437252,-4.077958061331433,1
NBCC,2023-09-11,2023-09-12,40.17,38.5257069198492,2250,stop,NIFTY MULTI INFRA,-3699.659430339306,-4.093336022282301,1
KALYANKJIL,2023-08-29,2023-09-13,227.85,219.09692085294807,526,stop,NIFTY CONSR DURBL,-4604.11963134931,-3.8415971678963934,15
RECLTD,2023-09-01,2023-09-13,238.8,241.963149986777,523,stop,NIFTY FINSEREXBNK,1654.3274430843712,1.3246021720171752,12
BSE,2023-09-12,2023-09-13,432.5,409.0029043693582,298,stop,NIFTY MS FIN SERV,-7002.134497931259,-5.432854481073246,1
RVNL,2023-09-12,2023-09-13,169.85,159.39580738268194,515,stop,,-5383.9091979188,-6.154955912462789,1
ADANIPOWER,2023-09-12,2023-09-13,77.25,73.40642083297385,1117,stop,NIFTY COMMODITIES,-4293.2779295682085,-4.975507012331581,1
KAYNES,2023-09-12,2023-09-13,2122.1,2018.7166014499278,40,stop,NIFTY MULTI INFRA,-4135.335942002885,-4.871749613593712,1
SUPREMEIND,2023-08-31,2023-09-14,4457.7,4289.697377934555,19,stop,NIFTY MULTI MFG,-3192.049819243445,-3.7688184953102333,14
TRENT,2023-08-29,2023-09-14,1366.008064516129,1372.3,62,rebalance,NIFTY NONCYC CONS,390.09999999999764,0.4606074918086067,16
BSE,2023-09-13,2023-09-20,433.5,409.3241254858326,288,stop,NIFTY MS FIN SERV,-6962.651860080208,-5.576903002114742,7
KALYANKJIL,2023-09-13,2023-09-20,223.3,219.15,373,rebalance,NIFTY CONSR DURBL,-1547.950000000002,-1.8584863412449693,7
COFORGE,2023-09-14,2023-09-21,1091.5,1061.9282067111717,75,stop,NIFTY MS IT TELCM,-2217.8844966621227,-2.7092801913722653,7
RVNL,2023-09-13,2023-09-21,166.54553231939164,158.8,526,rebalance,,-4074.1499999999965,-4.650699548359949,8
IRFC,2023-09-13,2023-09-22,78.9,73.75018540512694,1584,stop,NIFTY FINSEREXBNK,-8157.306318278933,-6.527014695656607,9
POLYCAB,2023-09-20,2023-09-22,5287.6,5158.744373259685,15,stop,,-1932.834401104733,-2.436939759821388,2
COFORGE,2023-09-21,2023-09-22,1067.5,1058.5,75,rebalance,NIFTY MS IT TELCM,-675.0,-0.843091334894619,1
ADANIPOWER,2023-09-13,2023-10-09,75.3995575221239,70.45,1130,stop,NIFTY COMMODITIES,-5593.000000000003,-6.564438419511398,26
UNIONBANK,2023-09-21,2023-10-09,87.19,90.66934377488883,953,stop,NIFTY PSU BANK,3315.8146174690573,3.99053076601541,18
KAYNES,2023-09-14,2023-10-09,2075.3,2631.15,40,rebalance,NIFTY MULTI INFRA,22233.999999999996,26.784079410205752,25
IRFC,2023-09-22,2023-10-09,75.1,71.15,1409,rebalance,NIFTY FINSEREXBNK,-5565.549999999984,-5.259653794940067,17
RVNL,2023-09-22,2023-10-11,166.85,165.2,503,rebalance,,-829.9500000000029,-0.9889121965837577,19
UNIONBANK,2023-10-09,2023-10-18,89.95,92.59,980,rebalance,NIFTY PSU BANK,2587.2000000000007,2.9349638688159985,9
MAHABANK,2023-09-22,2023-10-19,46.89732142857142,45.75,1792,rebalance,,-2055.999999999991,-2.446454069490711,27
KAYNES,2023-10-19,2023-10-20,2548.85,2431.1117746342893,32,stop,NIFTY MULTI INFRA,-3767.6232117027394,-4.619268507982444,1
BSE,2023-09-20,2023-10-20,400.5,529.5,290,rebalance,NIFTY MS FIN SERV,37410.0,32.209737827715344,30
MAZDOCK,2023-09-12,2023-10-23,1035.9,1016.8011999768237,124,stop,NIFTY IND DEFENCE,-2368.2512028738747,-1.8436914782485214,41
