date,equity
2021-01-01,1000000.0
2021-01-04,1017936.5
2021-01-05,1019948.2000000001
2021-01-06,1023708.6
2021-01-07,1046803.3
2021-01-08,1059476.85
2021-01-11,1057171.6500000001
2021-01-12,1068538.9500000002
2021-01-13,1083475.2000000002
2021-01-14,1093175.7000000002
2021-01-15,1074634.35
2021-01-18,1061331.8
2021-01-19,1096772.7
2021-01-20,1115704.85
2021-01-21,1098745.3
2021-01-22,1073818.1
2021-01-25,1053922.8
2021-01-27,1051992.4500000002
2021-01-28,1047040.8
2021-01-29,1032044.6000000001
2021-02-01,1056943.9500000002
2021-02-02,1087217.55
2021-02-03,1104109.85
2021-02-04,1118250.85
2021-02-05,1123579.05
2021-02-08,1166846.9
2021-02-09,1169484.75
2021-02-10,1185195.45
2021-02-11,1198971.05
2021-02-12,1182505.3
2021-02-15,1188397.4500000002
2021-02-16,1185933.4000000001
2021-02-17,1199313.8
2021-02-18,1201875.2000000002
2021-02-19,1191952.0
2021-02-22,1161174.3
2021-02-23,1170263.7999999998
2021-02-24,1205391.7999999998
2021-02-25,1236375.95
2021-02-26,1218535.45
2021-03-01,1233092.4
2021-03-02,1249184.5
2021-03-03,1280022.7
2021-03-04,1294231.7
2021-03-05,1284730.7
2021-03-08,1308398.27
2021-03-09,1304098.6199999999
2021-03-10,1315430.73
2021-03-12,1333997.22
2021-03-15,1341087.98
2021-03-16,1314903.58
2021-03-17,1278100.28
2021-03-18,1258393.07
2021-03-19,1255130.42
2021-03-22,1264128.0199999998
2021-03-23,1279423.67
2021-03-24,1253661.34
2021-03-25,1224240.62
2021-03-26,1240890.32
2021-03-30,1265128.3699999999
2021-03-31,1256958.39
2021-04-01,1290374.21
2021-04-05,1301209.64
2021-04-06,1334019.05
2021-04-07,1347354.72
2021-04-08,1360735.42
2021-04-09,1354669.51
2021-04-12,1273998.4095596368
2021-04-13,1287592.8995596368
2021-04-15,1296633.9095596368
2021-04-16,1310432.1195596368
2021-04-19,1287327.479559637
2021-04-20,1295937.459559637
2021-04-22,1322332.1995596366
2021-04-23,1320558.6395596368
2021-04-26,1349104.7595596367
2021-04-27,1371307.4195596366
2021-04-28,1369137.1895596369
2021-04-29,1423749.7495596367
2021-04-30,1423842.4495596366
2021-05-03,1464896.7295596367
2021-05-04,1460777.3795596368
2021-05-05,1474383.2595596367
2021-05-06,1512756.6895596366
2021-05-07,1576952.7595596367
2021-05-10,1604770.0795596368
2021-05-11,1587359.6895596369
2021-05-12,1541656.2195596367
2021-05-14,1489623.2680973222
2021-05-17,1542880.4280973221
2021-05-18,1573317.158097322
2021-05-19,1564735.7480973222
2021-05-20,1540589.9780973222
2021-05-21,1551215.918097322
2021-05-24,1557947.9580973221
2021-05-25,1538935.1280973223
2021-05-26,1511061.6880973221
2021-05-27,1531258.3780973223
2021-05-28,1528382.7280973224
2021-05-31,1546235.9580973224
2021-06-01,1546710.3780973223
2021-06-02,1582842.6880973224
2021-06-03,1588454.9680973222
2021-06-04,1620528.5580973225
2021-06-07,1610961.1480973223
2021-06-08,1612922.1480973223
2021-06-09,1588988.3880973223
