date,equity
2021-01-01,1000000.0
2021-01-04,1000000.0
2021-01-05,1001299.3600000001
2021-01-06,1004593.19
2021-01-07,1031323.76
2021-01-08,1037243.9199999999
2021-01-11,1035709.3
2021-01-12,1036130.8999999999
2021-01-13,1042884.94
2021-01-14,1049998.19
2021-01-15,1032202.24
2021-01-18,1016998.0912298921
2021-01-19,1045888.541229892
2021-01-20,1056646.5912298919
2021-01-21,1030689.541229892
2021-01-22,1001919.5952900825
2021-01-25,987990.1556765807
2021-01-27,994028.1056765807
2021-01-28,980288.5556765806
2021-01-29,972430.7056765805
2021-02-01,987946.4917349202
2021-02-02,1012299.6917349201
2021-02-03,1025028.1417349202
2021-02-04,1038332.8417349202
2021-02-05,1043652.2417349202
2021-02-08,1083626.8417349202
2021-02-09,1086745.1917349203
2021-02-10,1101248.49173492
2021-02-11,1114510.29173492
2021-02-12,1099040.29173492
2021-02-15,1104429.89173492
2021-02-16,1102391.7417349203
2021-02-17,1112390.2417349203
2021-02-18,1111446.89173492
2021-02-19,1104745.74173492
2021-02-22,1078597.5917349202
2021-02-23,1084562.5917349202
2021-02-24,1116291.74173492
2021-02-25,1145286.29173492
2021-02-26,1128649.64173492
2021-03-01,1142216.04173492
2021-03-02,1157391.14173492
2021-03-03,1186575.44173492
2021-03-04,1200087.49173492
2021-03-05,1190981.24173492
2021-03-08,1219189.1917349203
2021-03-09,1215244.4417349203
2021-03-10,1225863.9717349203
2021-03-12,1243304.54173492
2021-03-15,1249652.3717349202
2021-03-16,1223241.4735888536
2021-03-17,1188430.7235888538
2021-03-18,1173987.2194498463
2021-03-19,1172873.7694498464
2021-03-22,1184288.2694498466
2021-03-23,1200605.4464267148
2021-03-24,1177514.1464267147
2021-03-25,1153138.3964267147
2021-03-26,1175618.2964267146
2021-03-30,1189892.3964267147
2021-03-31,1185679.6964267148
2021-04-01,1229951.9664267148
2021-04-05,1237396.336426715
2021-04-06,1271515.0664267149
2021-04-07,1291417.3264267147
2021-04-08,1302622.4264267148
2021-04-09,1301448.5464267149
2021-04-12,1236445.8510880903
2021-04-13,1257736.4210880902
2021-04-15,1261474.556490113
2021-04-16,1274734.186490113
2021-04-19,1259516.7164901132
2021-04-20,1269332.4564901132
2021-04-22,1292839.776490113
2021-04-23,1293912.096490113
2021-04-26,1320343.606490113
2021-04-27,1337447.536490113
2021-04-28,1336764.596490113
2021-04-29,1385182.276490113
2021-04-30,1385788.826490113
2021-05-03,1424923.4164901131
2021-05-04,1419052.316490113
2021-05-05,1440693.306490113
2021-05-06,1470812.246490113
2021-05-07,1524801.306490113
2021-05-10,1548103.316490113
2021-05-11,1536366.346490113
2021-05-12,1492282.386490113
2021-05-14,1440068.9550343878
2021-05-17,1486458.135034388
2021-05-18,1512935.0750343879
2021-05-19,1505093.4950343878
2021-05-20,1487488.7750343878
2021-05-21,1495666.5650343879
2021-05-24,1507768.795737308
2021-05-25,1495720.675737308
2021-05-26,1471542.505737308
2021-05-27,1489965.915737308
2021-05-28,1487983.0457373082
2021-05-31,1503008.4657373081
2021-06-01,1518853.2957373082
2021-06-02,1553432.7357373082
2021-06-03,1568700.0257373082
2021-06-04,1597851.685737308
2021-06-07,1594986.7057373081
2021-06-08,1603137.785737308
2021-06-09,1587001.535737308
2021-06-10,1611324.135737308
2021-06-11,1620290.735737308
2021-06-14,1570036.214903709
2021-06-15,1566365.6149037092
2021-06-16,1556122.4549037092
2021-06-17,1548707.6714614774
2021-06-18,1529832.0622028424
2021-06-21,1545006.8622028423
2021-06-22,1546599.6122028423
2021-06-23,1525078.3622028425
2021-06-24,1530348.4622028423
2021-06-25,1528934.1122028425
2021-06-28,1543478.3622028425
