date,equity
2021-01-01,1000000.0
2021-01-04,1017936.5
2021-01-05,1019948.2000000001
2021-01-06,1023708.6
2021-01-07,1046803.3
2021-01-08,1059476.85
2021-01-11,1057171.6500000001
2021-01-12,1068538.9500000002
2021-01-13,1083475.2000000002
2021-01-14,1093175.7000000002
2021-01-15,1074634.35
2021-01-18,1061331.8
2021-01-19,1096772.7
2021-01-20,1115704.85
2021-01-21,1098745.3
2021-01-22,1071906.1540601905
2021-01-25,1049151.504102885
2021-01-27,1044779.9968973849
2021-01-28,1038563.8968973849
2021-01-29,1024086.0154194701
2021-02-01,1039875.6813119134
2021-02-02,1070052.0013119134
2021-02-03,1086558.9113119133
2021-02-04,1100832.2313119133
2021-02-05,1101452.9513119133
2021-02-08,1138638.0113119134
2021-02-09,1135340.0813119132
2021-02-10,1150619.4313119133
2021-02-11,1164217.481311913
2021-02-12,1148144.0313119134
2021-02-15,1154268.2813119134
2021-02-16,1151820.0313119134
2021-02-17,1162375.0813119132
2021-02-18,1163775.4313119133
2021-02-19,1159051.231311913
2021-02-22,1131587.0813119132
2021-02-23,1140408.3313119134
2021-02-24,1174957.7313119133
2021-02-25,1205328.4313119133
2021-02-26,1187996.3813119133
2021-03-01,1202408.2813119134
2021-03-02,1218512.1313119133
2021-03-03,1249029.2313119133
2021-03-04,1263057.9813119133
2021-03-05,1253742.6313119135
2021-03-08,1277086.3213119134
2021-03-09,1273037.5213119134
2021-03-10,1284307.0913119132
2021-03-12,1302591.9213119133
2021-03-15,1309467.5913119132
2021-03-16,1281710.5579572374
2021-03-17,1245284.8079572376
2021-03-18,1228219.7012507776
2021-03-19,1225497.9771945907
2021-03-22,1234348.8771945906
2021-03-23,1249704.119985417
2021-03-24,1224604.479985417
2021-03-25,1195970.519985417
2021-03-26,1212186.969985417
2021-03-30,1235832.2199854169
2021-03-31,1229380.679985417
2021-04-01,1261926.239985417
2021-04-05,1272507.979985417
2021-04-06,1304485.979985417
2021-04-07,1317561.679985417
2021-04-08,1330701.029985417
2021-04-09,1324782.2299854169
2021-04-12,1250060.0381569625
2021-04-13,1261393.654137482
2021-04-15,1267027.9079114941
2021-04-16,1281726.9079114941
2021-04-19,1268421.4579114942
2021-04-20,1277392.0579114943
2021-04-22,1305509.9579114942
2021-04-23,1301116.607911494
2021-04-26,1326537.9579114942
2021-04-27,1347292.9079114941
2021-04-28,1346265.757911494
2021-04-29,1398466.0079114942
2021-04-30,1399715.9079114941
2021-05-03,1440976.7079114942
2021-05-04,1433932.2579114942
2021-05-05,1452849.557911494
2021-05-06,1490469.107911494
2021-05-07,1557924.857911494
2021-05-10,1592620.9579114942
2021-05-11,1576087.7579114942
2021-05-12,1542024.9079114941
2021-05-14,1477048.9663815973
2021-05-17,1527255.3663815975
2021-05-18,1552382.5163815974
2021-05-19,1539098.3163815974
2021-05-20,1516959.7263815976
2021-05-21,1526407.779131172
2021-05-24,1533094.8646398543
2021-05-25,1514725.0546398545
2021-05-26,1484995.5846398543
2021-05-27,1504739.7746398542
2021-05-28,1500591.1746398546
2021-05-31,1517662.2546398542
2021-06-01,1517281.9746398544
