date,equity
2021-01-01,1000000.0000000001
2021-01-04,1012190.9000000001
2021-01-05,1017854.7500000001
2021-01-06,1019337.3000000002
2021-01-07,1035117.4500000002
2021-01-08,1047014.3000000002
2021-01-11,1053287.05
2021-01-12,1051674.35
2021-01-13,1064325.3
2021-01-14,1074183.35
2021-01-15,1054431.75
2021-01-18,1030651.2500000001
2021-01-19,1060868.1
2021-01-20,1075396.1
2021-01-21,1052181.3
2021-01-22,1031447.4000000001
2021-01-25,1015357.8000426946
2021-01-27,1018922.4500426946
2021-01-28,1011253.7500426946
2021-01-29,992333.066322601
2021-02-01,1007019.246070388
2021-02-02,1037546.146070388
2021-02-03,1040333.046070388
2021-02-04,1048367.146070388
2021-02-05,1039943.6460703881
2021-02-08,1068079.496070388
2021-02-09,1069050.6460703881
2021-02-10,1084236.346070388
2021-02-11,1090627.596070388
2021-02-12,1079642.696070388
2021-02-15,1095960.246070388
2021-02-16,1096792.096070388
2021-02-17,1107548.046070388
2021-02-18,1112849.546070388
2021-02-19,1106533.246070388
2021-02-22,1080667.6460703881
2021-02-23,1090299.196070388
2021-02-24,1114427.246070388
2021-02-25,1138116.3960703881
2021-02-26,1116373.896070388
2021-03-01,1134501.596070388
2021-03-02,1154964.246070388
2021-03-03,1184062.746070388
2021-03-04,1196335.796070388
2021-03-05,1183225.346070388
2021-03-08,1202666.1460703881
2021-03-09,1197998.596070388
2021-03-10,1206870.7460703882
2021-03-12,1219894.996070388
2021-03-15,1227496.046070388
2021-03-16,1207797.396070388
2021-03-17,1175790.796070388
2021-03-18,1172292.396070388
2021-03-19,1175516.1735159513
2021-03-22,1191568.1235159512
2021-03-23,1209090.0735159512
2021-03-24,1184488.973515951
2021-03-25,1156142.223515951
2021-03-26,1175600.8235159512
2021-03-30,1197478.033515951
2021-03-31,1195722.473515951
2021-04-01,1235657.903515951
2021-04-05,1249528.883515951
2021-04-06,1282491.203515951
2021-04-07,1281064.5435159511
2021-04-08,1294252.2935159511
2021-04-09,1289645.873515951
2021-04-12,1216540.7089709807
2021-04-13,1233643.970801987
2021-04-15,1247580.690801987
2021-04-16,1256353.3108019868
2021-04-19,1236681.330801987
2021-04-20,1245438.990801987
2021-04-22,1273446.320801987
2021-04-23,1268932.300801987
2021-04-26,1294495.440801987
2021-04-27,1315590.2608019868
2021-04-28,1314696.200801987
2021-04-29,1367630.020801987
2021-04-30,1369161.420801987
2021-05-03,1409977.330801987
2021-05-04,1402975.730801987
2021-05-05,1421538.040801987
2021-05-06,1458634.750801987
2021-05-07,1526307.190801987
2021-05-10,1560955.780801987
2021-05-11,1544178.5508019868
2021-05-12,1509267.210801987
2021-05-14,1444452.3439770497
2021-05-17,1484916.7639770498
2021-05-18,1522791.9739770498
2021-05-19,1514809.9039770497
2021-05-20,1494304.6139770497
2021-05-21,1502929.0104288086
2021-05-24,1508107.8481897993
2021-05-25,1491278.4181897994
2021-05-26,1462832.5281897995
2021-05-27,1481776.4781897995
2021-05-28,1480976.5881897996
2021-05-31,1499800.1381897996
2021-06-01,1497823.5381897995
2021-06-02,1524955.3381897996
2021-06-03,1529278.6781897997
2021-06-04,1558027.4781897995
2021-06-07,1547494.1481897996
2021-06-08,1550640.2581897995
2021-06-09,1530412.3881897994
2021-06-10,1547447.9881897995
2021-06-11,1563241.7381897995
2021-06-14,1526249.1381897996
2021-06-15,1509207.8881897996
2021-06-16,1486236.3381897996
2021-06-17,1477443.2881897995
2021-06-18,1453653.5923728503
2021-06-21,1470180.7423728504
2021-06-22,1473965.8423728503
2021-06-23,1456212.3423728505
2021-06-24,1466792.7423728504
2021-06-25,1466601.9923728504
2021-06-28,1471121.0423728505
2021-06-29,1482198.8832643204
2021-06-30,1527903.7232643205
2021-07-01,1537578.5932643206
2021-07-02,1541267.9032643205
2021-07-05,1548264.3532643206
2021-07-06,1525478.8632643207
2021-07-07,1526646.7132643207
2021-07-08,1529979.8732643207
2021-07-09,1531710.0432643206
2021-07-12,1528594.3832643204
2021-07-13,1511986.3432643204
2021-07-14,1541450.4575196856
2021-07-15,1555363.6975196856
2021-07-16,1551290.3175196855
2021-07-19,1552842.8875196856
2021-07-20,1537150.6375196856
2021-07-22,1572349.3575196855
2021-07-23,1609519.0875196857
2021-07-26,1636681.3475196857
2021-07-27,1649240.7675196854
2021-07-28,1652418.5175196854
2021-07-29,1700258.6475196856
2021-07-30,1675742.389404533
2021-08-02,1681682.599404533
2021-08-03,1671238.239404533
2021-08-04,1652165.099023611
2021-08-05,1666070.769023611
2021-08-06,1673265.459023611
2021-08-09,1652640.6618638705
2021-08-10,1615627.8369349875
2021-08-11,1610020.0269349874
2021-08-12,1643832.4869349874
2021-08-13,1647155.7369349874
2021-08-16,1667837.3269349874
2021-08-17,1647108.4145977204
2021-08-18,1631618.7145977202
2021-08-20,1593890.9845619155
2021-08-23,1589919.0345619158
2021-08-24,1591244.4845619157
2021-08-25,1602105.0345619158
2021-08-26,1598348.5845619158
2021-08-27,1631795.4345619157
2021-08-30,1633559.2345619157
2021-08-31,1649943.8845619159
2021-09-01,1637302.8345619158
2021-09-02,1655741.0345619158
2021-09-03,1670852.8845619159
2021-09-06,1693211.5845619158
2021-09-07,1676243.8845619156
2021-09-08,1664000.2345619157
2021-09-09,1675598.3845619159
2021-09-13,1696755.1345619156
2021-09-14,1707175.3845619156
2021-09-15,1741141.0345619156
2021-09-16,1739895.8845619154
2021-09-17,1744711.8345619156
2021-09-20,1734978.1845619157
2021-09-21,1744282.9845619157
2021-09-22,1768989.3845619156
2021-09-23,1810687.6345619156
2021-09-24,1815310.7345619157
2021-09-27,1790458.2845619156
