date,equity
2021-01-01,1000000.0
2021-01-04,1015889.8772455263
2021-01-05,1018027.2372455263
2021-01-06,1023690.6314656769
2021-01-07,1043300.201465677
2021-01-08,1048704.9363688526
2021-01-11,1041653.7182044499
2021-01-12,1051246.9699289287
2021-01-13,1051597.0278735708
2021-01-14,1034016.6278735708
2021-01-15,1021943.1278735708
2021-01-18,997881.3465449287
2021-01-19,1025348.4491026592
2021-01-20,1039950.5877837589
2021-01-21,1018225.6377837589
2021-01-22,994531.6489780517
2021-01-25,974075.8093593324
2021-01-27,969566.1354330475
2021-01-28,964518.8139618523
2021-01-29,957886.6990567609
2021-02-01,967483.5155264548
2021-02-02,991770.3493290287
2021-02-03,1005035.9890397852
2021-02-04,1028882.4368056256
2021-02-05,1023380.9460852772
2021-02-08,1056393.3875547443
2021-02-09,1059939.029880196
2021-02-10,1073688.712017917
2021-02-11,1087312.105846541
2021-02-12,1077107.3627233184
2021-02-15,1091627.9127233184
2021-02-16,1090236.5627233183
2021-02-17,1102968.0088192518
2021-02-18,1111840.2088192517
2021-02-19,1103450.7788333064
2021-02-22,1081473.138377536
2021-02-23,1087867.0083775362
2021-02-24,1112115.378377536
2021-02-25,1139046.8083775362
2021-02-26,1112863.0288763207
2021-03-01,1119575.8788763206
2021-03-02,1125755.3283936344
2021-03-03,1158519.213630328
2021-03-04,1153274.0577519075
2021-03-05,1127129.2377519072
2021-03-08,1147615.1977519072
2021-03-09,1133317.119102336
2021-03-10,1136574.599102336
2021-03-12,1142102.4792064943
2021-03-15,1122032.4834962687
2021-03-16,1117164.621106641
2021-03-17,1101831.184911336
2021-03-18,1092099.8850230167
2021-03-19,1091406.0608633403
2021-03-22,1097390.503142584
2021-03-23,1104210.7984915364
2021-03-24,1085050.6084915365
2021-03-25,1061621.5635079152
2021-03-26,1078172.8821881951
2021-03-30,1102834.1501817962
2021-03-31,1098021.6974278458
2021-04-01,1119504.3342918714
2021-04-05,1124972.075875288
2021-04-06,1148063.3557503936
2021-04-07,1165263.8143718995
2021-04-08,1201917.5150216992
2021-04-09,1194892.2650216992
2021-04-12,1114943.982246302
2021-04-13,1120740.1718468026
2021-04-15,1127980.7876564888
2021-04-16,1147986.877656489
2021-04-19,1137773.617656489
2021-04-20,1150531.1255795907
2021-04-22,1172836.34951188
2021-04-23,1171511.2225760994
2021-04-26,1199805.6490057756
2021-04-27,1220381.932498712
2021-04-28,1216257.4450011724
2021-04-29,1243184.0539490047
2021-04-30,1240837.8319443162
2021-05-03,1269944.5419443164
2021-05-04,1278979.2410238404
2021-05-05,1293570.4722538912
2021-05-06,1327147.0662623986
2021-05-07,1365317.6578738578
2021-05-10,1387044.7261427296
2021-05-11,1370568.9819186595
2021-05-12,1335553.6819186595
2021-05-14,1291471.1023226236
2021-05-17,1324598.3023226238
2021-05-18,1350227.9594418497
2021-05-19,1344684.983267243
2021-05-20,1311353.943267243
2021-05-21,1311326.023267243
2021-05-24,1312799.2421932642
2021-05-25,1314616.082193264
2021-05-26,1297754.8767471835
2021-05-27,1311688.2267471834
2021-05-28,1303816.9267471835
2021-05-31,1319815.8267471835
2021-06-01,1328853.6822167942
2021-06-02,1351204.7667350243
2021-06-03,1356022.2639569202
2021-06-04,1380575.1565210759
2021-06-07,1382366.256521076
2021-06-08,1371697.9065210759
2021-06-09,1352861.856521076
2021-06-10,1370780.606521076
2021-06-11,1384659.1565210759
2021-06-14,1333921.5690752063
2021-06-15,1319772.9690752064
2021-06-16,1292514.9890752062
2021-06-17,1279517.30289007
2021-06-18,1240668.5213845274
2021-06-21,1254880.3213845275
2021-06-22,1253043.4713845274
2021-06-23,1241547.6713845273
2021-06-24,1251042.0713845275
2021-06-25,1258643.2963452279
2021-06-28,1269906.5267455643
2021-06-29,1278467.5146716586
2021-06-30,1312220.5238644604
2021-07-01,1333545.129544349
2021-07-02,1339213.7295443488
2021-07-05,1334318.9466602947
2021-07-06,1317530.7466602947
2021-07-07,1322759.5966602948
2021-07-08,1318364.1645894842
2021-07-09,1330708.6715240711
2021-07-12,1324304.8015240713
2021-07-13,1312664.141524071
2021-07-14,1327598.9105643546
2021-07-15,1349670.1474689078
2021-07-16,1349463.4754987762
2021-07-19,1347000.6267387508
2021-07-20,1336235.1467387509
2021-07-22,1358927.2227272158
2021-07-23,1369929.826530187
2021-07-26,1412328.5917855399
2021-07-27,1421602.0479270006
2021-07-28,1423315.9570443523
2021-07-29,1455905.151713653
2021-07-30,1436138.1989684333
2021-08-02,1447636.6589684333
2021-08-03,1448619.7547692324
2021-08-04,1432929.3647692325
2021-08-05,1444724.4547692323
2021-08-06,1442500.9047692325
2021-08-09,1419823.2374585113
2021-08-10,1389222.8205944675
2021-08-11,1389655.9105944675
2021-08-12,1415146.3477785103
2021-08-13,1418329.1214490926
2021-08-16,1444379.65053213
2021-08-17,1430863.3398605464
2021-08-18,1425319.3791656685
2021-08-20,1397531.4542388665
2021-08-23,1394246.0542388665
2021-08-24,1393983.4042388662
2021-08-25,1405800.8458723438
2021-08-26,1403795.5458723437
2021-08-27,1435523.0458723437
2021-08-30,1439109.2835535537
2021-08-31,1457724.1835535537
2021-09-01,1454290.5698617538
2021-09-02,1467834.8700727278
2021-09-03,1477371.1200727278
2021-09-06,1486673.3731596873
2021-09-07,1472965.2046571604
2021-09-08,1470893.6546571604
2021-09-09,1482648.391177904
2021-09-13,1507307.191177904
2021-09-14,1516859.9872109354
2021-09-15,1535236.1136465638
2021-09-16,1537849.0549010856
2021-09-17,1535632.3693957366
2021-09-20,1502473.0522350054
2021-09-21,1514850.0522350054
2021-09-22,1529769.578898944
2021-09-23,1561529.148373812
2021-09-24,1562784.465673053
2021-09-27,1536765.4154903186
2021-09-28,1495029.7261730488
2021-09-29,1523738.842527627
2021-09-30,1542002.6217947616
2021-10-01,1540211.58424672
2021-10-04,1552262.2342467199
2021-10-05,1546813.4842467199
2021-10-06,1533988.6965812724
2021-10-07,1578657.7226008025
2021-10-08,1578868.4556812332
2021-10-11,1597963.505681233
2021-10-12,1594426.655681233
2021-10-13,1602774.7026144797
2021-10-14,1611036.6952213058
2021-10-18,1615496.1952213058
2021-10-19,1555574.089691774
2021-10-20,1547002.1045563237
2021-10-21,1521721.3626879358
2021-10-22,1506122.5438000595
2021-10-25,1489129.665785638
2021-10-26,1509859.5771188177
2021-10-27,1514416.2771188177
2021-10-28,1461087.6271188178
2021-10-29,1441143.873329682
2021-11-01,1466404.1233296818
2021-11-02,1472230.6733296819
2021-11-03,1480025.2685546605
2021-11-04,1491164.1185546606
2021-11-08,1512294.6685546604
2021-11-09,1518902.2685546607
2021-11-10,1511091.738793146
2021-11-11,1502551.0887931462
2021-11-12,1512545.0387931461
2021-11-15,1495607.9887931459
2021-11-16,1492139.788793146
2021-11-17,1487530.8443148844
2021-11-18,1457920.1969295
2021-11-22,1400246.931148902
2021-11-23,1420843.581148902
2021-11-24,1421316.9654633824
2021-11-25,1432904.4581849487
2021-11-26,1369825.5829996327
2021-11-29,1329939.4099121084
2021-11-30,1339064.6236054017
2021-12-01,1362415.8736054017
2021-12-02,1379594.5888084173
2021-12-03,1373427.5888084173
2021-12-06,1350448.9933907725
2021-12-07,1355630.3633907726
2021-12-08,1386159.657744593
2021-12-09,1378444.8074081144
2021-12-10,1376944.3380543601
2021-12-13,1389890.9793217154
2021-12-14,1406656.2115608477
2021-12-15,1397159.6117251213
2021-12-16,1386409.2117251211
2021-12-17,1360428.9784125034
2021-12-20,1315868.7639408596
2021-12-21,1319964.5639408599
2021-12-22,1339565.813425851
2021-12-23,1348666.013425851
2021-12-24,1346321.1318304993
2021-12-27,1366711.7818304994
2021-12-28,1389068.3884925444
2021-12-29,1398443.8384925444
2021-12-30,1418912.1382078116
2021-12-31,1424874.8882078116
2022-01-03,1432403.7153300487
2022-01-04,1437771.0697839586
2022-01-05,1416011.3197839586
2022-01-06,1409070.6687638075
2022-01-07,1421987.9108493594
2022-01-10,1431248.5578317107
2022-01-11,1434980.5841464999
2022-01-12,1433009.6097482163
2022-01-13,1445573.745393562
2022-01-14,1464115.3453935618
2022-01-17,1478162.5001734796
2022-01-18,1455853.1201734794
2022-01-19,1441465.737303297
2022-01-20,1448649.4916455043
2022-01-21,1408644.640400648
2022-01-24,1350163.7739246453
2022-01-25,1367227.7739246453
2022-01-27,1374045.6203648644
2022-01-28,1378728.0591416098
2022-01-31,1407295.3591416099
2022-02-01,1410689.1008158005
2022-02-02,1410795.4008158003
2022-02-03,1415397.7665104195
2022-02-04,1411182.8165104198
2022-02-07,1413951.1461935998
