date,equity
2021-01-01,1000000.0
2021-01-04,1000000.0
2021-01-05,1000673.31
2021-01-06,1004204.19
2021-01-07,1035674.11
2021-01-08,1042957.62
2021-01-11,1039084.15
2021-01-12,1042073.8
2021-01-13,1054844.44
2021-01-14,1053964.8310005662
2021-01-15,1041465.7310005663
2021-01-18,1024186.1610005663
2021-01-19,1057945.0610005662
2021-01-20,1072972.6110005663
2021-01-21,1048303.8110005662
2021-01-22,1016214.7150607568
2021-01-25,996545.6105915309
2021-01-27,1000151.1618066779
2021-01-28,985707.861806678
2021-01-29,985907.4194627088
2021-02-01,1002557.8398143452
2021-02-02,1033144.5398143452
2021-02-03,1047257.3898143453
2021-02-04,1062785.2398143453
2021-02-05,1067614.0898143454
2021-02-08,1103059.4898143453
2021-02-09,1101077.3398143451
2021-02-10,1112613.2398143453
2021-02-11,1118612.1898143452
2021-02-12,1104937.2898143453
2021-02-15,1112604.5898143451
2021-02-16,1112052.739814345
2021-02-17,1125622.9398143452
2021-02-18,1128557.3898143452
2021-02-19,1116641.3898143452
2021-02-22,1093936.0898143454
2021-02-23,1102195.3898143452
2021-02-24,1143585.8898143452
2021-02-25,1173002.1398143452
2021-02-26,1157581.7898143453
2021-03-01,1177006.6398143452
2021-03-02,1187368.9398143452
2021-03-03,1213104.0398143453
2021-03-04,1227351.8398143451
2021-03-05,1215589.0398143453
2021-03-08,1247466.7898143453
2021-03-09,1246745.7398143453
2021-03-10,1260634.7398143453
2021-03-12,1274760.2398143453
2021-03-15,1286401.9398143452
2021-03-16,1261899.823706951
2021-03-17,1227259.423706951
2021-03-18,1213819.3420680014
2021-03-19,1214330.3920680014
2021-03-22,1222966.9420680013
2021-03-23,1239313.6650735068
2021-03-24,1215888.9150735068
2021-03-25,1188270.2150735068
2021-03-26,1217022.5150735069
2021-03-30,1237619.4150735068
2021-03-31,1240033.1650735068
2021-04-01,1281711.2650735069
2021-04-05,1283000.6150735067
2021-04-06,1317549.815073507
2021-04-07,1341755.2150735068
2021-04-08,1345405.1150735067
2021-04-09,1363922.315073507
2021-04-12,1293663.0787760909
2021-04-13,1321118.7987760908
2021-04-15,1325008.021185181
2021-04-16,1339169.7011851808
2021-04-19,1323308.2811851809
2021-04-20,1333599.921185181
2021-04-22,1358065.7411851808
2021-04-23,1359351.0611851807
2021-04-26,1387146.421185181
2021-04-27,1405024.901185181
2021-04-28,1404374.9111851808
2021-04-29,1454944.941185181
2021-04-30,1455605.191185181
2021-05-03,1496623.7811851809
2021-05-04,1490467.7811851809
2021-05-05,1513647.571185181
2021-05-06,1544984.5111851809
2021-05-07,1601384.671185181
2021-05-10,1625897.0311851809
2021-05-11,1613723.2611851809
2021-05-12,1567503.901185181
2021-05-14,1512692.5592680394
2021-05-17,1561285.5892680392
2021-05-18,1589146.8792680393
2021-05-19,1581030.2992680394
2021-05-20,1562603.7892680392
2021-05-21,1571139.7592680394
2021-05-24,1583865.1341438163
2021-05-25,1571302.3641438163
2021-05-26,1545797.7541438167
2021-05-27,1565147.9541438164
2021-05-28,1562035.2541438164
2021-05-31,1579038.1541438166
2021-06-01,1592101.5541438165
2021-06-02,1628445.2541438164
2021-06-03,1640658.0041438164
2021-06-04,1668871.4541438166
2021-06-07,1667357.6541438166
2021-06-08,1676594.2041438164
2021-06-09,1657356.7041438164
2021-06-10,1682964.3541438165
2021-06-11,1692372.2541438164
2021-06-14,1639848.509556713
2021-06-15,1635815.309556713
2021-06-16,1625745.459556713
2021-06-17,1603961.7873036352
2021-06-18,1584048.3933502357
2021-06-21,1598174.0433502356
2021-06-22,1586049.6180571956
2021-06-23,1571131.9180571956
2021-06-24,1581724.718057196
2021-06-25,1594914.9180571958
