symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pnl,ret_pct,holding_days
OBEROIRLTY,2021-01-01,2021-01-15,590.1,559.6,169,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5154.5,-5.168615488900185,14
GODREJPROP,2021-01-01,2021-01-15,1427.25,1382.3,70,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3146.500000000003,-3.149413207216678,14
TATASTEEL,2021-01-01,2021-01-18,59.32,61.61,1685,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,3858.6499999999987,3.8604180714767455,17
DIXON,2021-01-01,2021-01-22,2724.4,2818.5,36,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,3387.5999999999967,3.4539715166642226,21
VEDL,2021-01-15,2021-01-22,74.2,69.3,1448,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-7095.200000000008,-6.60377358490567,7
PERSISTENT,2021-01-01,2021-01-25,748.8,769.5,133,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,2753.100000000006,2.7644230769230838,24
DLF,2021-01-01,2021-01-27,238.35,258.75,419,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,8547.600000000002,8.558842039018245,26
MPHASIS,2021-01-25,2021-01-27,1466.7,1461.6,71,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-362.1000000000097,-0.3477193700143322,2
KPITTECH,2021-01-01,2021-01-28,143.9,132.95,694,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-7599.300000000012,-7.609451007644208,27
APLAPOLLO,2021-01-01,2021-01-29,429.9,453.3,232,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,5428.800000000008,5.443126308443835,28
ADANIENT,2021-01-01,2021-01-29,476.2,491.2,209,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,3135.0,3.1499370012599837,28
ASHOKLEY,2021-01-22,2021-01-29,58.65,52.9,1830,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-10522.5,-9.80392156862745,7
HAVELLS,2021-01-27,2021-02-01,1116.05,1062.2,94,dropped out of top 20 rank (now #21 of 44),-5061.899999999991,-4.825052641010696,5
RVNL,2021-01-28,2021-02-02,30.15,29.65,3472,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1736.0,-1.6583747927031545,5
KPITTECH,2021-01-29,2021-02-02,142.8,134.95,722,dropped out of top 20 rank (now #28 of 54),-5667.700000000016,-5.497198879551835,4
ASHOKLEY,2021-02-02,2021-02-12,63.7,61.65,1706,dropped out of top 20 rank (now #21 of 99),-3497.3000000000075,-3.2182103610675084,10
VOLTAS,2021-02-12,2021-02-16,1079.2,1037.65,109,dropped out of top 20 rank (now #23 of 94),-4528.949999999995,-3.8500741289844265,4
SHRIRAMFIN,2021-01-29,2021-02-18,258.25,287.75,399,dropped out of top 20 rank (now #23 of 99),11770.5,11.423039690222648,20
TATAELXSI,2021-01-01,2021-02-22,1867.95,2666.8,53,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,42339.05000000001,42.76613399716267,52
TMPV,2021-01-18,2021-02-22,169.35,209.65,626,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,25227.800000000007,23.796870386772962,35
DLF,2021-02-01,2021-02-22,281.65,294.1,375,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,4668.750000000017,4.420379904136351,21
UNOMINDA,2021-01-27,2021-02-23,237.95,271.7,442,dropped out of top 20 rank (now #21 of 78),14917.5,14.183652027736926,27
SBIN,2021-02-16,2021-03-05,402.35,383.65,294,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5497.800000000014,-4.647694793090606,17
DIXON,2021-02-02,2021-03-08,3139.3,3801.2,34,dropped out of top 20 rank (now #22 of 88),22504.599999999988,21.084318160099368,34
MAHABANK,2021-02-22,2021-03-16,21.75,21.4,5338,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1868.3000000000077,-1.6091954022988575,22
IDFCFIRSTB,2021-01-22,2021-03-17,49.5,60.9,2169,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,24726.6,23.030303030303024,54
ADANIPORTS,2021-02-22,2021-03-17,673.8,688.25,172,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,2485.400000000008,2.144553279905015,23
NBCC,2021-03-05,2021-03-18,33.9,29.03,3789,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-18452.42999999999,-14.36578171091445,13
ASTRAL,2021-03-17,2021-03-18,1388.15,1290.4,92,dropped out of top 20 rank (now #23 of 41),-8993.0,-7.041746208983179,1
PGEL,2021-01-29,2021-03-19,17.35,38.7,5948,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,126989.8,123.05475504322767,49
ABCAPITAL,2021-03-08,2021-03-19,131.25,120.8,996,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-10408.200000000003,-7.9619047619047585,11
NMDC,2021-03-19,2021-03-22,16.05,15.45,7820,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-4692.000000000011,-3.7383177570093573,3
DIXON,2021-03-19,2021-03-23,4267.25,3868.85,29,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-11553.600000000002,-9.33622356318472,4
HINDALCO,2021-03-17,2021-03-24,326.4,317.75,391,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3382.149999999991,-2.6501225490195957,7
PGEL,2021-03-22,2021-03-24,40.65,38.75,3109,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5907.099999999996,-4.674046740467396,2
AUBANK,2021-03-24,2021-03-25,612.8,575.25,204,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-7660.199999999991,-6.127610966057439,1
ADANIPOWER,2021-03-25,2021-03-31,19.85,17.0,6167,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-17575.950000000008,-14.35768261964736,6
PGEL,2021-03-31,2021-04-01,40.7,39.05,3088,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5095.200000000017,-4.054054054054069,1
APLAPOLLO,2021-03-18,2021-04-05,609.8,617.75,206,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,1637.7000000000094,1.303706133158422,18
NBCC,2021-03-23,2021-04-05,31.93,30.3,4006,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6529.779999999996,-5.104917005950515,13
VEDL,2021-02-22,2021-04-12,88.0,92.94275175105139,1319,stop,6519.489559636782,5.61676335346748,49
IEX,2021-02-18,2021-04-12,99.3,112.6,1210,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,16092.999999999996,13.393756294058413,53
ADANIENSOL,2021-02-23,2021-04-12,734.5,924.9,159,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,30273.599999999995,25.922396187882903,48
COFORGE,2021-04-12,2021-04-13,623.5,578.0,204,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-9282.0,-7.29751403368083,1
ADANIPOWER,2021-04-01,2021-04-19,17.85,17.5,7228,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2529.80000000001,-1.9607843137254943,18
CGPOWER,2021-04-12,2021-04-20,74.65,67.7,1706,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-11856.700000000004,-9.310113864701941,8
JINDALSTEL,2021-04-12,2021-05-14,389.0,402.3113105127997,327,stop,4352.798537685504,3.421930723084765,32
SAIL,2021-04-05,2021-05-20,89.65,121.45,1451,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,46141.799999999996,35.471277189068594,45
JSWSTEEL,2021-03-19,2021-05-24,440.55,681.45,284,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,68415.6,54.68164794007491,66
SAIL,2021-05-24,2021-05-25,124.75,123.95,1248,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-998.3999999999965,-0.6412825651302634,1
TATASTEEL,2021-04-05,2021-05-26,81.26,102.22,1601,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,33556.95999999999,25.793748461727773,51
