symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pnl,ret_pct,holding_days
OBEROIRLTY,2021-01-04,2021-01-15,590.1,559.6,169,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5154.5,-5.168615488900185,11
GODREJPROP,2021-01-07,2021-01-15,1452.8,1382.3,70,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-4935.0,-4.852698237885466,8
NMDC,2021-01-05,2021-01-18,14.5,13.90703421142534,6905,stop,-4094.4287701080225,-4.089419231549374,13
TATASTEEL,2021-01-04,2021-01-18,64.2,61.61,1557,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-4032.630000000005,-4.034267912772593,14
DIXON,2021-01-04,2021-01-22,2754.6,2765.3903905608463,36,stop,388.45406019047005,0.3917225935107238,18
VEDL,2021-01-15,2021-01-22,74.2,69.3,1391,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6815.900000000008,-6.60377358490567,7
RVNL,2021-01-15,2021-01-22,31.55,28.95,3271,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-8504.600000000004,-8.240887480190173,7
KPITTECH,2021-01-04,2021-01-25,145.45,129.1335667925739,687,stop,-11209.389613501722,-11.217898389430104,21
PERSISTENT,2021-01-18,2021-01-25,796.2,769.5,127,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3390.900000000006,-3.3534287867370116,7
DLF,2021-01-18,2021-01-27,277.15,258.75,366,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6734.399999999991,-6.63900414937758,9
MPHASIS,2021-01-25,2021-01-27,1466.7,1461.6,67,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-341.70000000000914,-0.3477193700143322,2
KPITTECH,2021-01-25,2021-01-28,133.65,132.95,739,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-517.3000000000126,-0.5237560793116436,3
APLAPOLLO,2021-01-04,2021-01-29,445.5,453.3,224,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,1747.2000000000025,1.7508417508417473,25
ADANIENT,2021-01-04,2021-01-29,479.4,491.2,208,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,2454.4000000000024,2.461410095953287,25
ASHOKLEY,2021-01-25,2021-01-29,56.2,52.9,1757,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5798.100000000008,-5.87188612099645,4
WIPRO,2021-01-25,2021-01-29,208.95,199.75,472,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-4342.399999999994,-4.402967217037568,4
IDFCFIRSTB,2021-01-22,2021-02-01,49.5,44.40836761775664,2024,stop,-10305.463941660562,-10.286126024734067,10
CROMPTON,2021-01-28,2021-02-01,424.8,416.45,230,dropped out of top 20 rank (now #33 of 44),-1920.5000000000052,-1.9656308851224158,4
RVNL,2021-01-29,2021-02-02,31.3,29.65,3106,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5124.900000000007,-5.271565495207675,4
ASHOKLEY,2021-02-03,2021-02-12,64.75,61.65,1583,dropped out of top 20 rank (now #21 of 99),-4907.300000000002,-4.787644787644785,9
VOLTAS,2021-02-12,2021-02-16,1079.2,1037.65,101,dropped out of top 20 rank (now #23 of 94),-4196.549999999996,-3.8500741289844265,4
SHRIRAMFIN,2021-02-01,2021-02-18,266.4,287.75,370,dropped out of top 20 rank (now #23 of 99),7899.500000000008,8.01426426426428,17
HAVELLS,2021-02-17,2021-02-19,1194.5,1139.0,93,dropped out of top 20 rank (now #24 of 82),-5161.5,-4.646295521138555,2
TATAELXSI,2021-01-04,2021-02-22,1881.1,2666.8,53,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,41642.10000000001,41.76811440114827,49
TMPV,2021-01-27,2021-02-22,184.15,209.65,539,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,13744.5,13.847407005158828,26
DLF,2021-02-02,2021-02-22,294.5,294.1,343,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-137.1999999999922,-0.13582342954159277,20
UNOMINDA,2021-01-28,2021-02-23,236.55,271.7,414,dropped out of top 20 rank (now #21 of 78),14552.099999999991,14.859437751004002,26
SBIN,2021-02-22,2021-03-05,389.5,383.65,276,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1614.6000000000063,-1.5019255455712477,11
DIXON,2021-02-03,2021-03-08,3175.85,3801.2,32,dropped out of top 20 rank (now #22 of 88),20011.199999999997,19.690791441661283,33
MAHABANK,2021-02-22,2021-03-16,21.75,21.061171981031173,4959,stop,-3415.898146066415,-3.167025374569321,22
IDFCFIRSTB,2021-02-01,2021-03-17,46.6,60.9,2120,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,30315.999999999993,30.686695278969943,44
ADANIPORTS,2021-02-22,2021-03-17,673.8,688.25,160,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,2312.0000000000073,2.144553279905015,23
PGEL,2021-01-29,2021-03-18,17.35,40.75,5604,stop,131133.6,134.87031700288182,48
NBCC,2021-03-08,2021-03-18,34.03,30.19741857988829,3582,stop,-13728.306646840152,-11.262360917166358,10
ASTRAL,2021-03-17,2021-03-18,1388.15,1288.8786177392099,85,stop,-8438.06749216717,-7.151344037805007,1
ABCAPITAL,2021-03-05,2021-03-19,124.35,120.8,957,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3397.349999999997,-2.8548451950140663,14
PGEL,2021-03-18,2021-03-19,40.75,38.7,2880,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5903.999999999992,-5.03067484662576,1
DIXON,2021-03-19,2021-03-23,4267.25,3883.765813958087,27,stop,-10354.073023131647,-8.986681962432785,4
HINDALCO,2021-03-17,2021-03-24,326.4,317.75,364,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3148.5999999999917,-2.6501225490195957,7
PGEL,2021-03-23,2021-03-24,40.8,38.75,2942,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6031.099999999991,-5.024509803921562,1
AUBANK,2021-03-22,2021-03-25,611.45,575.25,193,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6986.600000000009,-5.920353258647482,3
ADANIPOWER,2021-03-26,2021-03-31,18.85,17.0,6236,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-11536.60000000001,-9.814323607427067,5
APLAPOLLO,2021-03-19,2021-04-05,627.3,617.75,186,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1776.2999999999915,-1.522397576916934,17
VEDL,2021-02-23,2021-04-12,90.1,95.66412762657708,1203,stop,6693.645534772239,6.1755023602409365,48
ADANIENSOL,2021-02-24,2021-04-12,743.75,939.3695646157512,150,stop,29342.93469236268,26.301790200437125,47
ADANIENT,2021-03-16,2021-04-12,870.4,1029.546745958861,140,stop,22280.54443424055,18.28432283534709,27
IEX,2021-02-18,2021-04-12,99.3,112.6,1119,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,14882.699999999997,13.393756294058413,53
CGPOWER,2021-03-25,2021-04-15,67.1,68.16624295810401,1718,stop,1831.8054020226941,1.5890357050730497,21
ADANIPOWER,2021-04-05,2021-04-19,18.75,17.5,6599,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-8248.75,-6.666666666666665,14
JSWSTEEL,2021-03-22,2021-05-14,445.3,679.5473609180804,265,stop,62075.550643291295,52.60439275052331,53
JINDALSTEL,2021-04-12,2021-05-14,389.0,431.9144246745226,317,stop,13603.872621823662,11.031985777512233,32
SAIL,2021-04-12,2021-05-14,84.7,124.89891524802613,1459,stop,58650.217346870115,47.46034858090451,32
HINDALCO,2021-04-15,2021-05-14,353.55,374.0346290232858,356,stop,7292.527932289737,5.793983601551633,29
SAIL,2021-05-14,2021-05-20,127.15,121.45,1132,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6452.400000000003,-4.482894219425882,6
