symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pnl,ret_pct,holding_days
OBEROIRLTY,2021-01-01,2021-01-15,590.1,559.6,169,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5154.5,-5.168615488900185,14
GODREJPROP,2021-01-01,2021-01-15,1427.25,1382.3,70,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3146.500000000003,-3.149413207216678,14
TATASTEEL,2021-01-01,2021-01-18,59.32,61.61,1685,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,3858.6499999999987,3.8604180714767455,17
DIXON,2021-01-01,2021-01-22,2724.4,2765.3903905608463,36,stop,1475.6540601904635,1.5045657965367054,21
VEDL,2021-01-15,2021-01-22,74.2,69.3,1448,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-7095.200000000008,-6.60377358490567,7
PERSISTENT,2021-01-01,2021-01-25,748.8,747.9022559601084,133,stop,-119.39995730557791,-0.11989103096842202,24
ASHOKLEY,2021-01-22,2021-01-27,58.65,53.76149030897642,1827,stop,-8931.30720550008,-8.335054886655724,5
DLF,2021-01-01,2021-01-27,238.35,258.75,419,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,8547.600000000002,8.558842039018245,26
MPHASIS,2021-01-25,2021-01-27,1466.7,1461.6,71,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-362.1000000000097,-0.3477193700143322,2
KPITTECH,2021-01-01,2021-01-28,143.9,132.95,694,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-7599.300000000012,-7.609451007644208,27
HAVELLS,2021-01-27,2021-01-29,1116.05,1065.4701982461006,93,stop,-4703.921563112639,-4.532037252264621,2
WIPRO,2021-01-27,2021-01-29,213.35,199.5060124441677,489,stop,-6769.709914801988,-6.488862224435099,2
APLAPOLLO,2021-01-01,2021-01-29,429.9,453.3,232,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,5428.800000000008,5.443126308443835,28
ADANIENT,2021-01-01,2021-01-29,476.2,491.2,209,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,3135.0,3.1499370012599837,28
IDFCFIRSTB,2021-01-22,2021-02-01,49.5,44.40836761775664,2165,stop,-11023.384107556876,-10.286126024734067,10
CROMPTON,2021-01-29,2021-02-01,427.75,416.45,239,dropped out of top 20 rank (now #33 of 44),-2700.7000000000025,-2.641729982466401,3
RVNL,2021-01-28,2021-02-02,30.15,29.65,3444,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1722.0,-1.6583747927031545,5
KPITTECH,2021-01-29,2021-02-02,142.8,134.95,717,dropped out of top 20 rank (now #28 of 54),-5628.450000000016,-5.497198879551835,4
NATIONALUM,2021-02-01,2021-02-09,48.27,48.12,2154,dropped out of top 20 rank (now #30 of 100),-323.10000000001224,-0.3107520198881386,8
ASHOKLEY,2021-02-02,2021-02-12,63.7,61.65,1679,dropped out of top 20 rank (now #21 of 99),-3441.950000000007,-3.2182103610675084,10
VOLTAS,2021-02-12,2021-02-16,1079.2,1037.65,106,dropped out of top 20 rank (now #23 of 94),-4404.299999999996,-3.8500741289844265,4
SHRIRAMFIN,2021-01-29,2021-02-18,258.25,287.75,396,dropped out of top 20 rank (now #23 of 99),11682.0,11.423039690222648,20
TATAELXSI,2021-01-01,2021-02-22,1867.95,2666.8,53,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,42339.05000000001,42.76613399716267,52
TMPV,2021-01-18,2021-02-22,169.35,209.65,626,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,25227.800000000007,23.796870386772962,35
DLF,2021-02-01,2021-02-22,281.65,294.1,369,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,4594.050000000017,4.420379904136351,21
UNOMINDA,2021-01-27,2021-02-23,237.95,271.7,439,dropped out of top 20 rank (now #21 of 78),14816.25,14.183652027736926,27
SBIN,2021-02-22,2021-03-05,389.5,383.65,290,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1696.5000000000066,-1.5019255455712477,11
DIXON,2021-02-09,2021-03-08,3547.55,3801.2,32,dropped out of top 20 rank (now #22 of 88),8116.799999999988,7.1500049329819015,27
MAHABANK,2021-02-22,2021-03-16,21.75,21.061171981031173,5202,stop,-3583.28335467584,-3.167025374569321,22
IDFCFIRSTB,2021-02-02,2021-03-17,47.7,60.9,2243,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,29607.59999999999,27.67295597484276,43
ADANIPORTS,2021-02-22,2021-03-17,673.8,688.25,167,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,2413.150000000008,2.144553279905015,23
PGEL,2021-01-29,2021-03-18,17.35,40.75,5902,stop,138106.8,134.87031700288182,48
NBCC,2021-03-05,2021-03-18,33.9,29.70212447667669,3698,stop,-15523.743685249594,-12.383113638121856,13
ASTRAL,2021-03-17,2021-03-18,1388.15,1288.8786177392099,89,stop,-8835.153021210332,-7.151344037805007,1
ABCAPITAL,2021-03-08,2021-03-19,131.25,117.67786839035264,973,stop,-13205.68405618688,-10.340671702588466,11
PGEL,2021-03-18,2021-03-19,40.75,38.7,3014,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6178.699999999992,-5.03067484662576,1
NATIONALUM,2021-03-18,2021-03-19,55.61,54.63,2208,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2163.839999999993,-1.7622729724869557,1
NMDC,2021-03-19,2021-03-22,16.05,15.45,7635,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-4581.000000000011,-3.7383177570093573,3
DIXON,2021-03-19,2021-03-23,4267.25,3883.765813958087,28,stop,-10737.55720917356,-8.986681962432785,4
HINDALCO,2021-03-17,2021-03-24,326.4,317.75,381,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3295.6499999999915,-2.6501225490195957,7
PGEL,2021-03-22,2021-03-24,40.65,38.75,3036,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5768.399999999996,-4.674046740467396,2
AUBANK,2021-03-24,2021-03-25,612.8,575.25,199,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-7472.449999999991,-6.127610966057439,1
ADANIPOWER,2021-03-25,2021-03-31,19.85,17.25,6025,stop,-15665.00000000001,-13.09823677581865,6
PGEL,2021-03-31,2021-04-01,40.7,39.05,3020,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-4983.000000000017,-4.054054054054069,1
APLAPOLLO,2021-03-18,2021-04-05,609.8,617.75,201,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,1597.9500000000091,1.303706133158422,18
NBCC,2021-03-23,2021-04-05,31.93,30.3,3913,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6378.189999999996,-5.104917005950515,13
VEDL,2021-02-22,2021-04-12,88.0,95.66412762657708,1285,stop,9848.404000151553,8.709235939292137,49
ADANIENSOL,2021-02-23,2021-04-12,734.5,939.3695646157512,155,stop,31754.782515441435,27.892384563070284,48
ADANIENT,2021-03-16,2021-04-12,870.4,1029.546745958861,147,stop,23394.571655952575,18.28432283534709,27
IEX,2021-02-18,2021-04-12,99.3,112.6,1171,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,15574.299999999997,13.393756294058413,53
COFORGE,2021-04-12,2021-04-13,623.5,572.5568299025961,200,stop,-10188.634019480787,-8.170516455076815,1
CGPOWER,2021-04-12,2021-04-15,74.65,67.66481706930249,1674,stop,-11693.196225987647,-9.35724438137645,3
ADANIPOWER,2021-04-01,2021-04-19,17.85,17.5,7069,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2474.15000000001,-1.9607843137254943,18
JSWSTEEL,2021-03-19,2021-05-14,440.55,679.5473609180804,278,stop,66441.26633522633,54.24976981456824,56
SAIL,2021-04-05,2021-05-14,89.65,124.89891524802613,1419,stop,50018.21073694907,39.318366143922056,39
JINDALSTEL,2021-04-12,2021-05-14,389.0,431.9144246745226,321,stop,13775.530320521751,11.031985777512233,32
HINDALCO,2021-04-13,2021-05-14,348.7,374.0346290232858,361,stop,9145.801077406173,7.265451397558298,31
