symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pnl,ret_pct,holding_days
TATASTEEL,2021-01-01,2021-01-04,59.32,62.9853870893331,1685,target,6176.177245526276,6.179007230837996,3
TATAELXSI,2021-01-01,2021-01-06,1867.95,2004.7059437777816,53,target,7248.065020222423,7.321177963959502,5
DIXON,2021-01-01,2021-01-06,2724.4,2928.0055333313385,36,target,7329.799199928182,7.473408212132515,5
APLAPOLLO,2021-01-01,2021-01-08,429.9,465.6363142378265,232,target,8290.824903175759,8.312703939945699,7
PERSISTENT,2021-01-01,2021-01-11,748.8,806.2082844781742,133,target,7635.30183559717,7.6667046578758224,10
ADANIENT,2021-01-01,2021-01-12,476.2,518.0489074315758,209,target,8746.421653199344,8.788094798734946,11
DLF,2021-01-01,2021-01-12,238.35,257.6992364469679,419,target,8107.330071279559,8.117993055157502,11
DLF,2021-01-12,2021-01-13,267.55,289.4899692465359,392,target,8600.46794464207,8.20032489124869,1
SAIL,2021-01-06,2021-01-14,76.2,69.0,1343,stop,-9669.600000000004,-9.4488188976378,8
OBEROIRLTY,2021-01-01,2021-01-15,590.1,559.6,169,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5154.5,-5.168615488900185,14
GODREJPROP,2021-01-01,2021-01-15,1427.25,1382.3,70,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3146.500000000003,-3.149413207216678,14
NMDC,2021-01-11,2021-01-18,15.55,14.386307654726487,6698,stop,-7794.411328641996,-7.483552059636745,7
TATASTEEL,2021-01-04,2021-01-18,64.2,61.61,1582,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-4097.380000000006,-4.034267912772593,14
SAIL,2021-01-15,2021-01-18,70.15,65.95,1456,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6115.200000000004,-5.987170349251603,3
TATAELXSI,2021-01-15,2021-01-19,2357.8,2590.0884315751264,43,target,9988.402557730427,9.85191413924531,4
TMPV,2021-01-18,2021-01-20,169.35,185.30481949252905,589,target,9397.388681099614,9.421210211118435,2
TATASTEEL,2021-01-20,2021-01-21,63.91,61.61,1627,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3742.0999999999954,-3.598810827726484,1
VEDL,2021-01-06,2021-01-22,76.4,69.15981149177375,1339,stop,-9694.612412514954,-9.47668652909196,16
RVNL,2021-01-12,2021-01-22,32.85,29.43325737712744,3200,stop,-10933.576393192197,-10.401042992001708,10
MPHASIS,2021-01-14,2021-01-22,1567.0,1436.1,65,stop,-8508.500000000005,-8.353541799617103,8
KPITTECH,2021-01-01,2021-01-25,143.9,127.12076423815654,694,stop,-11644.789618719366,-11.660344518306786,24
PERSISTENT,2021-01-18,2021-01-25,796.2,769.5,125,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3337.5000000000055,-3.3534287867370116,7
ASHOKLEY,2021-01-22,2021-01-27,58.65,53.76149030897642,1695,stop,-8286.023926284966,-8.335054886655724,5
DLF,2021-01-18,2021-01-27,277.15,258.75,360,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6623.999999999992,-6.63900414937758,9
MPHASIS,2021-01-22,2021-01-27,1474.3,1461.6,67,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-850.900000000003,-0.8614257613782872,5
HAVELLS,2021-01-27,2021-01-28,1116.05,1185.8637038233123,86,target,6003.978528804864,6.255427966785754,1
KPITTECH,2021-01-27,2021-01-28,136.1,132.95,712,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2242.800000000004,-2.3144746509919267,1
WIPRO,2021-01-22,2021-01-29,212.55,199.04750555654957,467,stop,-6305.6649050913575,-6.352620298024203,7
APLAPOLLO,2021-01-08,2021-01-29,481.05,453.3,218,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6049.5,-5.76863111942626,21
ADANIENT,2021-01-13,2021-01-29,519.7,491.2,202,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5757.000000000012,-5.483933038291333,16
DLF,2021-01-28,2021-01-29,261.0,255.45,369,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2047.9500000000041,-2.126436781609198,1
IDFCFIRSTB,2021-01-19,2021-02-01,50.15,45.21953151712527,2044,stop,-10077.877578995947,-9.831442637835952,13
TATAELXSI,2021-01-21,2021-02-01,2577.6,2869.8062576587145,39,target,11396.044048689868,11.336369400167378,11
CROMPTON,2021-01-29,2021-02-01,427.75,416.45,223,dropped out of top 20 rank (now #33 of 44),-2519.9000000000024,-2.641729982466401,3
TMPV,2021-01-25,2021-02-02,192.2,212.67813614461159,506,target,10361.936889173468,10.65459736972507,8
PGEL,2021-01-29,2021-02-02,17.35,18.951734948079817,5520,target,8841.576913400584,9.231901718039293,4
RVNL,2021-01-28,2021-02-02,30.15,29.65,3199,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1599.5,-1.6583747927031545,5
KPITTECH,2021-01-29,2021-02-02,142.8,134.95,670,dropped out of top 20 rank (now #28 of 54),-5259.5000000000155,-5.497198879551835,4
SHRIRAMFIN,2021-01-29,2021-02-03,258.25,287.98345867772036,370,target,11001.379710756535,11.513439952650684,5
UNOMINDA,2021-01-27,2021-02-04,237.95,259.4622472823448,407,target,8755.48464391433,9.04065866036763,8
DLF,2021-02-01,2021-02-04,281.65,310.6703624259942,343,target,9953.984312116017,10.303696938041629,3
PGEL,2021-02-02,2021-02-04,19.1,20.755577582783108,5192,target,8595.758809809888,8.667945459597416,2
SBIN,2021-02-04,2021-02-05,355.1,382.97608747284346,289,target,8056.189279651753,7.8502076803276255,1
DIXON,2021-02-02,2021-02-08,3139.3,3433.5413377247373,31,target,9121.481469466851,9.37283272464362,6
IDFCFIRSTB,2021-02-01,2021-02-09,46.6,51.78297224017575,2076,target,10759.850370604858,11.122258026128229,8
VEDL,2021-02-03,2021-02-09,73.35,79.7073152955088,1370,target,8709.521954847072,8.667096517394434,6
NATIONALUM,2021-02-01,2021-02-09,48.27,48.12,2004,dropped out of top 20 rank (now #30 of 100),-300.6000000000114,-0.3107520198881386,8
DIXON,2021-02-08,2021-02-10,3457.4,3777.419404590697,30,target,9600.582137720907,9.256071168817526,2
UNOMINDA,2021-02-05,2021-02-11,275.95,304.1222806179028,370,target,10423.743828624036,10.209197542273163,6
ADANIENT,2021-02-09,2021-02-12,610.6,659.7217160507363,173,target,8498.056876777375,8.044827391211307,3
ASHOKLEY,2021-02-02,2021-02-12,63.7,61.65,1556,dropped out of top 20 rank (now #21 of 99),-3189.8000000000065,-3.2182103610675084,10
VOLTAS,2021-02-09,2021-02-16,1079.6,1037.65,98,dropped out of top 20 rank (now #23 of 94),-4111.099999999982,-3.8856984068173284,7
IDFCFIRSTB,2021-02-09,2021-02-17,50.0,54.974407115608514,2119,target,10540.768677974442,9.948814231217028,8
ADANIPORTS,2021-02-12,2021-02-17,616.6,662.225444930798,174,target,7938.827417958839,7.39952074777781,5
SHRIRAMFIN,2021-02-04,2021-02-18,284.15,287.75,362,dropped out of top 20 rank (now #23 of 99),1303.2000000000082,1.2669364772127434,14
PGEL,2021-02-16,2021-02-19,24.8,27.196037419072123,4396,target,10532.98049424105,9.661441205935972,3
IDFCFIRSTB,2021-02-17,2021-02-19,56.4,61.433483130339404,1955,target,9840.459519813538,8.924615479325194,2
TATAELXSI,2021-02-01,2021-02-22,2949.8,2624.323208093646,32,stop,-10415.257341003336,-11.033859648327148,21
VEDL,2021-02-10,2021-02-22,79.2,85.6928838579449,1355,target,8797.857627515345,8.198085679223354,12
UNOMINDA,2021-02-11,2021-02-22,300.35,269.0293625903811,362,stop,-11338.070742282056,-10.428046415721305,11
TMPV,2021-02-02,2021-02-22,221.7,209.65,447,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5386.349999999992,-5.43527289129454,20
DLF,2021-02-04,2021-02-22,304.75,294.1,337,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3589.0499999999925,-3.49466776045938,18
CHOLAFIN,2021-02-22,2021-02-24,528.65,504.5,204,dropped out of top 20 rank (now #35 of 83),-4926.599999999995,-4.568239856237577,2
PGEL,2021-02-19,2021-02-26,26.45,29.044166986042804,4171,target,10820.270498784537,9.80781469203329,7
MOTHERSON,2021-02-18,2021-02-26,87.77,85.1,1266,dropped out of top 20 rank (now #21 of 64),-3380.220000000002,-3.0420416998974575,8
ADANIPORTS,2021-02-22,2021-03-02,673.8,724.5791219832112,160,target,8124.659517313794,7.536230629743423,8
IDFCFIRSTB,2021-02-22,2021-03-03,61.5,67.57003004276811,1758,target,10671.112815186338,9.86996754921643,9
VEDL,2021-02-22,2021-03-03,88.0,95.52159598208232,1228,target,9236.519865997085,8.54726816145719,9
ADANIENSOL,2021-02-26,2021-03-03,750.0,840.9681929426351,148,target,13463.292555510001,12.12909239235136,5
IEX,2021-02-17,2021-03-04,94.65,104.6685099756046,1165,target,11671.564121579344,10.584796593348745,15
SBIN,2021-02-22,2021-03-05,389.5,383.65,277,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1620.4500000000062,-1.5019255455712477,11
TMPV,2021-03-03,2021-03-05,239.95,223.85,482,dropped out of top 20 rank (now #28 of 86),-7760.199999999997,-6.709731193998747,2
DIXON,2021-02-12,2021-03-08,3734.6,3801.2,28,dropped out of top 20 rank (now #22 of 88),1864.7999999999975,1.7833235152358906,24
ABCAPITAL,2021-03-02,2021-03-09,126.75,139.54961863787025,888,target,11366.061350428785,10.098318451968646,7
NATIONALUM,2021-02-26,2021-03-10,58.75,57.47,1894,dropped out of top 20 rank (now #21 of 95),-2424.320000000002,-2.1787234042553227,12
IEX,2021-03-04,2021-03-12,103.5,113.14702881881338,1114,target,10746.790104158108,9.32080079112405,8
APLAPOLLO,2021-03-12,2021-03-15,628.75,569.147482263948,181,stop,-10788.05571022542,-9.479525683666335,3
MAHABANK,2021-02-19,2021-03-16,23.35,21.061171981031173,4725,stop,-10814.712389627715,-9.802261323206974,25
IDFCFIRSTB,2021-03-08,2021-03-17,67.25,61.683067075690666,1706,stop,-9497.187568871725,-8.27796717369418,9
ADANIPOWER,2021-03-15,2021-03-17,15.85,17.44747158829872,7079,target,11308.501373566629,10.078685099676466,2
ADANIPORTS,2021-03-03,2021-03-17,729.85,688.25,158,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6572.800000000004,-5.699801329040222,14
NBCC,2021-03-05,2021-03-18,33.9,29.93722000911046,3324,stop,-13172.280689716821,-11.689616492299514,13
ASTRAL,2021-03-17,2021-03-18,1388.15,1288.8786177392099,79,stop,-7842.439198602428,-7.151344037805007,1
HINDALCO,2021-02-26,2021-03-19,340.25,321.1474273511433,327,stop,-6246.541256176148,-5.61427557644577,21
ABCAPITAL,2021-03-09,2021-03-19,134.3,120.49016350532747,843,stop,-11641.69216500895,-10.282826876152296,10
