symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pnl,ret_pct,holding_days
HINDALCO,2021-01-04,2021-01-12,254.3,264.35,393,dropped out of top 20 rank (now #21 of 113),3949.6500000000046,3.9520251671254503,8
SAIL,2021-01-12,2021-01-14,75.9,68.85505903831358,1372,stop,-9665.65899943377,-9.281872149784476,2
OBEROIRLTY,2021-01-04,2021-01-15,590.1,559.6,169,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5154.5,-5.168615488900185,11
TATASTEEL,2021-01-04,2021-01-18,64.2,61.61,1557,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-4032.630000000005,-4.034267912772593,14
DIXON,2021-01-04,2021-01-22,2754.6,2765.3903905608463,36,stop,388.45406019047005,0.3917225935107238,18
JINDALSTEL,2021-01-04,2021-01-22,287.7,281.65,347,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2099.350000000004,-2.102884949600281,18
VEDL,2021-01-15,2021-01-22,74.2,69.3,1403,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6874.700000000008,-6.60377358490567,7
KPITTECH,2021-01-04,2021-01-25,145.45,129.1335667925739,687,stop,-11209.389613501722,-11.217898389430104,21
PERSISTENT,2021-01-04,2021-01-25,759.9,747.9022559601084,131,stop,-1571.7044692257978,-1.5788582760746905,21
ASHOKLEY,2021-01-22,2021-01-27,58.65,53.76149030897642,1732,stop,-8466.898784852838,-8.335054886655724,5
DLF,2021-01-18,2021-01-27,277.15,258.75,369,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6789.599999999991,-6.63900414937758,9
MPHASIS,2021-01-25,2021-01-27,1466.7,1461.6,67,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-341.70000000000914,-0.3477193700143322,2
KPITTECH,2021-01-25,2021-01-28,133.65,132.95,743,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-520.1000000000126,-0.5237560793116436,3
WIPRO,2021-01-22,2021-01-29,212.55,199.04750555654957,478,stop,-6454.192343969313,-6.352620298024203,7
APLAPOLLO,2021-01-04,2021-01-29,445.5,453.3,224,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,1747.2000000000025,1.7508417508417473,25
ADANIENT,2021-01-04,2021-01-29,479.4,491.2,208,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,2454.4000000000024,2.461410095953287,25
ASHOKLEY,2021-01-27,2021-01-29,55.1,52.9,1809,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3979.800000000005,-3.9927404718693382,2
IDFCFIRSTB,2021-01-22,2021-02-01,49.5,44.40836761775664,2052,stop,-10448.029648363377,-10.286126024734067,10
CROMPTON,2021-01-27,2021-02-01,428.05,416.45,232,dropped out of top 20 rank (now #33 of 44),-2691.2000000000053,-2.709963789276959,5
ASTRAL,2021-01-29,2021-02-01,970.55,974.15,101,dropped out of top 20 rank (now #23 of 44),363.6000000000023,0.3709237030549817,3
RVNL,2021-01-29,2021-02-02,31.3,29.65,3139,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5179.350000000007,-5.271565495207675,4
IEX,2021-01-29,2021-02-03,82.1,84.1,1197,dropped out of top 20 rank (now #23 of 62),2394.0,2.436053593179044,5
CUMMINSIND,2021-02-01,2021-02-12,730.0,753.75,136,dropped out of top 20 rank (now #22 of 99),3230.0,3.253424657534243,11
ASHOKLEY,2021-02-03,2021-02-12,64.75,61.65,1612,dropped out of top 20 rank (now #21 of 99),-4997.200000000003,-4.787644787644785,9
VOLTAS,2021-02-12,2021-02-16,1079.2,1037.65,102,dropped out of top 20 rank (now #23 of 94),-4238.099999999995,-3.8500741289844265,4
SHRIRAMFIN,2021-02-01,2021-02-18,266.4,287.75,375,dropped out of top 20 rank (now #23 of 99),8006.250000000008,8.01426426426428,17
TATAELXSI,2021-01-04,2021-02-22,1881.1,2666.8,53,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,41642.10000000001,41.76811440114827,49
TMPV,2021-01-27,2021-02-22,184.15,209.65,541,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,13795.5,13.847407005158828,26
DLF,2021-02-02,2021-02-22,294.5,294.1,349,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-139.59999999999206,-0.13582342954159277,20
UNOMINDA,2021-01-29,2021-02-23,228.25,271.7,430,dropped out of top 20 rank (now #21 of 78),18683.499999999996,19.03614457831324,25
SBIN,2021-02-22,2021-03-05,389.5,383.65,281,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1643.8500000000063,-1.5019255455712477,11
DIXON,2021-02-16,2021-03-08,3724.1,3801.2,29,dropped out of top 20 rank (now #22 of 88),2235.8999999999974,2.0702988641550846,20
MAHABANK,2021-02-22,2021-03-16,21.75,21.061171981031173,5045,stop,-3475.137355697734,-3.167025374569321,22
IDFCFIRSTB,2021-02-01,2021-03-17,46.6,60.9,2144,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,30659.199999999993,30.686695278969943,44
ADANIPORTS,2021-02-12,2021-03-17,616.6,688.25,178,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,12753.699999999995,11.6201751540707,33
PGEL,2021-01-28,2021-03-18,16.5,40.75,5955,stop,144408.75,146.96969696969697,49
ASTRAL,2021-03-17,2021-03-18,1388.15,1288.8786177392099,88,stop,-8735.88163894954,-7.151344037805007,1
TATAELXSI,2021-03-17,2021-03-18,2756.95,2674.7,44,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3619.0,-2.9833693030341557,1
ABCAPITAL,2021-02-23,2021-03-19,112.8,120.8,980,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,7840.0,7.092198581560294,24
PGEL,2021-03-18,2021-03-19,40.75,38.7,2978,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6104.899999999991,-5.03067484662576,1
NMDC,2021-03-18,2021-03-22,15.9,15.45,7632,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3434.4000000000083,-2.8301886792452935,4
DIXON,2021-03-18,2021-03-23,4240.3,3860.2401073394785,28,stop,-10641.676994494606,-8.963042536153608,5
HINDALCO,2021-03-05,2021-03-24,337.85,317.75,360,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-7236.000000000008,-5.9493858221104094,19
PGEL,2021-03-23,2021-03-24,40.8,38.75,3037,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6225.849999999991,-5.024509803921562,1
AUBANK,2021-03-22,2021-03-25,611.45,575.25,199,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-7203.800000000009,-5.920353258647482,3
APLAPOLLO,2021-03-19,2021-04-05,627.3,617.75,193,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1843.1499999999912,-1.522397576916934,17
VEDL,2021-02-22,2021-04-12,88.0,95.66412762657708,1247,stop,9557.167150341624,8.709235939292137,49
ADANIENSOL,2021-03-08,2021-04-12,793.9,939.3695646157512,157,stop,22838.72164467294,18.323411590345295,35
ADANIENT,2021-03-17,2021-04-12,847.2,1029.546745958861,145,stop,26440.278164034844,21.52345915472864,26
IEX,2021-02-22,2021-04-12,98.4,112.6,1115,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,15832.999999999987,14.430894308943088,49
CGPOWER,2021-03-24,2021-04-15,68.0,68.16624295810401,1787,stop,297.07616613186093,0.24447493838823942,22
ADANIPOWER,2021-04-05,2021-04-19,18.75,17.5,6842,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-8552.5,-6.666666666666665,14
JSWSTEEL,2021-03-19,2021-05-14,440.55,679.5473609180804,275,stop,65724.2742524721,54.24976981456824,56
JINDALSTEL,2021-04-12,2021-05-14,389.0,431.9144246745226,332,stop,14247.5889919415,11.031985777512233,32
SAIL,2021-04-12,2021-05-14,84.7,124.89891524802613,1527,stop,61383.74358373589,47.46034858090451,32
HINDALCO,2021-04-15,2021-05-14,353.55,374.0346290232858,374,stop,7661.251254708881,5.793983601551633,29
SAIL,2021-05-14,2021-05-20,127.15,121.45,1189,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6777.300000000004,-4.482894219425882,6
TATASTEEL,2021-04-12,2021-05-24,79.69,103.22740288094701,1623,stop,38201.204875777,29.536206400987595,42
JSWSTEEL,2021-05-14,2021-05-24,707.1,681.45,213,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5463.449999999995,-3.6274925753075893,10
TATASTEEL,2021-05-24,2021-05-26,103.19,102.22,1534,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1487.9799999999982,-0.9400135672061216,2
VEDL,2021-05-14,2021-05-27,120.9,118.65,1251,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2814.75,-1.8610421836228297,13
NMDC,2021-05-20,2021-06-08,21.65,21.6,7217,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-360.8499999999795,-0.2309468822170757,19
NATIONALUM,2021-05-14,2021-06-09,69.86,68.98,2165,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1905.1999999999903,-1.2596621815058606,26
JSWSTEEL,2021-06-08,2021-06-09,707.5,697.85,236,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2277.3999999999946,-1.3639575971731377,1
ADANIENT,2021-04-12,2021-06-14,1041.6,1397.5,124,stop,44131.60000000001,34.168586789554546,63
BHEL,2021-05-26,2021-06-14,72.5,66.77889559704344,2131,stop,-12191.67348270042,-7.891178486836625,19
ADANIENSOL,2021-04-19,2021-06-15,1012.6,1446.4,130,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,56394.00000000001,42.84021331226546,57
ADANIENT,2021-06-14,2021-06-16,1455.6,1404.1,112,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5768.0,-3.5380599065677365,2
TATASTEEL,2021-06-15,2021-06-17,111.26,103.90716173259997,1470,stop,-10808.672253078046,-6.60869878428908,2
OFSS,2021-06-16,2021-06-17,3260.0,3148.0,49,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5488.0,-3.435582822085892,1
SAIL,2021-06-14,2021-06-18,137.3,125.29058682534118,1194,stop,-14339.239330542645,-8.7468413508076,4
TATAELXSI,2021-05-27,2021-06-18,3604.25,3639.95,43,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,1535.0999999999922,0.9904973295415065,22
CDSL,2021-06-18,2021-06-22,492.45,461.7918215170093,321,stop,-9841.275293040017,-6.22564290445542,4
