floor_mult,cap_pct,cagr,max_dd,sharpe,win_rate,profit_factor,n_trades,sec,n_stop,stop_avg_loss_pct,stop_worst_loss_pct
2.0,,33.82,-23.22,1.41,43.4,1.91,562,120.9,396,-5.76,-18.53
2.0,0.15,32.65,-24.31,1.38,43.5,1.86,568,133.8,402,-5.86,-15.0
2.0,0.12,31.09,-25.76,1.34,43.0,1.78,581,101.8,411,-6.03,-13.96
2.0,0.1,30.98,-24.8,1.36,43.2,1.77,600,108.3,431,-5.69,-12.95
2.0,0.08,31.9,-24.5,1.4,41.5,1.84,627,110.3,454,-5.26,-11.2
1.0,,33.95,-18.59,1.47,41.5,1.95,715,112.9,553,-4.42,-17.95
1.0,0.15,32.72,-20.77,1.45,41.0,1.89,730,109.1,564,-4.47,-16.42
1.0,0.12,31.8,-20.02,1.41,41.0,1.82,757,107.3,584,-4.59,-16.42
1.0,0.1,30.0,-21.64,1.36,40.7,1.73,772,117.4,596,-4.54,-12.95
1.0,0.08,30.7,-21.05,1.4,40.1,1.76,798,111.7,624,-4.47,-11.99
