date,equity
2021-01-01,1000000.0
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,1000000.0
2021-01-07,1000000.0
2021-01-08,1000000.0
2021-01-11,1000000.0
2021-01-12,1000000.0
2021-01-13,1000000.0
2021-01-14,1000000.0
2021-01-15,1000000.0
2021-01-18,1000000.0
2021-01-19,1000000.0
2021-01-20,1000000.0
2021-01-21,1000000.0
2021-01-22,1001176.6
2021-01-25,999989.3999999999
2021-01-27,998388.7999999999
2021-01-28,997381.7999999999
2021-01-29,997562.0
2021-02-01,1002088.2
2021-02-02,1004176.3999999999
2021-02-03,1007006.6
2021-02-04,1009444.6
2021-02-05,1012211.2
2021-02-08,1021178.7999999999
2021-02-09,1020256.6
2021-02-10,1019673.6
2021-02-11,1024888.7999999999
2021-02-12,1033050.7999999999
2021-02-15,1051749.2
2021-02-16,1070305.2
2021-02-17,1075942.96
2021-02-18,1078923.4
2021-02-19,1071743.88
2021-02-22,1070578.3599999999
2021-02-23,1074047.68
2021-02-24,1084411.2
2021-02-25,1082534.88
2021-02-26,1085375.28
2021-03-01,1102352.7999999998
2021-03-02,1104781.6
2021-03-03,1117921.4
2021-03-04,1120649.2
2021-03-05,1105536.16
2021-03-08,1107962.2
2021-03-09,1099008.8
2021-03-10,1095199.48
2021-03-12,1097887.1600000001
2021-03-15,1098048.88
2021-03-16,1100523.96
2021-03-17,1089387.28
2021-03-18,1091972.2
2021-03-19,1085052.2
2021-03-22,1087266.56
2021-03-23,1103771.68
2021-03-24,1095595.437664
2021-03-25,1091333.637664
2021-03-26,1103984.437664
2021-03-30,1101526.637664
2021-03-31,1108318.837664
2021-04-01,1129836.437664
2021-04-05,1148766.637664
2021-04-06,1151246.2376640001
2021-04-07,1147846.637664
2021-04-08,1136814.837664
2021-04-09,1128128.2376640001
2021-04-12,1106048.950784
2021-04-13,1100611.150784
2021-04-15,1110129.950784
2021-04-16,1120136.350784
2021-04-19,1124641.350784
2021-04-20,1126358.5507840002
2021-04-22,1132718.5507840002
2021-04-23,1135845.5507840002
2021-04-26,1129254.150784
2021-04-27,1121956.550784
2021-04-28,1120966.550784
2021-04-29,1119754.750784
2021-04-30,1116717.150784
2021-05-03,1118490.5507840002
2021-05-04,1114448.5507840002
2021-05-05,1121312.5507840002
2021-05-06,1131494.5507840002
2021-05-07,1136781.150784
2021-05-10,1132106.7488639997
2021-05-11,1138533.948864
2021-05-12,1139052.858864
2021-05-14,1117801.448864
2021-05-17,1141811.698864
2021-05-18,1157561.9988639997
2021-05-19,1173015.418864
2021-05-20,1181758.108864
2021-05-21,1197738.8588639998
2021-05-24,1212201.798864
2021-05-25,1197244.548864
2021-05-26,1179415.3488639998
2021-05-27,1189782.0588639998
2021-05-28,1188686.1688640001
2021-05-31,1195266.2988639998
2021-06-01,1205567.468864
2021-06-02,1235035.508864
2021-06-03,1249876.698864
2021-06-04,1256057.248864
2021-06-07,1272507.3488639998
2021-06-08,1271446.018864
2021-06-09,1256868.958864
2021-06-10,1266283.558864
2021-06-11,1260748.0588639998
2021-06-14,1224755.933464
2021-06-15,1206343.643464
2021-06-16,1191490.7534639998
2021-06-17,1168124.143464
2021-06-18,1146762.143464
2021-06-21,1169173.333464
2021-06-22,1189097.7334639998
2021-06-23,1182817.333464
2021-06-24,1162716.5434639999
2021-06-25,1148902.4434639998
2021-06-28,1139804.1534639997
2021-06-29,1128855.833464
2021-06-30,1122182.433464
2021-07-01,1121313.5534639999
2021-07-02,1120098.6934639998
2021-07-05,1131601.183464
2021-07-06,1127413.3034639999
2021-07-07,1138322.0134639998
2021-07-08,1133298.933464
2021-07-09,1141529.073464
2021-07-12,1138403.953464
2021-07-13,1138535.953464
