date,equity
2021-01-01,1000000.0
2021-01-04,1006683.05
2021-01-05,1005007.05
2021-01-06,1008673.3
2021-01-07,1014476.45
2021-01-08,1012507.1499999999
2021-01-11,1011040.6499999999
2021-01-12,1010894.0
2021-01-13,1010894.0
2021-01-14,1010894.0
2021-01-15,1011985.8499999999
2021-01-18,998879.7
2021-01-19,1022132.1499999999
2021-01-20,1035705.98
2021-01-21,1014232.33
2021-01-22,994003.9299999999
2021-01-25,986652.4299999999
2021-01-27,975529.48
2021-01-28,968914.03
2021-01-29,949125.2799999999
2021-02-01,952000.5799999998
2021-02-02,954211.5799999998
2021-02-03,954111.0799999998
2021-02-04,956925.0799999998
2021-02-05,955417.5799999998
2021-02-08,957126.0799999998
2021-02-09,958834.5799999998
2021-02-10,959940.0799999998
2021-02-11,963960.0799999998
2021-02-12,963055.5799999998
2021-02-15,967075.5799999998
2021-02-16,966573.0799999998
2021-02-17,971698.5799999998
2021-02-18,975115.5799999998
2021-02-19,983497.83
2021-02-22,972438.0299999998
2021-02-23,973011.0299999998
2021-02-24,977075.5299999998
2021-02-25,978884.5299999998
2021-02-26,976372.0299999998
2021-03-01,979117.6299999998
2021-03-02,983069.2299999997
2021-03-03,996565.9299999997
2021-03-04,998609.5299999998
2021-03-05,987889.5299999998
2021-03-08,997244.8299999997
2021-03-09,989231.6299999998
2021-03-10,987378.8299999997
2021-03-12,989104.3299999996
2021-03-15,983766.7299999996
2021-03-16,980366.3799999997
2021-03-17,963257.3799999998
2021-03-18,964462.0299999997
2021-03-19,968906.4099999997
2021-03-22,984665.7099999997
2021-03-23,999208.3599999996
2021-03-24,981019.4599999997
2021-03-25,962489.3599999999
2021-03-26,994264.9599999997
2021-03-30,1013395.9999999998
2021-03-31,1018946.1099999998
2021-04-01,1058137.2299999997
2021-04-05,1075290.8499999999
2021-04-06,1102779.7799999998
2021-04-07,1097463.1399999997
2021-04-08,1104277.4399999997
2021-04-09,1115939.4599999997
2021-04-12,1050499.4656933986
2021-04-13,1064438.9356933986
2021-04-15,1070837.2656933987
2021-04-16,1084271.1956933988
2021-04-19,1065579.2756933987
2021-04-20,1066190.5656933987
2021-04-22,1075116.4356933986
2021-04-23,1076820.5556933987
2021-04-26,1103095.6156933988
2021-04-27,1129934.0456933987
2021-04-28,1139441.3556933987
2021-04-29,1173737.1856933986
2021-04-30,1182726.7356933989
2021-05-03,1210577.9256933988
2021-05-04,1210017.6256933988
2021-05-05,1238950.765693399
2021-05-06,1258896.9556933988
2021-05-07,1309407.515693399
2021-05-10,1347514.1756933988
2021-05-11,1335172.6056933987
2021-05-12,1309340.1956933988
2021-05-14,1255817.6665429417
2021-05-17,1278886.6965429415
2021-05-18,1304201.5865429416
2021-05-19,1297994.9065429415
2021-05-20,1274512.6465429417
2021-05-21,1276466.4685858022
2021-05-24,1272368.7369141995
2021-05-25,1266785.2469141993
2021-05-26,1249949.0269141993
2021-05-27,1255853.4069141995
2021-05-28,1258079.3869141995
2021-05-31,1272018.3969141995
2021-06-01,1280106.1869141995
2021-06-02,1305048.7569141993
2021-06-03,1316225.4869141993
2021-06-04,1333046.8669141994
2021-06-07,1331428.3069141994
2021-06-08,1333226.2869141996
2021-06-09,1321702.7069141995
2021-06-10,1333750.2569141993
2021-06-11,1345177.2069141995
2021-06-14,1326517.2469141996
2021-06-15,1314931.8469141992
2021-06-16,1311725.9969141993
2021-06-17,1306132.5469141994
2021-06-18,1289327.7969141994
2021-06-21,1296459.6469141992
2021-06-22,1305388.8969141992
2021-06-23,1290278.696914199
2021-06-24,1289627.6969141993
2021-06-25,1295969.9469141993
2021-06-28,1294333.2969141991
2021-06-29,1307233.146914199
2021-06-30,1322379.5469141991
2021-07-01,1342913.746914199
2021-07-02,1328003.296914199
2021-07-05,1327224.646914199
2021-07-06,1320185.796914199
2021-07-07,1335046.0969141992
2021-07-08,1329520.5969141992
2021-07-09,1336645.196914199
2021-07-12,1335049.5469141991
