date,equity
2021-01-01,1000000.0
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,1000000.0
2021-01-07,1000000.0
2021-01-08,1000000.0
2021-01-11,1000000.0
2021-01-12,1000000.0
2021-01-13,1000000.0
2021-01-14,1000000.0
2021-01-15,1001080.25
2021-01-18,994105.8
2021-01-19,1015475.45
2021-01-20,1026675.7
2021-01-21,1015330.2499999999
2021-01-22,995178.4999999999
2021-01-25,987844.0499999999
2021-01-27,981712.7999999998
2021-01-28,978225.4999999998
2021-01-29,960361.8999999998
2021-02-01,961682.4999999998
2021-02-02,963919.8999999998
2021-02-03,963818.1999999997
2021-02-04,966665.7999999997
2021-02-05,965140.2999999997
2021-02-08,966869.1999999997
2021-02-09,968598.0999999997
2021-02-10,969716.7999999997
2021-02-11,973784.7999999997
2021-02-12,972869.4999999998
2021-02-15,976937.4999999998
2021-02-16,976428.9999999998
2021-02-17,981615.6999999997
2021-02-18,985073.4999999998
2021-02-19,993558.9499999997
2021-02-22,982409.45
2021-02-23,982988.6499999999
2021-02-24,987870.2499999999
2021-02-25,989700.85
2021-02-26,987158.35
2021-03-01,989937.55
2021-03-02,993937.2999999999
2021-03-03,1007571.35
2021-03-04,1009621.95
2021-03-05,998799.1499999999
2021-03-08,1008265.3499999999
2021-03-09,1000675.8499999999
2021-03-10,998790.3499999999
2021-03-12,1000554.2499999999
2021-03-15,995159.6499999998
2021-03-16,991723.0999999999
2021-03-17,974388.8999999998
2021-03-18,975980.0499999999
2021-03-19,982234.8999999999
2021-03-22,997708.95
2021-03-23,1012670.9999999998
2021-03-24,1006460.9999999999
2021-03-25,989107.1499999999
2021-03-26,1011074.0499999998
2021-03-30,1023190.2999999998
2021-03-31,1025189.7999999998
2021-04-01,1050726.9499999997
2021-04-05,1059691.65
2021-04-06,1086127.8499999999
2021-04-07,1080727.0999999999
2021-04-08,1073644.75
2021-04-09,1087011.9499999997
2021-04-12,1046981.1083145482
2021-04-13,1058108.508314548
2021-04-15,1065319.6083145482
2021-04-16,1082082.8583145482
2021-04-19,1061705.2083145482
2021-04-20,1059714.8583145482
2021-04-22,1065849.8583145482
2021-04-23,1072271.3583145482
2021-04-26,1096469.258314548
2021-04-27,1117182.4583145482
2021-04-28,1131790.8083145483
2021-04-29,1160068.008314548
2021-04-30,1171586.1583145482
2021-05-03,1196404.508314548
2021-05-04,1203001.8083145483
2021-05-05,1231818.508314548
2021-05-06,1241340.2083145482
2021-05-07,1278216.6083145482
2021-05-10,1307416.1583145484
2021-05-11,1288137.7083145482
2021-05-12,1270927.008314548
2021-05-14,1223238.3140422339
2021-05-17,1243622.5640422339
2021-05-18,1264722.364042234
2021-05-19,1260838.664042234
2021-05-20,1243762.214042234
2021-05-21,1245080.608654254
2021-05-24,1241482.7386542542
2021-05-25,1236775.6786542542
2021-05-26,1223523.3986542542
2021-05-27,1229428.548654254
2021-05-28,1230205.0486542543
2021-05-31,1243968.9486542542
2021-06-01,1252509.9986542542
2021-06-02,1277411.098654254
2021-06-03,1288682.838654254
2021-06-04,1305333.4386542542
2021-06-07,1303951.8086542543
2021-06-08,1306174.8686542544
2021-06-09,1294857.4986542542
2021-06-10,1307130.1486542542
2021-06-11,1316100.5986542543
2021-06-14,1299450.4486542542
2021-06-15,1289508.1486542542
2021-06-16,1290445.3986542542
2021-06-17,1285754.9486542542
2021-06-18,1268931.6986542542
2021-06-21,1271523.2986542543
2021-06-22,1281407.6986542544
2021-06-23,1271949.4486542544
2021-06-24,1270558.1486542544
2021-06-25,1276552.2986542543
2021-06-28,1274925.0986542543
2021-06-29,1288059.4986542542
2021-06-30,1303189.0986542543
2021-07-01,1323670.6986542544
