symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pnl,ret_pct,holding_days
HINDALCO,2021-01-01,2021-01-12,238.35,264.35,419,dropped out of top 20 rank (now #21 of 113),10894.000000000013,10.908328088944842,11
NMDC,2021-01-15,2021-01-18,14.65,14.0,6907,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-4489.550000000002,-4.436860068259385,3
SAIL,2021-01-15,2021-01-18,70.15,65.95,1442,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-6056.400000000004,-5.987170349251603,3
LTM,2021-01-18,2021-01-19,4008.85,4091.35,24,dropped out of top 20 rank (now #24 of 88),1980.0,2.0579467927211104,1
OFSS,2021-01-18,2021-01-19,2890.0,2941.5,34,dropped out of top 20 rank (now #22 of 88),1751.0,1.7820069204152356,1
SHRIRAMFIN,2021-01-18,2021-01-21,234.75,241.3,425,dropped out of top 20 rank (now #30 of 76),2783.750000000005,2.7902023429180023,3
GODREJPROP,2021-01-19,2021-01-21,1406.65,1375.35,72,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2253.600000000013,-2.2251448476877767,2
TATASTEEL,2021-01-19,2021-01-21,63.03,61.61,1621,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2301.820000000003,-2.252895446612724,2
NMDC,2021-01-20,2021-01-21,14.55,14.1,7118,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3203.1000000000076,-3.0927835051546504,1
JINDALSTEL,2021-01-18,2021-01-22,282.45,281.65,353,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-282.400000000004,-0.28323597096832076,4
RVNL,2021-01-21,2021-01-22,30.05,28.95,3375,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3712.500000000005,-3.660565723793685,1
DIXON,2021-01-21,2021-01-22,2935.85,2818.5,34,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3989.899999999997,-3.9971388184001144,1
