symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pnl,ret_pct,holding_days
NMDC,2021-01-15,2021-01-18,14.65,14.0,6833,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-4441.450000000003,-4.436860068259385,3
LTM,2021-01-18,2021-01-19,4008.85,4091.35,24,dropped out of top 20 rank (now #24 of 88),1980.0,2.0579467927211104,1
SHRIRAMFIN,2021-01-18,2021-01-21,234.75,241.3,423,dropped out of top 20 rank (now #30 of 76),2770.6500000000046,2.7902023429180023,3
JINDALSTEL,2021-01-18,2021-01-22,282.45,281.65,351,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-280.800000000004,-0.28323597096832076,4
RVNL,2021-01-21,2021-01-22,30.05,28.95,3378,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3715.8000000000047,-3.660565723793685,1
DIXON,2021-01-21,2021-01-22,2935.85,2818.5,34,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3989.899999999997,-3.9971388184001144,1
OBEROIRLTY,2021-01-21,2021-01-22,569.8,567.45,178,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-418.2999999999838,-0.412425412425399,1
HINDZINC,2021-01-22,2021-01-25,275.65,268.05,361,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2743.5999999999876,-2.7571195356430156,3
PERSISTENT,2021-01-22,2021-01-25,772.0,769.5,128,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-320.0,-0.32383419689119286,3
MPHASIS,2021-01-19,2021-01-27,1491.2,1461.6,68,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2012.8000000000093,-1.9849785407725418,8
DLF,2021-01-22,2021-01-27,269.4,258.75,369,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3929.8499999999917,-3.9532293986636935,5
CHOLAFIN,2021-01-22,2021-01-27,422.15,410.5,235,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2737.7499999999945,-2.7596825772829514,5
KPITTECH,2021-01-14,2021-01-28,134.1,132.95,745,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-856.7500000000042,-0.8575689783743567,14
ADANIENT,2021-01-18,2021-01-29,492.4,491.2,201,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-241.19999999999771,-0.2437043054427268,11
ADANIPORTS,2021-01-25,2021-01-29,523.65,509.7,188,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-2622.5999999999976,-2.6639931251790316,4
KEI,2021-01-27,2021-01-29,493.5,464.05,198,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-5831.099999999998,-5.967578520770012,2
ASHOKLEY,2021-01-27,2021-01-29,55.1,52.9,1781,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3918.2000000000053,-3.9927404718693382,2
EICHERMOT,2021-01-27,2021-01-29,2789.9,2744.3,35,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1595.9999999999968,-1.6344671852037695,2
WIPRO,2021-01-28,2021-01-29,206.4,199.75,473,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-3145.4500000000025,-3.2218992248062017,1
APLAPOLLO,2021-01-28,2021-01-29,460.0,453.3,212,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-1420.3999999999976,-1.4565217391304341,1
LTM,2021-01-28,2021-02-01,3970.85,3937.65,24,failed a technical gate (trend/near-high/RSI) -- not in the top 20 at all,-796.7999999999956,-0.8360930279411205,4
VOLTAS,2021-01-29,2021-02-01,908.1,938.3,105,dropped out of top 20 rank (now #26 of 44),3170.9999999999927,3.325624931174964,3
