symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,pattern,score,pnl,ret_pct,holding_days
MOTILALOFS,2021-07-29,2021-07-30,262.5,247.45,761,stop,Pin Bar,9.0,-11453.050000000008,-5.733333333333334,1
INOXWIND,2021-08-12,2021-08-23,31.740000000000002,28.63,6229,stop,Pin Bar,9.0,-19372.190000000017,-9.798361688720869,11
COFORGE,2021-09-03,2021-09-20,1040.05,1106.2499999999998,186,target,Pin Bar,9.0,12313.199999999966,6.3650786019902705,17
MPHASIS,2021-09-14,2021-09-23,2826.25,3122.4500000000007,68,target,Pin Bar,9.0,20141.60000000005,10.48031844316677,9
TCS,2021-09-22,2021-09-27,3871.6000000000004,3821.6,51,stop,Pin Bar,9.0,-2550.000000000023,-1.291455728897628,5
HINDALCO,2021-10-04,2021-10-07,486.05,473.4,411,stop,Pin Bar,9.0,-5199.150000000014,-2.6026128999074194,3
GMRAIRPORT,2021-10-21,2021-10-22,42.65,40.35,4660,stop,Pin Bar,9.0,-10717.999999999987,-5.392731535756146,1
TMPV,2021-11-02,2021-11-17,348.75,364.8,563,target,Pin Bar,9.0,9036.150000000007,4.60215053763442,15
GMRAIRPORT,2021-12-15,2021-12-17,43.5,41.7,4561,stop,Pin Bar,9.0,-8209.799999999987,-4.137931034482756,2
SRF,2021-12-16,2021-12-20,2184.8,2107.0,90,stop,Pin Bar,8.0,-7002.000000000016,-3.5609666788722127,4
TORNTPHARM,2021-12-21,2021-12-31,1542.45,1625.7500000000002,126,target,Pin Bar,9.0,10495.800000000023,5.400499205808962,10
TITAN,2022-01-18,2022-01-20,2604.3500000000004,2550.35,75,stop,Pin Bar,9.0,-4050.000000000034,-2.0734540288363856,2
NATIONALUM,2022-02-16,2022-02-18,120.63,112.74000000000001,1630,stop,Pin Bar,9.0,-12860.699999999977,-6.540661526983326,2
CHOLAFIN,2022-02-16,2022-02-24,675.0,643.5,290,stop,Pin Bar,9.0,-9135.0,-4.666666666666663,8
JINDALSTEL,2022-03-09,2022-03-14,445.05,482.8500000000001,432,target,Pin Bar,9.0,16329.60000000003,8.4934277047523,5
OBEROIRLTY,2022-03-23,2022-04-01,918.0,976.8,213,target,Pin Bar,8.0,12524.39999999999,6.405228758169934,9
GAIL,2022-04-22,2022-04-25,97.84,94.79,2024,stop,Pin Bar,9.0,-6173.199999999994,-3.1173344235486455,3
NTPC,2022-05-10,2022-05-11,159.85000000000002,155.89999999999998,1231,stop,Pin Bar,9.0,-4862.450000000056,-2.471066624960927,1
ADANIPOWER,2022-05-27,2022-06-03,65.05,57.150000000000006,3010,stop,Pin Bar,9.0,-23778.999999999975,-12.144504227517283,7
BDL,2022-06-07,2022-06-20,401.0,378.25,476,stop,Pin Bar,9.0,-10829.0,-5.673316708229425,13
EICHERMOT,2022-07-05,2022-07-07,2815.0,2925.250000000001,67,target,Pin Bar,9.0,7386.750000000061,3.9165186500888405,2
NESTLEIND,2022-07-21,2022-08-01,933.05,974.2499999999998,204,target,Pin Bar,9.0,8404.799999999963,4.415626172230835,11
PHOENIXLTD,2022-08-12,2022-08-19,665.5,700.7499999999998,288,target,Pin Bar,9.0,10151.999999999935,5.296769346356078,7
TIINDIA,2022-09-20,2022-09-22,2584.4,2783.3000000000006,75,target,Pin Bar,9.0,14917.50000000004,7.696177062374265,2
JSWSTEEL,2022-12-13,2022-12-23,744.5,727.45,264,stop,Pin Bar,9.0,-4501.199999999988,-2.290127602417724,10
PIIND,2022-12-05,2022-12-26,3511.0,3411.95,56,stop,Pin Bar,9.0,-5546.80000000001,-2.8211335801765935,21
FEDERALBNK,2023-01-06,2023-01-09,137.15,135.04999999999998,1418,stop,Pin Bar,9.0,-2977.800000000032,-1.5311702515494185,3
PNB,2023-01-06,2023-01-10,54.019999999999996,52.32,3611,stop,Pin Bar,9.0,-6138.699999999984,-3.1469825990373845,4
CGPOWER,2023-01-09,2023-01-10,272.0,279.45000000000005,714,target,Pin Bar,8.0,5319.300000000032,2.738970588235312,1
BRITANNIA,2023-02-16,2023-02-17,4599.900000000001,4530.15,42,stop,Pin Bar,9.0,-2929.500000000038,-1.5163373116807044,1
TIINDIA,2023-03-14,2023-03-17,2725.05,2620.2,71,stop,Pin Bar,9.0,-7444.350000000026,-3.8476358231959162,3
MCX,2023-03-14,2023-03-24,298.05,290.95,649,stop,Pin Bar,7.0,-4607.900000000015,-2.3821506458648,10
ZYDUSLIFE,2023-03-22,2023-03-31,480.05,493.55,402,target,Pin Bar,9.0,5427.0,2.8122070617643935,9
HINDUNILVR,2023-04-03,2023-04-05,2570.0,2516.5,74,stop,Pin Bar,7.0,-3959.0,-2.081712062256813,2
GODREJCP,2023-04-05,2023-04-27,970.05,944.2,197,stop,Pin Bar,9.0,-5092.4499999999825,-2.6648110922117274,22
ABCAPITAL,2023-05-11,2023-05-12,172.4,166.14999999999998,1105,stop,Pin Bar,9.0,-6906.250000000032,-3.625290023201877,1
ASTRAL,2023-06-26,2023-07-04,1972.05,1927.3500000000001,95,stop,Pin Bar,9.0,-4246.499999999983,-2.2666768083973388,8
PRESTIGE,2023-06-27,2023-07-13,581.9,556.95,325,stop,Pin Bar,9.0,-8108.749999999978,-4.287678295239717,16
COFORGE,2023-06-21,2023-07-14,920.0,991.2499999999998,205,target,Pin Bar,9.0,14606.249999999953,7.744565217391286,23
GODREJPROP,2023-07-06,2023-07-27,1570.95,1715.05,121,target,Pin Bar,9.0,17436.099999999988,9.17279353257583,21
